time,GISS-E2-R,CESM1-CAM5,NORESM1-M,CCSM4,GFDL-CM3,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,88598870000.0,87717724000.0,87388496000.0,87735540000.0,87394340000.0,87646770000.0,87915210000.0,87358370000.0
2022.0,87491730000.0,87323360000.0,87266120000.0,87404990000.0,87176995000.0,87670010000.0,87493165000.0,88827980000.0
2023.0,87596110000.0,87121530000.0,87159010000.0,87785060000.0,86950470000.0,87386550000.0,87335070000.0,87341590000.0
2024.0,87348640000.0,87026080000.0,88118810000.0,87242760000.0,86822990000.0,87484480000.0,87183900000.0,86992600000.0
2025.0,86920840000.0,86774960000.0,88653550000.0,87284310000.0,86620365000.0,87539245000.0,86986110000.0,86919840000.0
2026.0,87290010000.0,86592310000.0,87340690000.0,87159280000.0,86423480000.0,87926250000.0,86849390000.0,87021420000.0
2027.0,86712860000.0,86411500000.0,86955910000.0,87871200000.0,86320546000.0,87784380000.0,86695660000.0,86761914000.0
2028.0,86701400000.0,86132470000.0,86621970000.0,87779580000.0,86145090000.0,87459180000.0,86587800000.0,87222560000.0
2029.0,86731890000.0,85845020000.0,86312575000.0,87592860000.0,86206900000.0,88041930000.0,86492950000.0,86340190000.0
2030.0,86532720000.0,85573670000.0,86087614000.0,87197110000.0,85755250000.0,88082645000.0,86409126000.0,86442115000.0
2031.0,86162370000.0,85297350000.0,85937250000.0,87272740000.0,85475940000.0,87229090000.0,86350100000.0,86160140000.0
2032.0,86206595000.0,85021030000.0,86023350000.0,87097230000.0,85137720000.0,87744890000.0,86144080000.0,85763645000.0
2033.0,85943540000.0,84689175000.0,85752870000.0,87099140000.0,84894050000.0,86937805000.0,86308870000.0,85679190000.0
2034.0,85935310000.0,84381360000.0,85635080000.0,86800300000.0,84553730000.0,88073675000.0,86332260000.0,85288190000.0
2035.0,85761890000.0,84022340000.0,85172510000.0,86591455000.0,84194320000.0,87386330000.0,86399590000.0,84918600000.0
2036.0,85674885000.0,83757120000.0,85241184000.0,88458930000.0,83868860000.0,87884600000.0,85845970000.0,84644680000.0
2037.0,85433524000.0,83303590000.0,84783370000.0,87307390000.0,83469270000.0,87076410000.0,86619350000.0,86531514000.0
2038.0,85241225000.0,82867780000.0,84542200000.0,86766220000.0,83091080000.0,86764840000.0,85795095000.0,84316635000.0
2039.0,84984640000.0,82648940000.0,84482260000.0,86283770000.0,82754870000.0,86645150000.0,85717975000.0,83905020000.0
2040.0,84932340000.0,82153840000.0,84077430000.0,86193270000.0,82280940000.0,86397895000.0,85528870000.0,83396895000.0
2041.0,84935180000.0,81706344000.0,84216660000.0,85992770000.0,81862710000.0,86172705000.0,85327740000.0,83365230000.0
