time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33901519000.0,33936724000.0,33963125000.0,33935032000.0,33944197000.0
2022.0,33858152000.0,33925319000.0,33947738000.0,33972695000.0,33958975000.0
2023.0,33802762000.0,33898520000.0,33961466000.0,33917401000.0,34034962000.0
2024.0,33747657000.0,33846426000.0,34001058000.0,33918015000.0,33982523000.0
2025.0,33684773000.0,33816381000.0,33939974000.0,33885575000.0,34027481000.0
2026.0,33607467000.0,33782960000.0,33957580000.0,33881008000.0,34197066000.0
2027.0,33515092000.0,33753900000.0,33929894000.0,33859152000.0,33929021000.0
2028.0,33323553000.0,33694579000.0,33889706000.0,33847070000.0,33906074000.0
2029.0,33139400000.0,33653901000.0,33866314000.0,33840531000.0,33891437000.0
2030.0,32885127000.0,33590735000.0,33866641000.0,33795201000.0,33851193000.0
2031.0,32708055000.0,33546947000.0,33832161000.0,33775532000.0,33819773000.0
2032.0,32369465000.0,33488701000.0,33812570000.0,33763295000.0,33797230000.0
2033.0,32080966000.0,33447244000.0,33804235000.0,33746661000.0,33779077000.0
2034.0,31711074000.0,33361402000.0,33784857000.0,33725704000.0,33809180000.0
2035.0,31371680000.0,33218198000.0,33769884000.0,33719257000.0,33763539000.0
2036.0,31043885000.0,33121987000.0,33748388000.0,33715933000.0,33745283000.0
2037.0,30584594000.0,33007970000.0,33715665000.0,33691488000.0,33718243000.0
2038.0,30206118000.0,32837380000.0,33670197000.0,33671666000.0,33690214000.0
2039.0,29662466000.0,32660586000.0,33626106000.0,33611491000.0,33625012000.0
2040.0,29142616000.0,32382958000.0,33575731000.0,33584601000.0,33566984000.0
2041.0,28394504000.0,32106576000.0,33522336000.0,33614027000.0,33495243000.0
2042.0,27800134000.0,31867961000.0,33392136000.0,33695400000.0,33422465000.0
2043.0,27262145000.0,31620377000.0,33285620000.0,33517206000.0,33349829000.0
2044.0,26488318000.0,31292670000.0,33231325000.0,33458958000.0,33224659000.0
2045.0,25884582000.0,30979215000.0,33179226000.0,33449000000.0,33141115000.0
2046.0,25233068000.0,30648232000.0,33097510000.0,33414871000.0,33014591000.0
2047.0,24610769000.0,30283485000.0,33040670000.0,33390370000.0,32860776000.0
2048.0,23850906000.0,29928800000.0,32958253000.0,33374000000.0,32742236000.0
2049.0,23125975000.0,29587650000.0,32805591000.0,33307974000.0,32615682000.0
2050.0,22383892000.0,29155693000.0,32733930000.0,33244228000.0,32514509000.0
2051.0,21518815000.0,28858954000.0,32663590000.0,33160772000.0,32278469000.0
2052.0,20590516000.0,28487117000.0,32573426000.0,33107430000.0,32091687000.0
2053.0,19575636000.0,28076087000.0,32465320000.0,32999592000.0,31959010000.0
2054.0,18567414000.0,27772625000.0,32326732000.0,32928346000.0,31779950000.0
2055.0,17461320000.0,27356215000.0,32141556000.0,32870961000.0,31634030000.0
2056.0,16552893000.0,26987555000.0,31998585000.0,32780835000.0,31382170000.0
2057.0,15511459000.0,26702053000.0,31897590000.0,32704934000.0,31140680000.0
2058.0,14596371000.0,26316840000.0,31804700000.0,32666528000.0,30848928000.0
2059.0,13775400000.0,26008336000.0,31694545000.0,32566710000.0,30575780000.0
2060.0,12949769000.0,25595105000.0,31571190000.0,32493705000.0,30309958000.0
2061.0,11964452000.0,25134373000.0,31388013000.0,32440816000.0,30105050000.0
2062.0,11041175000.0,24712500000.0,31271318000.0,32339007000.0,29764065000.0
2063.0,9958255000.0,24257642000.0,31122242000.0,32246282000.0,29444762000.0
2064.0,8735682000.0,23822324000.0,30940942000.0,32129667000.0,29191127000.0
2065.0,7813154300.0,23420318000.0,30837393000.0,32008840000.0,28934870000.0
2066.0,6900902000.0,23095167000.0,30631815000.0,31872172000.0,28719294000.0
2067.0,6031118300.0,22714483000.0,30491126000.0,31787043000.0,28346653000.0
2068.0,5269435400.0,22298747000.0,30278316000.0,31663718000.0,28061723000.0
2069.0,4330163000.0,21906106000.0,30074909000.0,31565036000.0,27715095000.0
2070.0,3622438000.0,21527575000.0,29831916000.0,31438987000.0,27273062000.0
2071.0,3056381200.0,21135518000.0,29661444000.0,31274010000.0,26903740000.0
2072.0,2618623500.0,20742550000.0,29434655000.0,31147114000.0,26475188000.0
2073.0,2228172300.0,20393839000.0,29213956000.0,30994350000.0,25985102000.0
2074.0,1875553700.0,20067312000.0,28930840000.0,30825060000.0,25609503000.0
2075.0,1577407500.0,19632546000.0,28582308000.0,30740220000.0,25145168000.0
2076.0,1274557400.0,19217584000.0,28351052000.0,30541928000.0,24713062000.0
2077.0,1008482800.0,18702380000.0,28081383000.0,30392426000.0,24425896000.0
2078.0,751223800.0,18315651000.0,27769125000.0,30286948000.0,24160078000.0
2079.0,590031400.0,17797960000.0,27471948000.0,30117554000.0,23718676000.0
2080.0,469317380.0,17419297000.0,27227451000.0,29937316000.0,23389325000.0
2081.0,334672400.0,16935688000.0,26779507000.0,29767710000.0,22886339000.0
2082.0,221317340.0,16519837000.0,26414137000.0,29551964000.0,22385762000.0
2083.0,137278180.0,16102671000.0,25899366000.0,29397684000.0,21779888000.0
2084.0,95706410.0,15786136000.0,25613908000.0,29206420000.0,21331618000.0
2085.0,71342600.0,15392355000.0,25104170000.0,28996712000.0,20802520000.0
2086.0,32474950.0,15031918000.0,24714605000.0,28779661000.0,20172171000.0
2087.0,13008770.0,14647058000.0,24400601000.0,28545212000.0,19411468000.0
2088.0,11864980.0,14230693000.0,24085873000.0,28301013000.0,18835968000.0
2089.0,10521880.0,13632694000.0,23749663000.0,28050060000.0,18190820000.0
2090.0,9641530.0,13229570000.0,23352494000.0,27800134000.0,17621948000.0
2091.0,8773994.0,12757590000.0,23010503000.0,27466936000.0,17143212000.0
2092.0,8531645.0,12298256000.0,22727115000.0,27155306000.0,16658574000.0
2093.0,7871135.0,11863473000.0,22499666000.0,26798088000.0,16201641000.0
2094.0,7265307.5,11398631000.0,22205258000.0,26493805000.0,15717027000.0
2095.0,6961934.0,10920726000.0,21842524000.0,26216660000.0,15235890000.0
2096.0,6694069.5,10511664000.0,21438292000.0,25992330000.0,14761848000.0
2097.0,6336065.0,10110310000.0,21073195000.0,25718383000.0,14372509000.0
2098.0,6076791.0,9644568000.0,20707582000.0,25446000000.0,13979270000.0
2099.0,5732649.5,9343769000.0,20415463000.0,25179838000.0,13541518000.0
2100.0,5486984.5,8985639000.0,19834167000.0,24720822000.0,12999476000.0
