time,CESM1-CAM5,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CCSM4,GFDL-CM3,MPI-ESM-LR,GISS-E2-R,CNRM-CM5
2032.0,2830660800000.0,2708130000000.0,2643876600000.0,2796204000000.0,2666142600000.0,2723091000000.0,2782453000000.0,2413561400000.0,2752878200000.0,2825617000000.0,2762585000000.0
2033.0,2796725000000.0,2681044000000.0,2603580700000.0,2781279200000.0,2634055400000.0,2688534200000.0,2776429200000.0,2343800400000.0,2725284400000.0,2787752000000.0,2749266100000.0
2034.0,2777569800000.0,2640355800000.0,2562385800000.0,2777674400000.0,2599599200000.0,2651670200000.0,2743905800000.0,2281181800000.0,2715869800000.0,2764424600000.0,2724017200000.0
2035.0,2759234000000.0,2595343800000.0,2518550000000.0,2771401600000.0,2550006000000.0,2615980900000.0,2701755400000.0,2227414500000.0,2666865400000.0,2755710700000.0,2689244900000.0
2036.0,2745749000000.0,2558152100000.0,2465790400000.0,2762582500000.0,2515352200000.0,2552169800000.0,2687093700000.0,2173684500000.0,2634291000000.0,2724367700000.0,2664815100000.0
2037.0,2702485000000.0,2509692500000.0,2410030000000.0,2736247800000.0,2492086400000.0,2495276400000.0,2655541500000.0,2114466600000.0,2610168300000.0,2698919500000.0,2632600500000.0
2038.0,2689524600000.0,2489723700000.0,2394418600000.0,2719386200000.0,2459524700000.0,2448942000000.0,2618424300000.0,2062749500000.0,2610674300000.0,2674965000000.0,2605897500000.0
2039.0,2658651000000.0,2450353000000.0,2338072300000.0,2704523100000.0,2417162000000.0,2409498000000.0,2580634100000.0,2006729900000.0,2566694600000.0,2645716600000.0,2565900000000.0
2040.0,2629621000000.0,2400644000000.0,2295181300000.0,2673117000000.0,2388776000000.0,2376354800000.0,2544474500000.0,1951471000000.0,2547214700000.0,2617865100000.0,2525405000000.0
2041.0,2600227300000.0,2369377500000.0,2265212500000.0,2662125000000.0,2357391500000.0,2327816200000.0,2501221800000.0,1887836300000.0,2494376400000.0,2580905500000.0,2500532400000.0
2042.0,2558462300000.0,2319537100000.0,2220140500000.0,2655645300000.0,2309000800000.0,2293611000000.0,2461017800000.0,1823045700000.0,2452226600000.0,2557884800000.0,2486304800000.0
2043.0,2521045400000.0,2282247000000.0,2183610500000.0,2651827000000.0,2273994000000.0,2260379400000.0,2426109200000.0,1759095800000.0,2419970300000.0,2527768000000.0,2461172500000.0
2044.0,2484706200000.0,2228951200000.0,2143163500000.0,2631019500000.0,2248609400000.0,2216094600000.0,2394306400000.0,1701077700000.0,2398544500000.0,2508545000000.0,2444856000000.0
2045.0,2452953500000.0,2185356500000.0,2084956100000.0,2610202400000.0,2233863800000.0,2170961500000.0,2366805000000.0,1651779400000.0,2391680500000.0,2476171300000.0,2426109200000.0
2046.0,2406203500000.0,2138624200000.0,2022551000000.0,2576140200000.0,2201763000000.0,2129241300000.0,2335242700000.0,1602262100000.0,2345431700000.0,2456223500000.0,2408230200000.0
2047.0,2370266000000.0,2085600200000.0,1995823400000.0,2551077000000.0,2152366200000.0,2084085000000.0,2284834000000.0,1541947900000.0,2302162800000.0,2433630600000.0,2375863000000.0
2048.0,2351641000000.0,2037685200000.0,1947904500000.0,2538013200000.0,2121084800000.0,2053609900000.0,2254833500000.0,1476476800000.0,2269526600000.0,2405681900000.0,2349543200000.0
2049.0,2322799300000.0,1992723500000.0,1897239200000.0,2517388200000.0,2085657600000.0,2010726800000.0,2226244000000.0,1415173900000.0,2230106200000.0,2356901000000.0,2311141000000.0
2050.0,2286272400000.0,1957982100000.0,1863567500000.0,2501600600000.0,2042396900000.0,1959713700000.0,2181409800000.0,1364178800000.0,2204013700000.0,2327418000000.0,2291536800000.0
2051.0,2254393000000.0,1917886700000.0,1815764100000.0,2488148200000.0,2002463100000.0,1925555200000.0,2146924400000.0,1314846000000.0,2160091100000.0,2297716500000.0,2265320500000.0
2052.0,2243827000000.0,1890642000000.0,1781276300000.0,2446032400000.0,1963204300000.0,1879761400000.0,2113560600000.0,1256610500000.0,2141623400000.0,2260682000000.0,2231412700000.0
2053.0,2223176000000.0,1854706200000.0,1730326300000.0,2441028600000.0,1933362200000.0,1842950600000.0,2098277000000.0,1202534700000.0,2109061200000.0,2232985800000.0,2196254200000.0
2054.0,2191008200000.0,1826448600000.0,1699922400000.0,2430329200000.0,1907333000000.0,1800206400000.0,2080699000000.0,1148486500000.0,2065179300000.0,2210329800000.0,2173324200000.0
2055.0,2156279400000.0,1801475600000.0,1645075100000.0,2406237000000.0,1863360800000.0,1762144700000.0,2055854600000.0,1097621640000.0,2036240100000.0,2186046700000.0,2150117400000.0
2056.0,2128072500000.0,1754967200000.0,1601107900000.0,2395353600000.0,1829649300000.0,1732080800000.0,2027552500000.0,1050311850000.0,2003228700000.0,2156138100000.0,2119011800000.0
2057.0,2095500800000.0,1703726500000.0,1564734900000.0,2377594400000.0,1787639100000.0,1695756300000.0,1997511900000.0,1012785600000.0,1954420100000.0,2129369800000.0,2090905400000.0
2058.0,2070840600000.0,1657236500000.0,1528749200000.0,2356364700000.0,1762844900000.0,1651271100000.0,1976203600000.0,975819300000.0,1923485700000.0,2091701500000.0,2060684400000.0
2059.0,2051023000000.0,1619948100000.0,1494047900000.0,2347722000000.0,1722377000000.0,1626069500000.0,1956003700000.0,930605240000.0,1922024900000.0,2063652200000.0,2028566100000.0
2060.0,2008981800000.0,1593612600000.0,1466582700000.0,2307306600000.0,1695530100000.0,1587345600000.0,1922897700000.0,890765640000.0,1866345500000.0,2045452900000.0,1999909400000.0
2061.0,1990865500000.0,1567199700000.0,1441176600000.0,2282962000000.0,1674196300000.0,1551633100000.0,1901266300000.0,859070900000.0,1848396900000.0,2006867200000.0,1964436500000.0
2062.0,1952751800000.0,1527257500000.0,1405595800000.0,2266627300000.0,1642429700000.0,1515826400000.0,1881264400000.0,823593000000.0,1827984800000.0,1976374100000.0,1936938800000.0
2063.0,1909976900000.0,1486169200000.0,1363419000000.0,2240327700000.0,1616377000000.0,1486021100000.0,1855983600000.0,791021200000.0,1820330600000.0,1951159800000.0,1914543800000.0
2064.0,1871281000000.0,1455074300000.0,1324528200000.0,2201916300000.0,1587727400000.0,1452407800000.0,1841167900000.0,758025200000.0,1800180600000.0,1919825100000.0,1889310700000.0
2065.0,1845132300000.0,1425557000000.0,1292866300000.0,2210058000000.0,1556671400000.0,1413682000000.0,1818618200000.0,727515700000.0,1774332000000.0,1888859500000.0,1868990100000.0
2066.0,1835151700000.0,1390769900000.0,1260244600000.0,2197299000000.0,1525842200000.0,1378271400000.0,1790670100000.0,698147540000.0,1735259500000.0,1846965300000.0,1847433500000.0
2067.0,1816754300000.0,1355495400000.0,1241058900000.0,2193219000000.0,1495182900000.0,1344960200000.0,1752252300000.0,667469200000.0,1708107800000.0,1823575400000.0,1818957000000.0
2068.0,1789823000000.0,1322225400000.0,1209385900000.0,2181238000000.0,1472570700000.0,1315866300000.0,1727280400000.0,642585500000.0,1677868300000.0,1797045400000.0,1796503400000.0
2069.0,1761790700000.0,1288606600000.0,1171124500000.0,2168093800000.0,1432669800000.0,1289073100000.0,1712222900000.0,615940550000.0,1644647000000.0,1771835000000.0,1774034200000.0
2070.0,1742680800000.0,1256470500000.0,1141731500000.0,2146091500000.0,1406959900000.0,1266408100000.0,1688927200000.0,594734300000.0,1636956500000.0,1752372900000.0,1742381500000.0
2071.0,1710397600000.0,1227126200000.0,1122239600000.0,2143582200000.0,1381357600000.0,1235074000000.0,1667136900000.0,573714660000.0,1629038600000.0,1737032600000.0,1733237700000.0
2072.0,1682803400000.0,1190273000000.0,1105633600000.0,2136298100000.0,1362682300000.0,1208330200000.0,1647454000000.0,550098300000.0,1586059000000.0,1711183600000.0,1712803300000.0
2073.0,1665173600000.0,1170746200000.0,1076792800000.0,2134616800000.0,1338251400000.0,1175025000000.0,1625319400000.0,531140050000.0,1564082800000.0,1696718700000.0,1694365900000.0
2074.0,1648796400000.0,1142064800000.0,1051934000000.0,2141145100000.0,1315379100000.0,1139504700000.0,1590738600000.0,515636920000.0,1531831900000.0,1677144600000.0,1669098800000.0
2075.0,1625573000000.0,1111235900000.0,1028450350000.0,2124065800000.0,1292797300000.0,1121028300000.0,1569261400000.0,497114640000.0,1507914000000.0,1653734100000.0,1639077900000.0
2076.0,1597545000000.0,1090899800000.0,1007610700000.0,2118098100000.0,1270675400000.0,1100126500000.0,1550006500000.0,481983700000.0,1473288600000.0,1632309900000.0,1616713700000.0
2077.0,1567030400000.0,1060960100000.0,987369800000.0,2092593800000.0,1250069300000.0,1079498900000.0,1535357200000.0,466696270000.0,1456139500000.0,1614773700000.0,1585786000000.0
2078.0,1537569300000.0,1041543700000.0,965262440000.0,2082529900000.0,1219431200000.0,1061333430000.0,1519643700000.0,449181200000.0,1442186500000.0,1600476300000.0,1558621200000.0
2079.0,1530721200000.0,1019679200000.0,947123300000.0,2072279400000.0,1188940200000.0,1044460400000.0,1503159800000.0,431249900000.0,1430631700000.0,1581506800000.0,1534741300000.0
2080.0,1498320000000.0,998311900000.0,927483800000.0,2049675000000.0,1167959900000.0,1024546700000.0,1481050800000.0,416837760000.0,1409768000000.0,1558682400000.0,1512859100000.0
2081.0,1478114800000.0,969632450000.0,917787400000.0,2064278000000.0,1146938900000.0,1007443700000.0,1459647500000.0,405495800000.0,1395535100000.0,1540251800000.0,1494935700000.0
2082.0,1451015700000.0,958053700000.0,903338300000.0,2063176200000.0,1123309200000.0,989352900000.0,1457037800000.0,394747400000.0,1397097400000.0,1520488400000.0,1471406100000.0
2083.0,1429392200000.0,947738640000.0,881586140000.0,2034797800000.0,1097481000000.0,972919200000.0,1436391400000.0,383016830000.0,1380338800000.0,1493977400000.0,1453863600000.0
2084.0,1409512900000.0,925307630000.0,868219300000.0,2009982000000.0,1072827300000.0,956912500000.0,1426366000000.0,371627500000.0,1345894400000.0,1472446000000.0,1443925100000.0
2085.0,1385753200000.0,905738700000.0,846963100000.0,1996316700000.0,1061245200000.0,939321260000.0,1415613300000.0,362858940000.0,1336307600000.0,1462698000000.0,1418042700000.0
2086.0,1361156600000.0,892958300000.0,828517400000.0,1988718600000.0,1038924640000.0,922164900000.0,1407599500000.0,350163300000.0,1320095200000.0,1448877400000.0,1397053700000.0
2087.0,1338408200000.0,875524800000.0,816361900000.0,1980128300000.0,1012620300000.0,906513200000.0,1391584200000.0,342921740000.0,1307172100000.0,1434993600000.0,1372779700000.0
2088.0,1307319500000.0,858194840000.0,803436040000.0,1976289300000.0,994370700000.0,888230900000.0,1377277300000.0,335906670000.0,1288095100000.0,1425988100000.0,1356873300000.0
2089.0,1282674700000.0,848345300000.0,785937470000.0,1965713400000.0,974092100000.0,867588640000.0,1372804500000.0,327133500000.0,1277232000000.0,1409024500000.0,1330271700000.0
2090.0,1256360500000.0,832160660000.0,768627800000.0,1955535300000.0,966516900000.0,850051330000.0,1364661900000.0,319537870000.0,1255367800000.0,1398067400000.0,1315886200000.0
2091.0,1240780900000.0,816257560000.0,754062070000.0,1948177500000.0,952462300000.0,832004550000.0,1342175400000.0,312892850000.0,1229595100000.0,1389454000000.0,1295283000000.0
2092.0,1215179300000.0,799926060000.0,734704440000.0,1934785500000.0,935159400000.0,818294950000.0,1324984300000.0,304309200000.0,1208428400000.0,1386427300000.0,1277676700000.0
2093.0,1203831600000.0,787439300000.0,716971250000.0,1922856100000.0,920658900000.0,804438300000.0,1316132100000.0,297258520000.0,1180611800000.0,1372792800000.0,1251232700000.0
2094.0,1190956000000.0,775554200000.0,705277700000.0,1919699900000.0,899901500000.0,787031260000.0,1301311700000.0,289452900000.0,1166266000000.0,1362332900000.0,1223020500000.0
2095.0,1169236000000.0,761230000000.0,696143840000.0,1913481600000.0,882739200000.0,772709400000.0,1285517300000.0,281405720000.0,1155477000000.0,1357324200000.0,1207263800000.0
2096.0,1148216500000.0,749615700000.0,684808540000.0,1895465400000.0,866586850000.0,760520250000.0,1275972000000.0,274996330000.0,1153803900000.0,1349475500000.0,1191744500000.0
2097.0,1133299100000.0,742845900000.0,677482140000.0,1891628500000.0,860908700000.0,749056300000.0,1263398800000.0,268854920000.0,1140541400000.0,1339205600000.0,1169535700000.0
2098.0,1123592200000.0,732103200000.0,661068840000.0,1887291800000.0,844514660000.0,733636850000.0,1251808900000.0,261416340000.0,1127465900000.0,1325087900000.0,1155001600000.0
2099.0,1107661200000.0,717881700000.0,651997100000.0,1879546900000.0,831106840000.0,715081900000.0,1240366600000.0,254841550000.0,1113097200000.0,1307788800000.0,1140008200000.0
2100.0,1091974800000.0,707425670000.0,636973200000.0,1868817500000.0,819422170000.0,705523600000.0,1232981900000.0,246051470000.0,1100480400000.0,1302087600000.0,1125859900000.0
