time,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CNRM-CM5,GFDL-CM3,CCSM4,MPI-ESM-LR
2033.0,2752040000000.0,2711988700000.0,2893400200000.0,2683451700000.0,2795856500000.0,2668243000000.0,2731778800000.0,2753647000000.0,2441351000000.0,2682145500000.0,2694225600000.0
2034.0,2720012400000.0,2691377400000.0,2871908600000.0,2675337600000.0,2766896000000.0,2630235000000.0,2717486000000.0,2733690600000.0,2380177900000.0,2646993800000.0,2669728200000.0
2035.0,2692033500000.0,2664914500000.0,2881173000000.0,2645798700000.0,2711518200000.0,2595018800000.0,2701951800000.0,2722206300000.0,2309037200000.0,2621953800000.0,2663653600000.0
2036.0,2662560700000.0,2635228500000.0,2867476000000.0,2634830000000.0,2688347000000.0,2572146400000.0,2690787800000.0,2692266000000.0,2272774000000.0,2588859400000.0,2648491700000.0
2037.0,2622233200000.0,2597356800000.0,2837655300000.0,2597413500000.0,2652904600000.0,2539732600000.0,2682591600000.0,2677839800000.0,2227150300000.0,2567562600000.0,2653272700000.0
2038.0,2597402400000.0,2565677300000.0,2799934600000.0,2569626700000.0,2634737300000.0,2514984600000.0,2666205300000.0,2648073800000.0,2164520000000.0,2544610800000.0,2626255600000.0
2039.0,2578652600000.0,2534146000000.0,2756821000000.0,2537230400000.0,2599232200000.0,2494220700000.0,2650848000000.0,2611374500000.0,2111299800000.0,2520906200000.0,2607363400000.0
2040.0,2547014700000.0,2506139400000.0,2750809600000.0,2505604600000.0,2597839700000.0,2476016700000.0,2629536800000.0,2578007200000.0,2052085400000.0,2507087500000.0,2579924300000.0
2041.0,2528251500000.0,2484931000000.0,2725964700000.0,2463774300000.0,2576115800000.0,2447906200000.0,2611479300000.0,2555773000000.0,1991499300000.0,2500037000000.0,2551518300000.0
2042.0,2503119700000.0,2469002200000.0,2708964600000.0,2424875800000.0,2556466000000.0,2402345500000.0,2581623200000.0,2531182500000.0,1934198800000.0,2471879200000.0,2519110300000.0
2043.0,2480845600000.0,2432571300000.0,2673582500000.0,2378704000000.0,2521648600000.0,2345161700000.0,2548934600000.0,2489167400000.0,1873176200000.0,2448863800000.0,2516486700000.0
2044.0,2452714700000.0,2419596500000.0,2642582000000.0,2352425500000.0,2509147500000.0,2323126000000.0,2522545400000.0,2468076800000.0,1798587000000.0,2412364000000.0,2510298800000.0
2045.0,2423081700000.0,2405659300000.0,2649550200000.0,2328763000000.0,2474601300000.0,2298222000000.0,2511662000000.0,2448666100000.0,1744247500000.0,2389724000000.0,2493585800000.0
2046.0,2384011000000.0,2375150200000.0,2639363300000.0,2293848900000.0,2465330600000.0,2251326200000.0,2495889000000.0,2427724500000.0,1690688300000.0,2373984000000.0,2453935000000.0
2047.0,2365290200000.0,2344212000000.0,2659410500000.0,2279685500000.0,2428835700000.0,2219828000000.0,2486090000000.0,2409869000000.0,1624788700000.0,2352142400000.0,2443525200000.0
2048.0,2336516000000.0,2317609900000.0,2644218500000.0,2243993800000.0,2372677700000.0,2222164800000.0,2474157000000.0,2391118200000.0,1571487900000.0,2333429200000.0,2457095000000.0
