time,CESM2-WACCM,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-CM2,ACCESS-ESM1-5
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,48747655000.0,48805974000.0,48727570000.0,49244533000.0,48787456000.0,48929190000.0
2022.0,48764080000.0,48572340000.0,48785555000.0,48997024000.0,48592294000.0,48686590000.0
2023.0,48438874000.0,48329687000.0,48160330000.0,48873796000.0,48468950000.0,48492020000.0
2024.0,48141697000.0,48044960000.0,47936078000.0,48612760000.0,48194785000.0,48287660000.0
2025.0,48037413000.0,47847076000.0,47512465000.0,48386736000.0,48024340000.0,48030024000.0
2026.0,47750885000.0,47646065000.0,47175893000.0,48767400000.0,47681610000.0,47695565000.0
2027.0,47492776000.0,47303390000.0,46897200000.0,48623624000.0,47409640000.0,47413310000.0
2028.0,47267030000.0,47164244000.0,46560490000.0,48391086000.0,47010484000.0,47103830000.0
2029.0,47002427000.0,46687502000.0,46013116000.0,48255250000.0,46689410000.0,47021440000.0
2030.0,46822700000.0,46454292000.0,45592120000.0,48092787000.0,46356060000.0,46593823000.0
2031.0,46564807000.0,46079304000.0,45107920000.0,47673040000.0,46007760000.0,46249402000.0
2032.0,46086373000.0,45673923000.0,44847804000.0,47351520000.0,45577286000.0,45807854000.0
2033.0,46176780000.0,45331657000.0,44108874000.0,47092662000.0,45117493000.0,45434580000.0
2034.0,45506044000.0,45019628000.0,43484090000.0,46791870000.0,44634132000.0,45044486000.0
2035.0,45201355000.0,44577276000.0,42846757000.0,46364705000.0,44172554000.0,44661800000.0
2036.0,44762900000.0,44119570000.0,42336510000.0,45739667000.0,43662030000.0,44219945000.0
2037.0,44569625000.0,43721613000.0,42314187000.0,45496017000.0,43064934000.0,43762893000.0
2038.0,44158878000.0,43203340000.0,41353660000.0,45071393000.0,42597630000.0,43280368000.0
2039.0,43702678000.0,42867446000.0,40857334000.0,44831230000.0,42154164000.0,42991960000.0
2040.0,43249218000.0,42210020000.0,39970260000.0,44162343000.0,41518617000.0,42441097000.0
2041.0,42991930000.0,41698300000.0,39231934000.0,43810402000.0,40961780000.0,41819380000.0
2042.0,42484430000.0,41263804000.0,38556115000.0,43651293000.0,40452534000.0,41382850000.0
2043.0,41899270000.0,40767128000.0,37873470000.0,43182390000.0,39942560000.0,40826020000.0
2044.0,42329630000.0,40292782000.0,37278120000.0,42956444000.0,39317127000.0,40203334000.0
2045.0,41172040000.0,39838007000.0,36383867000.0,42363458000.0,38671766000.0,39626270000.0
2046.0,40609800000.0,39318045000.0,35622040000.0,41910567000.0,38158066000.0,39182594000.0
2047.0,40216236000.0,38815977000.0,34918277000.0,41453000000.0,37410610000.0,38631092000.0
2048.0,39832340000.0,38342435000.0,34169380000.0,41056227000.0,36934210000.0,38187467000.0
2049.0,39393616000.0,37819730000.0,33537530000.0,40560476000.0,36465193000.0,37454800000.0
2050.0,39041060000.0,37241033000.0,32879989000.0,40071266000.0,35734913000.0,36914414000.0
2051.0,38720524000.0,36740297000.0,32198460000.0,39505957000.0,35049275000.0,36407880000.0
2052.0,38287294000.0,36262183000.0,31697551000.0,39320895000.0,34730970000.0,35800880000.0
2053.0,37797290000.0,35815450000.0,31059714000.0,38920622000.0,34100380000.0,35084374000.0
2054.0,37449916000.0,35352986000.0,30371236000.0,38405510000.0,33580294000.0,34554855000.0
2055.0,37147615000.0,34865680000.0,29845710000.0,37905290000.0,32933624000.0,34132374000.0
2056.0,36685700000.0,34529788000.0,29303665000.0,37389255000.0,32307704000.0,33482568000.0
2057.0,36144816000.0,33915992000.0,28843962000.0,36860310000.0,31779138000.0,33101860000.0
2058.0,35964776000.0,33420057000.0,28194410000.0,36248090000.0,31138974000.0,32584274000.0
2059.0,35384930000.0,32976230000.0,27591442000.0,35821347000.0,30542391000.0,32207282000.0
2060.0,34886960000.0,32537778000.0,26963677000.0,35219410000.0,30224103000.0,31711803000.0
2061.0,34806650000.0,32140503000.0,26612824000.0,34494830000.0,29660727000.0,31174750000.0
