time,MPI-ESM1-2-HR,FGOALS-F3-L,MRI-ESM2-0,CESM2,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,CESM2-WACCM,GFDL-ESM4
2000.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1077260800.0,1103159700.0,1084355200.0,1083555200.0,1082579200.0,1088657200.0,1076576400.0,1083861400.0,1083749900.0,1078244500.0,1087082500.0,1085320300.0,1085338500.0
2022.0,1078953700.0,1081349400.0,1064541900.0,1074617700.0,1067331900.0,1106969600.0,1063187400.0,1088712100.0,1058688640.0,1069603200.0,1068077600.0,1073387100.0,1070584600.0
2023.0,1054020200.0,1062536100.0,1089234300.0,1067804860.0,1063197700.0,1074262700.0,1048336200.0,1082672500.0,1054649860.0,1054083700.0,1057383200.0,1058439700.0,1058361660.0
2024.0,1036864400.0,1046285440.0,1044260300.0,1053289400.0,1039375500.0,1068677250.0,1037930600.0,1065563300.0,1037433200.0,1036713800.0,1044179900.0,1048642500.0,1044362700.0
2025.0,1024610300.0,1030302340.0,1013874300.0,1035921700.0,1018545600.0,1039024900.0,1007627260.0,1051316900.0,1017746750.0,1019871400.0,1029966850.0,1037348900.0,1025641800.0
2026.0,998922900.0,998121500.0,995800960.0,1010722100.0,1008349600.0,1051904640.0,996896260.0,1041971900.0,1023941000.0,1015741760.0,1004270140.0,1016483800.0,1014928450.0
2027.0,1018952300.0,970735740.0,976353860.0,978723260.0,985595460.0,1029015600.0,976876740.0,1035442000.0,1002871300.0,997031700.0,984012160.0,1000669440.0,997827700.0
2028.0,988739400.0,967739840.0,945397700.0,964099460.0,968155200.0,1013973000.0,990288830.0,1021262900.0,988898200.0,985224060.0,981461900.0,989641540.0,990501800.0
2029.0,981619100.0,940403900.0,922960900.0,945104000.0,938261800.0,998573000.0,940307260.0,1011192700.0,977011500.0,1016819140.0,979080600.0,965947000.0,971314300.0
2030.0,955322400.0,921001660.0,891527000.0,923037950.0,922763800.0,970589400.0,897666560.0,991476100.0,963739800.0,961261440.0,963282200.0,938622850.0,955183940.0
2031.0,954533300.0,905218600.0,883755600.0,924050600.0,932870200.0,961768800.0,878616300.0,973819300.0,947486600.0,934661440.0,944957800.0,941066000.0,933813400.0
2032.0,934776960.0,885673860.0,862715000.0,897850560.0,896154500.0,938839740.0,849441660.0,985844800.0,928999400.0,916827100.0,947900700.0,940746100.0,906761660.0
2033.0,921480640.0,863240000.0,836005800.0,873290750.0,874522940.0,916792260.0,830066750.0,971232700.0,903339600.0,899224800.0,946543600.0,897846140.0,878418700.0
2034.0,966126700.0,849255000.0,822062100.0,850157400.0,849882560.0,881887100.0,809248260.0,960703360.0,885167800.0,874624260.0,908738700.0,875253300.0,861440000.0
2035.0,938507500.0,829360800.0,795886100.0,839151940.0,833094400.0,922194600.0,790237950.0,944303600.0,880509700.0,857080100.0,891694460.0,859695360.0,848033150.0
2036.0,902509600.0,809746240.0,779930700.0,813509100.0,811666700.0,857011140.0,761186000.0,922792260.0,860434700.0,840038600.0,882418400.0,835447100.0,849569400.0
2037.0,885163500.0,808015800.0,751815300.0,792783600.0,786594940.0,837563650.0,742124540.0,941301250.0,841990660.0,837814460.0,871068350.0,818480900.0,813046500.0
2038.0,862307140.0,781244300.0,728981440.0,785424500.0,774879200.0,812869950.0,726054140.0,958318200.0,818688200.0,831490800.0,852977800.0,797577860.0,784696900.0
2039.0,846802240.0,759964160.0,717852900.0,763123140.0,844754500.0,794580100.0,708610700.0,900354370.0,806726140.0,813338800.0,845868740.0,770448000.0,767056640.0
2040.0,841849150.0,743125400.0,690407300.0,742701100.0,759204600.0,775587650.0,695909000.0,886799600.0,800520400.0,799501440.0,840460800.0,760471700.0,745242750.0
2041.0,873307100.0,713630900.0,681115840.0,730720830.0,727054400.0,754607800.0,671797950.0,888359300.0,780196030.0,776377540.0,825227900.0,737822500.0,729225200.0
2042.0,826283400.0,690921500.0,662278850.0,731646600.0,714195300.0,730019140.0,648268740.0,867690940.0,770066400.0,765758660.0,804476000.0,722339000.0,711677700.0
2043.0,806496300.0,679190400.0,705276800.0,705906700.0,699796700.0,709061760.0,631576200.0,858397600.0,745189570.0,757834050.0,789073800.0,712478850.0,689000600.0
2044.0,799796300.0,759837100.0,650128450.0,685575400.0,679837100.0,690464500.0,618649700.0,844348000.0,749382500.0,738254700.0,778209500.0,687236100.0,671424450.0
2045.0,794822700.0,658694300.0,626141060.0,662730900.0,670399740.0,666821440.0,595642900.0,829407600.0,717910660.0,718587970.0,760470340.0,668206660.0,647423300.0
2046.0,779192260.0,643831000.0,615068200.0,646227460.0,646585100.0,673721860.0,581878100.0,812661250.0,707539300.0,695467100.0,749764350.0,650147140.0,698330940.0
