time,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4,EC-EARTH3-VEG
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2646108000.0,2653204200.0,2648269800.0,2654815000.0
2022.0,2631793200.0,2637846500.0,2635706000.0,2764571000.0
2023.0,2621037300.0,2633329200.0,2629550600.0,2670567700.0
2024.0,2640161800.0,2619093500.0,2638921200.0,2700689400.0
2025.0,2607682300.0,2609629400.0,2612966000.0,2659630300.0
2026.0,2592092700.0,2598078000.0,2593515800.0,2622663400.0
2027.0,2579620400.0,2581785600.0,2573159700.0,2608525600.0
2028.0,2562835200.0,2553885400.0,2558521600.0,2584139800.0
2029.0,2540686000.0,2524383500.0,2534750000.0,2549897700.0
2030.0,2513750500.0,2507570000.0,2513936000.0,2536358100.0
2031.0,2491951900.0,2468370700.0,2509243600.0,2512875800.0
2032.0,2469271600.0,2453338600.0,2486262500.0,2494401000.0
2033.0,2459285000.0,2452750300.0,2460234200.0,2491522600.0
2034.0,2436525300.0,2404800000.0,2428984800.0,2474335000.0
2035.0,2414105900.0,2381258500.0,2429581000.0,2448866800.0
2036.0,2391088000.0,2352273000.0,2399611600.0,2448200000.0
2037.0,2376117200.0,2310262500.0,2361405200.0,2424293000.0
2038.0,2345505000.0,2253536500.0,2336189400.0,2381680600.0
2039.0,2324539600.0,2224957700.0,2303686700.0,2351572200.0
2040.0,2301887700.0,2171999200.0,2275458800.0,2353060600.0
2041.0,2331794200.0,2135808900.0,2250353400.0,2357675000.0
2042.0,2320311300.0,2101415600.0,2238584800.0,2318225400.0
2043.0,2244516000.0,2036839800.0,2201028600.0,2295331800.0
2044.0,2207704800.0,1989430300.0,2175242200.0,2278719200.0
2045.0,2186950100.0,1983132200.0,2155791600.0,2243116800.0
2046.0,2152991700.0,1914651300.0,2120119600.0,2229087200.0
2047.0,2124202900.0,1852366000.0,2113078100.0,2265046300.0
2048.0,2080334700.0,1833395700.0,2075616400.0,2183243300.0
2049.0,2054966100.0,1765720300.0,2040729000.0,2143925900.0
2050.0,2051913000.0,1720581600.0,2003265000.0,2113665300.0
2051.0,2004178000.0,1682879100.0,1989929500.0,2091090700.0
2052.0,1964076800.0,1640295800.0,1976611300.0,2037603200.0
2053.0,1921936600.0,1591653000.0,1928229100.0,2003270500.0
2054.0,1894356000.0,1544514000.0,1892671000.0,1976051500.0
2055.0,1861892400.0,1495153300.0,1879247000.0,1932593400.0
2056.0,1883663700.0,1493694200.0,1841470100.0,1932599600.0
2057.0,1930006900.0,1560094700.0,1811411300.0,1866848500.0
2058.0,1815304600.0,1453462900.0,1776865500.0,1824683600.0
2059.0,2109203700.0,1385690800.0,1759491300.0,1782940200.0
2060.0,1798552800.0,1327467000.0,1769802800.0,1739019900.0
2061.0,1764102700.0,1303436400.0,1717458400.0,1708939100.0
2062.0,1738342100.0,1255072800.0,1685133400.0,1675259800.0
2063.0,1729664800.0,1218980100.0,1654298600.0,1639353300.0
2064.0,2038528800.0,1194476200.0,1635103100.0,1608522100.0
2065.0,1799825900.0,1153590300.0,1601573800.0,1561871200.0
2066.0,1692935400.0,1121516400.0,1579705100.0,1527579300.0
2067.0,1796947800.0,1089444900.0,1550162700.0,1485405200.0
2068.0,1653824300.0,1055726800.0,1540788700.0,1462444400.0
2069.0,1625165800.0,1076981200.0,1487630800.0,1425109000.0
2070.0,1612791600.0,1046324030.0,1512799200.0,1391419400.0
2071.0,1598584300.0,1011477600.0,1537453300.0,1342462600.0
2072.0,1634943000.0,996808600.0,1451300100.0,1310898200.0
2073.0,1550040600.0,992664260.0,1456569200.0,1293479000.0
2074.0,1811035100.0,967075460.0,1415023100.0,1264907500.0
2075.0,1568010500.0,944055000.0,1492363000.0,1242797700.0
2076.0,1605528800.0,917669500.0,1554234600.0,1214103200.0
2077.0,1526367700.0,1028965950.0,1423890400.0,1331690100.0
2078.0,1490711300.0,1000256640.0,1422043600.0,1186251900.0
2079.0,1900785400.0,942829100.0,1399621400.0,1169173500.0
2080.0,1614517600.0,890946050.0,1364311900.0,1243862300.0
2081.0,1723967700.0,976096300.0,1754910700.0,1218108700.0
2082.0,1516382200.0,897859900.0,1427242900.0,1121059700.0
2083.0,1598740700.0,976306200.0,1441954600.0,1082954400.0
2084.0,1468354000.0,849395100.0,1343273700.0,1056279800.0
2085.0,1900669400.0,821030900.0,1426727000.0,1040545150.0
2086.0,1566608100.0,844872200.0,1438468900.0,1022078100.0
2087.0,1505931500.0,818299200.0,1382260200.0,991621800.0
2088.0,2070343700.0,774491100.0,1455992400.0,965436350.0
2089.0,1784807800.0,751879100.0,1306535300.0,1050642800.0
2090.0,1523941000.0,895177540.0,1478544900.0,1003461060.0
2091.0,1979156400.0,726562800.0,1377613000.0,938280960.0
