time,MRI-ESM2-0
2000.0,2759127800.0
2001.0,2783763500.0
2002.0,2755074300.0
2003.0,2734472400.0
2004.0,2737285600.0
2005.0,2725387500.0
2006.0,2740770600.0
2007.0,2716115700.0
2008.0,2742563000.0
2009.0,2724116000.0
2010.0,2706896100.0
2011.0,2706562000.0
2012.0,2707589000.0
2013.0,2717896400.0
2014.0,2694798600.0
2015.0,2683665200.0
2016.0,2748370200.0
2017.0,2680201500.0
2018.0,2688891600.0
2019.0,2662795300.0
2020.0,2663309600.0
2021.0,2647658000.0
2022.0,2644695600.0
2023.0,2642825200.0
2024.0,2636723200.0
2025.0,2621388500.0
2026.0,2602812000.0
2027.0,2590433800.0
2028.0,2610504200.0
2029.0,2566277600.0
2030.0,2552839700.0
2031.0,2543635200.0
2032.0,2533163000.0
2033.0,2514554000.0
2034.0,2497943000.0
2035.0,2481891300.0
2036.0,2458325200.0
2037.0,2435520300.0
2038.0,2417018000.0
2039.0,2394125000.0
2040.0,2363413800.0
2041.0,2339468300.0
2042.0,2311057400.0
2043.0,2274367700.0
2044.0,2248050400.0
2045.0,2213740500.0
2046.0,2159345200.0
2047.0,2129682000.0
2048.0,2087637200.0
2049.0,2052196200.0
2050.0,1990382700.0
2051.0,1947787300.0
2052.0,1922489200.0
2053.0,1875258800.0
2054.0,1835704800.0
2055.0,1796808600.0
2056.0,1771943600.0
2057.0,1711438500.0
2058.0,1682020400.0
2059.0,1635804000.0
2060.0,1592336600.0
2061.0,1558218900.0
2062.0,1513977500.0
2063.0,1481704700.0
2064.0,1503852300.0
2065.0,1439871400.0
2066.0,1402035300.0
2067.0,1365686900.0
2068.0,1324597000.0
2069.0,1303941900.0
2070.0,1275313900.0
2071.0,1251593600.0
2072.0,1227159200.0
2073.0,1199533700.0
2074.0,1180347300.0
2075.0,1163124700.0
2076.0,1134264300.0
2077.0,1126071200.0
2078.0,1099787000.0
2079.0,1077717400.0
2080.0,1054010430.0
2081.0,1050247900.0
2082.0,1026188700.0
2083.0,999428800.0
2084.0,1014823940.0
2085.0,996940200.0
2086.0,991234600.0
2087.0,941329700.0
2088.0,932787400.0
2089.0,903567550.0
2090.0,936780860.0
2091.0,878004500.0
2092.0,869984450.0
2093.0,849880450.0
2094.0,833227500.0
2095.0,811495040.0
2096.0,812618900.0
2097.0,791361600.0
2098.0,845872900.0
2099.0,772274700.0
2100.0,751471600.0
