time,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,ACCESS-CM2,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,IPSL-CM6A-LR,CESM2-WACCM,TAIESM1
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2637729800.0,2721645000.0,2640273000.0,2650899200.0,2644930000.0,2641211000.0,2636562200.0,2637848600.0,2644676900.0,2661854700.0,2663846700.0,2670241300.0,2647447300.0,2647241200.0,2651846400.0,2641999600.0,2649748500.0,2652691700.0,2647899600.0
2022.0,2626308400.0,2661036500.0,2632402200.0,2642133800.0,2681781500.0,2635873500.0,2626649600.0,2630410000.0,2636992800.0,2641485300.0,2655746600.0,2654893000.0,2632725200.0,2638708700.0,2636441600.0,2629251000.0,2691444700.0,2637588200.0,2631713300.0
2023.0,2616807700.0,2640306700.0,2619225600.0,2639692300.0,2655750700.0,2622156000.0,2598390300.0,2611302400.0,2632250000.0,2629922000.0,2653624600.0,2643512000.0,2626068700.0,2630758000.0,2721568500.0,2610584000.0,2635354400.0,2628545800.0,2621337600.0
2024.0,2606385000.0,2649175300.0,2611849000.0,2617705200.0,2631665700.0,2683412200.0,2576960800.0,2599072000.0,2622442000.0,2625702400.0,2626939400.0,2636757500.0,2617123600.0,2623283700.0,2631252200.0,2599087600.0,2624800300.0,2615677200.0,2613900300.0
2025.0,2596438500.0,2628366300.0,2598556000.0,2621063400.0,2618959000.0,2638685700.0,2555780000.0,2587049500.0,2616888600.0,2611185400.0,2613248500.0,2660928500.0,2598253600.0,2617119000.0,2610852600.0,2584714800.0,2607797500.0,2601150000.0,2600355300.0
2026.0,2582056700.0,2629394400.0,2574512400.0,2597140700.0,2666282800.0,2620566300.0,2537813000.0,2565169000.0,2599109000.0,2598646500.0,2590890200.0,2725782800.0,2607711700.0,2605280000.0,2599933200.0,2571671000.0,2598001000.0,2595239000.0,2575303400.0
2027.0,2562477600.0,2613296000.0,2556632300.0,2582566100.0,2611367700.0,2605206800.0,2515021300.0,2554019000.0,2592390000.0,2594081500.0,2571471400.0,2723125000.0,2575414000.0,2592011300.0,2582238700.0,2552449800.0,2576023300.0,2588979700.0,2579138300.0
2028.0,2538231600.0,2598935000.0,2583931000.0,2550388700.0,2589880000.0,2587971600.0,2468289000.0,2528621600.0,2642431500.0,2645056300.0,2559111700.0,2742717000.0,2566317000.0,2575346000.0,2605396500.0,2532405800.0,2550789400.0,2610156500.0,2540128300.0
2029.0,2536727800.0,2584589000.0,2593006800.0,2574454800.0,2581758000.0,2573920000.0,2425346000.0,2514854400.0,2613913600.0,2574230000.0,2547858400.0,2661447000.0,2560608800.0,2594891800.0,2560666000.0,2513921300.0,2528687600.0,2557656800.0,2516060400.0
2030.0,2518560000.0,2558886100.0,2537900500.0,2539718700.0,2552842200.0,2567743700.0,2387595500.0,2487092500.0,2562950400.0,2558783500.0,2518106000.0,2636404500.0,2544214800.0,2569204500.0,2539492400.0,2492179700.0,2511843600.0,2536987600.0,2480801000.0
2031.0,2490424800.0,2542359000.0,2520730000.0,2517731800.0,2537418800.0,2553379800.0,2320775000.0,2453832200.0,2546612000.0,2540770000.0,2503999200.0,2614134300.0,2515582200.0,2538990300.0,2495618600.0,2459169500.0,2490341400.0,2549164800.0,2455991600.0
2032.0,2473513700.0,2532128500.0,2504969000.0,2566247200.0,2527345200.0,2542666200.0,2272383500.0,2424311000.0,2542198300.0,2512415700.0,2483733000.0,2614676200.0,2499794000.0,2526425300.0,2462595000.0,2433577500.0,2457223200.0,2506415400.0,2415741400.0
2033.0,2441041200.0,2519797200.0,2484607000.0,2518337500.0,2511699700.0,2543003100.0,2242098200.0,2399736600.0,2527630300.0,2481943300.0,2461264100.0,2589241600.0,2476257300.0,2511920400.0,2434527000.0,2389434000.0,2436949000.0,2481641000.0,2379742200.0
2034.0,2408799200.0,2506310400.0,2448764400.0,2482128100.0,2485480400.0,2524495600.0,2207747000.0,2362216400.0,2516929800.0,2463397000.0,2435025400.0,2569300200.0,2447696100.0,2493457200.0,2395502600.0,2367318800.0,2425718000.0,2453696800.0,2332103700.0
2035.0,2380826000.0,2479483400.0,2435635200.0,2455115800.0,2493561300.0,2506630000.0,2151050000.0,2332792000.0,2481167600.0,2454069800.0,2400349400.0,2560017400.0,2406808300.0,2461164500.0,2341522700.0,2306529800.0,2384142600.0,2438917600.0,2288029400.0
2036.0,2363502000.0,2453662700.0,2397959200.0,2440401200.0,2463538000.0,2489005600.0,2087302100.0,2303953000.0,2454489600.0,2438532000.0,2378515200.0,2545592000.0,2367835600.0,2432997400.0,2300482300.0,2280976600.0,2359488500.0,2410505700.0,2211173400.0
2037.0,2334420700.0,2427714300.0,2369671400.0,2433954000.0,2443956000.0,2467968500.0,2026369900.0,2250278000.0,2477653800.0,2419309300.0,2381388000.0,2532677600.0,2336113400.0,2425755600.0,2235662800.0,2242368800.0,2329377500.0,2382544400.0,2168486000.0
2038.0,2311558000.0,2405226200.0,2326097400.0,2411112200.0,2415365000.0,2452838700.0,1955201300.0,2232409300.0,2441982700.0,2390235600.0,2326424600.0,2519833000.0,2302007600.0,2382283800.0,2190285300.0,2177468200.0,2311473200.0,2359931600.0,2095692400.0
2039.0,2273382400.0,2372869600.0,2376997400.0,2395245000.0,2394707700.0,2430429200.0,1894672400.0,2188590000.0,2480888600.0,2373180000.0,2301920500.0,2509936600.0,2271564000.0,2355317500.0,2155739000.0,2122066600.0,2255199000.0,2342941400.0,2045188400.0
2040.0,2239263700.0,2341096400.0,2287441200.0,2360259000.0,2370466600.0,2433691400.0,1859616400.0,2145896200.0,2390497300.0,2336873500.0,2270358300.0,2497956000.0,2223448600.0,2313068000.0,2108024600.0,2100578200.0,2198134000.0,2315635200.0,1964522800.0
2041.0,2186857500.0,2315967500.0,2237494300.0,2331692800.0,2344281600.0,2395032000.0,1794431500.0,2095237400.0,2385498600.0,2322920200.0,2233146000.0,2493417200.0,2197366300.0,2280703700.0,2037695600.0,2066043600.0,2150124500.0,2285930200.0,1914743600.0
2042.0,2193147000.0,2278755600.0,2196309500.0,2293613300.0,2316781600.0,2378167800.0,1724339500.0,2035070700.0,2360489000.0,2321127000.0,2186915000.0,2463400700.0,2168134400.0,2256631800.0,1981541100.0,2028090800.0,2095168900.0,2238876000.0,1857294100.0
2043.0,2115511000.0,2226976000.0,2190235000.0,2279722200.0,2269003500.0,2363854000.0,1679629600.0,2007171000.0,2376164000.0,2278482000.0,2151030300.0,2537120300.0,2126581000.0,2209354200.0,1885812100.0,2013409500.0,2040534800.0,2196320300.0,1797502500.0
2044.0,2057008500.0,2170614300.0,2129131300.0,2225492500.0,2250784000.0,2332233000.0,1586220000.0,1977261700.0,2314569500.0,2255630300.0,2093607200.0,2468245200.0,2086012200.0,2171468800.0,1800061400.0,1967325400.0,1985694800.0,2146840800.0,1717468400.0
2045.0,2031686100.0,2103542700.0,2102573800.0,2192842800.0,2202150100.0,2301328600.0,1511884500.0,1920612900.0,2310946000.0,2224499500.0,2034357800.0,2432520200.0,2047744600.0,2139559300.0,1716965100.0,2133834000.0,1930748900.0,2120352400.0,1609116000.0
2046.0,1999838100.0,2058934700.0,2059904300.0,2147487000.0,2166446000.0,2281148200.0,1446196700.0,1893496700.0,2278590700.0,2186678300.0,1982214800.0,2404545000.0,2025831800.0,2100975500.0,1661685900.0,1933449000.0,1848802400.0,2074001500.0,1566175100.0
2047.0,1960338600.0,1992313500.0,2027564900.0,2103977900.0,2134937200.0,2244931800.0,1397212000.0,1821070200.0,2250677000.0,2140395900.0,1925501800.0,2388717800.0,1972874800.0,2064692400.0,1578318300.0,1879894400.0,1762675100.0,2038655200.0,1498657700.0
2048.0,1933424400.0,1948535800.0,1973399700.0,2053014100.0,2086452100.0,2213712000.0,1337052900.0,1766360000.0,2219679500.0,2108290300.0,1858328600.0,2362818300.0,1943398700.0,2033862500.0,1520300500.0,1834082300.0,1686514700.0,1994917800.0,1425420000.0
2049.0,1889059700.0,1878424000.0,1915399700.0,2028230400.0,2051640600.0,2178595000.0,1283168800.0,1713253800.0,2179084800.0,2064832900.0,1793161500.0,2340766200.0,1977399900.0,2000428000.0,1438165100.0,1758831900.0,1624095400.0,1941976000.0,1354439700.0
