time,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,NORESM2-MM,GFDL-ESM4,CESM2,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2647896300.0,2748324600.0,2646455300.0,2646273000.0,2675494400.0,2642827000.0,2645844700.0,2695654700.0,2642742000.0,2660677000.0,2659191000.0,2653728800.0,2644559400.0
2022.0,2654958800.0,2667138000.0,2653459000.0,2646225200.0,2640691200.0,2637197300.0,2633868800.0,2665844200.0,2633864700.0,2635476700.0,2638398700.0,2638477800.0,2631187700.0
2023.0,2625812500.0,2653060600.0,2631591200.0,2628861400.0,2630359300.0,2624205300.0,2615844000.0,2704821500.0,2622721300.0,2623607800.0,2638564000.0,2630055700.0,2618621400.0
