time,GISS-E2-R,CANESM2,CESM1-CAM5,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28260837000.0,28365754000.0,28509460000.0,28299248000.0,28217887000.0,28283177000.0,28286192000.0,28260237000.0,28261372000.0,28289670000.0,28312416000.0
2022.0,28155857000.0,28201613000.0,28341449000.0,28055499000.0,28171356000.0,28294912000.0,28137816000.0,28181907000.0,28199430000.0,28174383000.0,28239577000.0
2023.0,28025221000.0,28001192000.0,28206494000.0,28049435000.0,27992572000.0,28166748000.0,28015751000.0,28161479000.0,28049377000.0,28019534000.0,28061192000.0
2024.0,27902159000.0,27798706000.0,28287373000.0,27877351000.0,27852808000.0,28047229000.0,28122505000.0,27964266000.0,27946496000.0,27905296000.0,27987280000.0
2025.0,27843801000.0,27650486000.0,28093338000.0,27766297000.0,27690828000.0,27922848000.0,27817900000.0,27821705000.0,27853967000.0,27961383000.0,27833575000.0
2026.0,27704898000.0,27488887000.0,27930698000.0,27584348000.0,27504855000.0,27846330000.0,27750960000.0,27678984000.0,27696062000.0,27755465000.0,27740000000.0
2027.0,27506205000.0,27304196000.0,27817163000.0,27384506000.0,27369505000.0,27828701000.0,27560840000.0,27557198000.0,27677616000.0,27693945000.0,27582605000.0
2028.0,27334277000.0,27135574000.0,27738370000.0,27267092000.0,27171842000.0,27653106000.0,27471897000.0,27419660000.0,27472523000.0,27520965000.0,27371575000.0
2029.0,27122186000.0,26902940000.0,27533169000.0,27233591000.0,27066964000.0,27441453000.0,27394693000.0,27422910000.0,27348527000.0,27416707000.0,27246141000.0
2030.0,27227554000.0,26748390000.0,27468368000.0,26992191000.0,26991995000.0,27357147000.0,27278911000.0,27242260000.0,27219954000.0,27323711000.0,27041384000.0
2031.0,26944860000.0,26601144000.0,27220658000.0,26778647000.0,26802182000.0,27222813000.0,27303158000.0,27048319000.0,27026210000.0,27216134000.0,26849778000.0
2032.0,26756864000.0,26309116000.0,27038237000.0,26484462000.0,26729030000.0,27100418000.0,27044320000.0,26977581000.0,26865250000.0,27031646000.0,26670488000.0
2033.0,26613998000.0,26119832000.0,26931476000.0,26332402000.0,26442224000.0,27051385000.0,26897408000.0,26750665000.0,26628264000.0,26854244000.0,26454465000.0
2034.0,26415432000.0,25922073000.0,26789485000.0,26082218000.0,26241180000.0,26855944000.0,26710667000.0,26655537000.0,26409564000.0,26673127000.0,26350119000.0
2035.0,26229025000.0,25635373000.0,26640780000.0,25960747000.0,25994648000.0,26673342000.0,26652008000.0,26416568000.0,26199870000.0,26489150000.0,26726760000.0
2036.0,26001158000.0,25399871000.0,26459220000.0,25541693000.0,25796583000.0,26711288000.0,26503209000.0,26256284000.0,25970864000.0,26323595000.0,26152655000.0
2037.0,25857116000.0,25173340000.0,26296873000.0,25288753000.0,25506367000.0,26443809000.0,26339543000.0,26237903000.0,25831570000.0,26233774000.0,25852598000.0
2038.0,25734631000.0,24996846000.0,26090760000.0,25144914000.0,25321495000.0,26330145000.0,26361375000.0,26044369000.0,25591235000.0,26024096000.0,25689680000.0
2039.0,25561256000.0,24604264000.0,25872335000.0,25084824000.0,25130676000.0,26088008000.0,26225547000.0,25901337000.0,25447512000.0,25798648000.0,25456566000.0
2040.0,25386040000.0,24293712000.0,25762855000.0,24832350000.0,24958249000.0,26095815000.0,26160673000.0,25768673000.0,25225570000.0,25615606000.0,25342388000.0
2041.0,25245360000.0,24059398000.0,25752592000.0,24617840000.0,24734400000.0,25810751000.0,26430192000.0,25602718000.0,25002394000.0,25510193000.0,25188612000.0
2042.0,25122760000.0,23907250000.0,25481765000.0,24505448000.0,24570034000.0,25677502000.0,26048473000.0,25530403000.0,24738773000.0,25449363000.0,25109957000.0
2043.0,25151902000.0,23764433000.0,25310568000.0,24297896000.0,24378552000.0,25593549000.0,25975005000.0,25317999000.0,24514620000.0,25249630000.0,24868004000.0
2044.0,24869876000.0,23492086000.0,25195661000.0,24177826000.0,24121018000.0,25434356000.0,25943005000.0,25124927000.0,24415150000.0,25065781000.0,24709476000.0
2045.0,24736660000.0,23358183000.0,25026769000.0,23819385000.0,23974158000.0,25388153000.0,25878856000.0,24964237000.0,24145676000.0,24915739000.0,24541530000.0
2046.0,24511048000.0,23081056000.0,24825020000.0,23653673000.0,23825170000.0,25088310000.0,25832876000.0,24801913000.0,24035504000.0,24820840000.0,24335160000.0
2047.0,24337437000.0,22895487000.0,24772956000.0,23505017000.0,23659717000.0,25098519000.0,25697200000.0,24587344000.0,23732183000.0,24730241000.0,24201198000.0
2048.0,24219367000.0,22574815000.0,24417780000.0,23312243000.0,23460522000.0,24950864000.0,26038895000.0,24436908000.0,23814644000.0,24547416000.0,24054204000.0
2049.0,23996891000.0,22397503000.0,24203442000.0,23165520000.0,23345805000.0,24829807000.0,25554917000.0,24297900000.0,23584444000.0,24520172000.0,23869866000.0
2050.0,23884282000.0,22165572000.0,24322150000.0,22875922000.0,23085308000.0,24569768000.0,25440074000.0,24287443000.0,23294284000.0,24276873000.0,23706874000.0
2051.0,23682167000.0,21966496000.0,23957494000.0,22693546000.0,22912907000.0,24390044000.0,25336970000.0,23914998000.0,23157924000.0,24125614000.0,23507081000.0
2052.0,23518050000.0,21809134000.0,23716852000.0,22541443000.0,22827040000.0,24244486000.0,25227450000.0,23757240000.0,23086561000.0,23985762000.0,23347857000.0
2053.0,23428190000.0,21597577000.0,23547722000.0,22470775000.0,22591433000.0,24044268000.0,25367976000.0,23585894000.0,22835155000.0,23858770000.0,23192588000.0
2054.0,23215346000.0,21531767000.0,23406600000.0,22257013000.0,22469770000.0,23936506000.0,25136052000.0,23361882000.0,22581370000.0,23694612000.0,23070220000.0
2055.0,23052427000.0,21186198000.0,23352828000.0,22144373000.0,22277480000.0,23854178000.0,25036694000.0,23110610000.0,22440612000.0,23611355000.0,22949114000.0
2056.0,23088132000.0,20993310000.0,23146224000.0,22037540000.0,22042884000.0,23672881000.0,25203886000.0,22957793000.0,22478385000.0,23488367000.0,22792143000.0
2057.0,22762068000.0,20804760000.0,22899405000.0,21869638000.0,21813045000.0,23525612000.0,24897563000.0,22754486000.0,22239574000.0,23373400000.0,22662834000.0
2058.0,22556713000.0,20577890000.0,22719134000.0,21694652000.0,21588870000.0,23487500000.0,24770374000.0,22470846000.0,22943439000.0,23163308000.0,22470613000.0
2059.0,22405978000.0,20364843000.0,22583171000.0,21490106000.0,21366073000.0,23311092000.0,24726168000.0,22346205000.0,22325383000.0,23006820000.0,22266733000.0
2060.0,22269788000.0,20190263000.0,22629044000.0,21435961000.0,21164740000.0,23203630000.0,24580874000.0,22243994000.0,22036435000.0,22849366000.0,22148727000.0
2061.0,22129877000.0,19985380000.0,22219231000.0,21190382000.0,20894632000.0,23044657000.0,24480790000.0,22767763000.0,21828123000.0,22845327000.0,21994496000.0
2062.0,22128757000.0,19802550000.0,21997425000.0,21137353000.0,20713736000.0,23295093000.0,24388390000.0,22056993000.0,21660969000.0,22598058000.0,21890540000.0
2063.0,21839505000.0,19628569000.0,21798017000.0,21145629000.0,20528820000.0,22962557000.0,24431673000.0,21734248000.0,21442554000.0,22555386000.0,21901722000.0
2064.0,21685576000.0,19457659000.0,21681734000.0,20828280000.0,20594938000.0,22699268000.0,24221708000.0,21560970000.0,21292614000.0,22401390000.0,21572833000.0
2065.0,21543834000.0,19329948000.0,21496238000.0,20664132000.0,20936980000.0,22566457000.0,24230836000.0,21464642000.0,21159207000.0,22250813000.0,21445900000.0
2066.0,22293189000.0,19184738000.0,21366874000.0,20513354000.0,20198922000.0,22394139000.0,24088592000.0,21272328000.0,21088170000.0,22127420000.0,21313622000.0
2067.0,21606134000.0,19049028000.0,21189097000.0,20708112000.0,19955405000.0,22307768000.0,24458540000.0,21197785000.0,20929634000.0,22002985000.0,21477018000.0
2068.0,21359730000.0,18923067000.0,20947880000.0,20281470000.0,19752653000.0,22215143000.0,23925387000.0,21174372000.0,20844997000.0,21947230000.0,21353855000.0
2069.0,21172773000.0,18782325000.0,20739785000.0,20151767000.0,19587887000.0,22119397000.0,23795134000.0,21017975000.0,20674783000.0,21798009000.0,21066684000.0
2070.0,21380604000.0,18637543000.0,20548950000.0,20171747000.0,19467143000.0,21997335000.0,23764808000.0,20876712000.0,20521247000.0,21588259000.0,20969520000.0
2071.0,21021786000.0,18503401000.0,20293396000.0,20122804000.0,19206404000.0,21914878000.0,23613133000.0,20693301000.0,20489812000.0,21473083000.0,20812329000.0
