time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28279280000.0,28421770000.0,28289653000.0,28457316000.0,28300690000.0,28249807000.0,28272800000.0
2022.0,28154757000.0,28156516000.0,28252461000.0,28326367000.0,28192293000.0,28075310000.0,28140399000.0
2023.0,27998210000.0,28039944000.0,28091994000.0,28538218000.0,28096060000.0,27891149000.0,28010971000.0
2024.0,27849441000.0,27973816000.0,28029936000.0,28176185000.0,27953310000.0,27930276000.0,27829033000.0
2025.0,27709719000.0,27814314000.0,27952615000.0,28065820000.0,27798174000.0,27805860000.0,27711746000.0
2026.0,27716456000.0,27668040000.0,27841124000.0,27946097000.0,27960568000.0,27523658000.0,27550415000.0
2027.0,27674520000.0,27608318000.0,27580160000.0,28176935000.0,27649330000.0,27385975000.0,27361522000.0
2028.0,27402258000.0,27461265000.0,27447030000.0,27986244000.0,27481100000.0,27374445000.0,27206283000.0
2029.0,27148526000.0,27299037000.0,27301298000.0,27757683000.0,27466998000.0,27099052000.0,27196832000.0
2030.0,26961773000.0,27074499000.0,27365059000.0,27611711000.0,27256902000.0,26854296000.0,27096433000.0
2031.0,26926553000.0,26927999000.0,27046824000.0,27513900000.0,27040526000.0,26803454000.0,27058455000.0
2032.0,26683662000.0,26738123000.0,26845747000.0,27368060000.0,26886627000.0,26523090000.0,26806950000.0
2033.0,26560890000.0,26590306000.0,26608378000.0,27332874000.0,26673025000.0,26346682000.0,26631303000.0
2034.0,26393868000.0,26588418000.0,26427044000.0,27152892000.0,26555350000.0,26206245000.0,26407455000.0
