time,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CCSM4
2049.0,23179422000.0,24090413000.0,25722792000.0,22946357000.0,24521980000.0,25563961000.0,26145786000.0,25039819000.0,24832740000.0,24722190000.0
2050.0,22960304000.0,23841174000.0,25936982000.0,22703591000.0,24299817000.0,25481916000.0,26395122000.0,24990413000.0,24780030000.0,24641500000.0
2051.0,22703903000.0,23615388000.0,25760401000.0,22469693000.0,24121596000.0,25515733000.0,26009706000.0,24856019000.0,24762622000.0,24412890000.0
2052.0,22665644000.0,23477408000.0,25714637000.0,22177542000.0,24059754000.0,25465786000.0,26036828000.0,24813210000.0,24549810000.0,24296753000.0
2053.0,22436400000.0,23366179000.0,25736765000.0,22178277000.0,24120637000.0,25399777000.0,25953522000.0,24613515000.0,24517925000.0,24323488000.0
2054.0,22262235000.0,23189553000.0,25447313000.0,21860063000.0,24010846000.0,25465537000.0,26629917000.0,24389655000.0,24355183000.0,24435632000.0
2055.0,22480568000.0,23107160000.0,25526692000.0,21628324000.0,24203266000.0,25238340000.0,26195010000.0,24209035000.0,24506420000.0,24031030000.0
2056.0,22093076000.0,23014902000.0,25261873000.0,21493162000.0,23799366000.0,25136822000.0,26019308000.0,24305977000.0,24186593000.0,24066787000.0
2057.0,21900618000.0,22784068000.0,25108713000.0,21214063000.0,23646710000.0,25103049000.0,26139812000.0,24404058000.0,24160760000.0,23825520000.0
2058.0,21901773000.0,22610651000.0,25037285000.0,21019847000.0,23633959000.0,24990728000.0,25891480000.0,24478298000.0,24076384000.0,23652188000.0
2059.0,21565469000.0,22512884000.0,24912347000.0,20778402000.0,23414718000.0,24911006000.0,26024907000.0,23989645000.0,24019905000.0,23789056000.0
2060.0,21476776000.0,22437272000.0,24776841000.0,20864152000.0,23307890000.0,24935926000.0,26190483000.0,23829770000.0,23954653000.0,23679140000.0
2061.0,21296212000.0,22336778000.0,24805022000.0,20485470000.0,23459217000.0,24743328000.0,26004281000.0,23652230000.0,23752608000.0,23482255000.0
2062.0,21201260000.0,22045895000.0,24627814000.0,20294940000.0,23419802000.0,24710224000.0,25957950000.0,24134015000.0,23643003000.0,23273724000.0
2063.0,21368998000.0,22013377000.0,24598262000.0,20131723000.0,23213960000.0,24859664000.0,25765160000.0,24317645000.0,23511984000.0,23144305000.0
2064.0,21363325000.0,21796650000.0,24393755000.0,20095031000.0,23091930000.0,24583375000.0,25840937000.0,23620479000.0,23451566000.0,24236818000.0
2065.0,20932303000.0,21690140000.0,24767592000.0,19895525000.0,23044220000.0,24514673000.0,25699404000.0,23502698000.0,23337340000.0,24019124000.0
2066.0,20775838000.0,21528700000.0,24399340000.0,19856906000.0,23251833000.0,24412810000.0,25721467000.0,23304262000.0,23276143000.0,23365420000.0
2067.0,20685320000.0,21389880000.0,24177380000.0,19670110000.0,23075041000.0,24328411000.0,25988434000.0,23404227000.0,23073241000.0,23072362000.0
2068.0,20582701000.0,21380289000.0,24037360000.0,19470369000.0,23072606000.0,24324223000.0,25767385000.0,23499108000.0,23144428000.0,23957891000.0
2069.0,20486883000.0,21245800000.0,23899079000.0,19402527000.0,23067621000.0,24226770000.0,26011314000.0,23559660000.0,22906653000.0,24319021000.0
2070.0,20589408000.0,21159784000.0,23809570000.0,19306246000.0,23028703000.0,24119257000.0,25775847000.0,23116010000.0,22797263000.0,23532648000.0
2071.0,20365703000.0,21093960000.0,23885478000.0,19333712000.0,22794381000.0,24044716000.0,25672886000.0,22998176000.0,22817876000.0,23235514000.0
2072.0,20272011000.0,21475630000.0,23724487000.0,19443333000.0,22695352000.0,23977257000.0,26651802000.0,23031992000.0,22705832000.0,23090602000.0
2073.0,20159838000.0,21311123000.0,23892701000.0,19081126000.0,22655123000.0,23913736000.0,26425410000.0,22877921000.0,22817841000.0,22890662000.0
2074.0,20109464000.0,21009525000.0,23843193000.0,18907849000.0,22591916000.0,23863423000.0,26373687000.0,22853060000.0,22717186000.0,23198876000.0
2075.0,19984898000.0,20789228000.0,23590228000.0,19364050000.0,22597850000.0,23790322000.0,25931313000.0,22690908000.0,22537191000.0,23813900000.0
2076.0,19945566000.0,20645954000.0,23469672000.0,19019100000.0,23139700000.0,23913556000.0,26114204000.0,22754128000.0,22535707000.0,23068514000.0
2077.0,19830452000.0,20529150000.0,23397777000.0,18758280000.0,22589840000.0,23782363000.0,26673777000.0,22680780000.0,22582974000.0,22887743000.0
2078.0,19794940000.0,20407470000.0,23625351000.0,18638926000.0,22407600000.0,23624958000.0,26199777000.0,22643610000.0,22665384000.0,23300985000.0
2079.0,20088050000.0,20266224000.0,23337382000.0,19575440000.0,22487237000.0,23543350000.0,26116073000.0,22763833000.0,22260540000.0,22829027000.0
2080.0,19628593000.0,20177007000.0,23491355000.0,18607034000.0,22462478000.0,23511024000.0,26173565000.0,22584492000.0,22308106000.0,23035023000.0
2081.0,19564153000.0,21202874000.0,23171547000.0,18568330000.0,22294495000.0,23465476000.0,26057590000.0,22546457000.0,22224896000.0,22942333000.0
2082.0,19758674000.0,20147857000.0,23617825000.0,18740068000.0,22240805000.0,23343254000.0,26131569000.0,22506232000.0,22051922000.0,22667751000.0
2083.0,19603420000.0,19913964000.0,23113488000.0,18561878000.0,22207990000.0,23276175000.0,26033727000.0,23633988000.0,21889350000.0,22497403000.0
2084.0,19426918000.0,20051050000.0,23249236000.0,18289860000.0,22228044000.0,23182676000.0,25891803000.0,22675448000.0,21872499000.0,22438793000.0
2085.0,19683800000.0,19959511000.0,23098477000.0,18227628000.0,22092413000.0,23212956000.0,26155684000.0,22521661000.0,21925204000.0,22660987000.0
2086.0,19428640000.0,19698926000.0,22971914000.0,18147439000.0,21921227000.0,23057580000.0,25948948000.0,22585550000.0,21711088000.0,22492168000.0
2087.0,19224013000.0,19574309000.0,22921404000.0,18156438000.0,21869730000.0,22883938000.0,26346312000.0,22896898000.0,21596348000.0,23488092000.0
2088.0,19155925000.0,19601480000.0,22921830000.0,18199380000.0,21987030000.0,22790902000.0,26398994000.0,22544808000.0,21513509000.0,23283898000.0
2089.0,19470307000.0,19443577000.0,23134124000.0,18256871000.0,22175414000.0,22699432000.0,26874395000.0,22504507000.0,21516687000.0,22595848000.0
2090.0,19141018000.0,19980920000.0,23138746000.0,17916936000.0,21853917000.0,22622792000.0,26332398000.0,22654804000.0,21415731000.0,22863330000.0
2091.0,18930532000.0,19410733000.0,22876848000.0,18183467000.0,22263486000.0,22447876000.0,26421604000.0,22321590000.0,21340697000.0,22607313000.0
2092.0,18789358000.0,19309998000.0,23379198000.0,18308390000.0,21917417000.0,22299572000.0,26032181000.0,23021943000.0,22974884000.0,22475799000.0
2093.0,19136740000.0,19343150000.0,22841733000.0,18432535000.0,21718426000.0,22156430000.0,25988893000.0,22596727000.0,21905230000.0,22181937000.0
2094.0,19011695000.0,19261145000.0,22788219000.0,17890032000.0,21672307000.0,22038118000.0,26195028000.0,22356451000.0,22018404000.0,22125646000.0
2095.0,18635856000.0,19119806000.0,22779380000.0,17731879000.0,21658687000.0,22009422000.0,26339703000.0,22232810000.0,21433768000.0,22160624000.0
2096.0,18531801000.0,19195146000.0,22738872000.0,17768184000.0,22059741000.0,21808433000.0,26190418000.0,22918621000.0,21656009000.0,22029226000.0
2097.0,18518426000.0,18981528000.0,22705530000.0,17680804000.0,22477531000.0,21669433000.0,25962666000.0,22249916000.0,21559796000.0,22444368000.0
2098.0,18567709000.0,18886340000.0,22650216000.0,17575977000.0,21732932000.0,21562920000.0,26479512000.0,22402190000.0,21206184000.0,22994217000.0
2099.0,18411698000.0,19175030000.0,22624696000.0,17603970000.0,21472647000.0,21386093000.0,26301366000.0,22287208000.0,21152910000.0,22138866000.0
2100.0,18285480000.0,18735450000.0,22921093000.0,17510537000.0,21689348000.0,21240422000.0,26016950000.0,22285816000.0,21101871000.0,22005723000.0
