time,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM,CANESM5
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
2018.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0
2019.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0
2020.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0
2021.0,26782814000000.0,26837770000000.0,26757090000000.0,26763046000000.0
2022.0,26677036000000.0,26849490000000.0,26754550000000.0,26703934000000.0
2023.0,26596902000000.0,26784035000000.0,26723372000000.0,26658680000000.0
2024.0,26598724000000.0,26739720000000.0,26710418000000.0,26626771000000.0
2025.0,26508117000000.0,26760117000000.0,26628588000000.0,26495825000000.0
2026.0,26421517000000.0,26772794000000.0,26580961000000.0,26482758000000.0
2027.0,26380790000000.0,26741842000000.0,26575968000000.0,26463202000000.0
2028.0,26329880000000.0,26666170000000.0,26612513000000.0,26352830000000.0
2029.0,26282708000000.0,26642638000000.0,26537147000000.0,26253533000000.0
2030.0,26270640000000.0,26556408000000.0,26518883000000.0,26254374000000.0
2031.0,26209600000000.0,26549483000000.0,26519320000000.0,26205246000000.0
2032.0,26142434000000.0,26484616000000.0,26481642000000.0,26134912000000.0
2033.0,26105837000000.0,26499460000000.0,26392450000000.0,26071206000000.0
2034.0,26029448000000.0,26417817000000.0,26334198000000.0,25979253000000.0
2035.0,26016555000000.0,26379544000000.0,26288153000000.0,25891241000000.0
2036.0,25979450000000.0,26372238000000.0,26255961000000.0,25793349000000.0
2037.0,25921036000000.0,26266158000000.0,26230405000000.0,25754390000000.0
2038.0,25860619000000.0,26273060000000.0,26141895000000.0,25639556000000.0
2039.0,25832010000000.0,26203952000000.0,26036004000000.0,25529510000000.0
2040.0,25786073000000.0,26183742000000.0,25936412000000.0,25464880000000.0
2041.0,25814312000000.0,26207383000000.0,25856563000000.0,25387378000000.0
2042.0,25779698000000.0,26152607000000.0,25819808000000.0,25268691000000.0
2043.0,25676042000000.0,26088101000000.0,25741465000000.0,25227317000000.0
2044.0,25572445000000.0,26026172000000.0,25631008000000.0,25079239000000.0
2045.0,25510426000000.0,25869339000000.0,25619566000000.0,25020334000000.0
2046.0,25425320000000.0,25785342000000.0,25537324000000.0,24988728000000.0
2047.0,25370256000000.0,25708462000000.0,25460465000000.0,24946519000000.0
2048.0,25242650000000.0,25691188000000.0,25409456000000.0,24850379000000.0
2049.0,25066132000000.0,25567690000000.0,25309192000000.0,24743430000000.0
2050.0,24987602000000.0,25455835000000.0,25189866000000.0,24642218000000.0
2051.0,24937380000000.0,25370439000000.0,25159753000000.0,24575037000000.0
2052.0,24882304000000.0,25279846000000.0,25035553000000.0,24456513000000.0
2053.0,24820484000000.0,25062453000000.0,24973420000000.0,24340091000000.0
2054.0,24733260000000.0,24858954000000.0,24877252000000.0,24214833000000.0
2055.0,24656153000000.0,24831616000000.0,24781154000000.0,24091501000000.0
2056.0,24536467000000.0,24763626000000.0,24695758000000.0,24005577000000.0
2057.0,24451987000000.0,24733481000000.0,24617756000000.0,23857893000000.0
2058.0,24300900000000.0,24598597000000.0,24487863000000.0,23768450000000.0
2059.0,24185620000000.0,24406141000000.0,24344386000000.0,23653863000000.0
2060.0,24027213000000.0,24356395000000.0,24247859000000.0,23518987000000.0
2061.0,23847005000000.0,24171248000000.0,24100911000000.0,23405563000000.0
2062.0,23764832000000.0,24079920000000.0,24030910000000.0,23246280000000.0
2063.0,23624593000000.0,24023862000000.0,23908124000000.0,23160982000000.0
2064.0,23598897000000.0,23884657000000.0,23708802000000.0,23049340000000.0
2065.0,23549996000000.0,23801811000000.0,23508222000000.0,22984153000000.0
2066.0,23410973000000.0,23680975000000.0,23394024000000.0,22882806000000.0
2067.0,23255587000000.0,23666800000000.0,23248702000000.0,22853968000000.0
2068.0,23059822000000.0,23676058000000.0,23005462000000.0,22773575000000.0
2069.0,22887732000000.0,23639110000000.0,22892704000000.0,22612659000000.0
2070.0,22749163000000.0,23484692000000.0,22776770000000.0,22559120000000.0
2071.0,22599784000000.0,23391428000000.0,22711330000000.0,22489887000000.0
2072.0,22550940000000.0,23324533000000.0,22620578000000.0,22392500000000.0
2073.0,22473488000000.0,23235788000000.0,22511255000000.0,22273927000000.0
2074.0,22365572000000.0,23096807000000.0,22382224000000.0,22245915000000.0
2075.0,22280512000000.0,23007714000000.0,22362710000000.0,22063557000000.0
2076.0,22047158000000.0,22947085000000.0,22112115000000.0,21878658000000.0
2077.0,22011892000000.0,22801658000000.0,22061114000000.0,21739757000000.0
2078.0,21924590000000.0,22738113000000.0,21900456000000.0,21656740000000.0
2079.0,21867992000000.0,22678918000000.0,21742142000000.0,21606888000000.0
2080.0,21787948000000.0,22534754000000.0,21619525000000.0,21532676000000.0
2081.0,21712448000000.0,22355303000000.0,21434913000000.0,21429146000000.0
2082.0,21658635000000.0,22272998000000.0,21390284000000.0,21336349000000.0
2083.0,21584230000000.0,22145700000000.0,21257442000000.0,21224269000000.0
2084.0,21513072000000.0,22054594000000.0,21144013000000.0,21074750000000.0
2085.0,21384353000000.0,21977115000000.0,21085450000000.0,20985655000000.0
2086.0,21271690000000.0,21947109000000.0,21094566000000.0,20931437000000.0
2087.0,21126655000000.0,21950506000000.0,21040670000000.0,20824147000000.0
2088.0,21078433000000.0,21948113000000.0,20844120000000.0,20774440000000.0
2089.0,21054794000000.0,21933300000000.0,20743883000000.0,20648133000000.0
2090.0,20913350000000.0,21917604000000.0,20611950000000.0,20544582000000.0
2091.0,20822626000000.0,21805874000000.0,20508261000000.0,20437866000000.0
2092.0,20755383000000.0,21656408000000.0,20474760000000.0,20394627000000.0
2093.0,20687576000000.0,21610738000000.0,20353376000000.0,20356912000000.0
2094.0,20594913000000.0,21482806000000.0,20213192000000.0,20245683000000.0
2095.0,20555856000000.0,21463185000000.0,20019929000000.0,20218177000000.0
2096.0,20518464000000.0,21432942000000.0,19872438000000.0,20033623000000.0
2097.0,20495234000000.0,21450071000000.0,19793883000000.0,19956138000000.0
2098.0,20388461000000.0,21379498000000.0,19627044000000.0,19864608000000.0
2099.0,20336744000000.0,21319430000000.0,19558685000000.0,19779878000000.0
2100.0,20240870000000.0,21276698000000.0,19540654000000.0,19648429000000.0
