time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
