time,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,MRI-ESM2-0,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,GFDL-ESM4
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
