time,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CANESM5,GFDL-ESM4,MPI-ESM1-2-HR,ACCESS-CM2,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,CAMS-CSM1-0,CESM2-WACCM,EC-EARTH3,EC-EARTH3-VEG,INM-CM4-8,INM-CM5-0,ACCESS-ESM1-5
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
2018.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0
2019.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0
2020.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0
2021.0,26779980000000.0,26749717000000.0,26708711000000.0,26765340000000.0,26748878000000.0,26803910000000.0,26753836000000.0,26686301000000.0,26697540000000.0,26765234000000.0,26713392000000.0,26755625000000.0,26731457000000.0,26738850000000.0,26739365000000.0,26765722000000.0,26737843000000.0
2022.0,26788565000000.0,26676518000000.0,26654536000000.0,26710670000000.0,26674590000000.0,26756190000000.0,26724583000000.0,26676258000000.0,26641563000000.0,26648460000000.0,26689954000000.0,26756240000000.0,26643383000000.0,26654164000000.0,26684040000000.0,26717985000000.0,26672842000000.0
2023.0,26708592000000.0,26684896000000.0,26624689000000.0,26688872000000.0,26645465000000.0,26739154000000.0,26686662000000.0,26638494000000.0,26536567000000.0,26581987000000.0,26617275000000.0,26821110000000.0,26505273000000.0,26581605000000.0,26677176000000.0,26607457000000.0,26570257000000.0
2024.0,26739575000000.0,26610630000000.0,26634902000000.0,26750663000000.0,26663878000000.0,26736635000000.0,26697615000000.0,26654181000000.0,26501068000000.0,26545144000000.0,26573992000000.0,26831869000000.0,26416876000000.0,26448985000000.0,26636697000000.0,26534390000000.0,26537068000000.0
2025.0,26718404000000.0,26557754000000.0,26609837000000.0,26717058000000.0,26662387000000.0,26686127000000.0,26716842000000.0,26551588000000.0,26419847000000.0,26535092000000.0,26599863000000.0,26800755000000.0,26258090000000.0,26371905000000.0,26583195000000.0,26445051000000.0,26432800000000.0
2026.0,26633858000000.0,26517516000000.0,26569250000000.0,26591500000000.0,26635407000000.0,26684493000000.0,26660997000000.0,26502236000000.0,26336687000000.0,26503210000000.0,26555705000000.0,26720577000000.0,26134675000000.0,26291655000000.0,26473300000000.0,26416987000000.0,26371350000000.0
2027.0,26568072000000.0,26454850000000.0,26494443000000.0,26524550000000.0,26646500000000.0,26711893000000.0,26590447000000.0,26443400000000.0,26279112000000.0,26481627000000.0,26569595000000.0,26670420000000.0,26009225000000.0,26165998000000.0,26438061000000.0,26318940000000.0,26279858000000.0
2028.0,26494082000000.0,26404295000000.0,26425294000000.0,26486212000000.0,26626280000000.0,26674534000000.0,26533037000000.0,26391496000000.0,26210948000000.0,26424065000000.0,26546423000000.0,26620482000000.0,25858736000000.0,26076355000000.0,26397236000000.0,26281980000000.0,26205581000000.0
2029.0,26474306000000.0,26358179000000.0,26376504000000.0,26450023000000.0,26633998000000.0,26619260000000.0,26498413000000.0,26308684000000.0,26135147000000.0,26351160000000.0,26522734000000.0,26620532000000.0,25738263000000.0,26025030000000.0,26374590000000.0,26257081000000.0,26104780000000.0
2030.0,26405540000000.0,26297665000000.0,26331127000000.0,26402387000000.0,26549628000000.0,26605620000000.0,26425088000000.0,26277019000000.0,26089011000000.0,26272663000000.0,26410113000000.0,26581473000000.0,25615833000000.0,25926570000000.0,26323741000000.0,26208398000000.0,26086811000000.0
2031.0,26363480000000.0,26282161000000.0,26269730000000.0,26328730000000.0,26484329000000.0,26554920000000.0,26407430000000.0,26136216000000.0,26019002000000.0,26214640000000.0,26343943000000.0,26557085000000.0,25476730000000.0,25800475000000.0,26315365000000.0,26149678000000.0,26046076000000.0
2032.0,26267170000000.0,26202268000000.0,26257094000000.0,26269526000000.0,26461482000000.0,26540356000000.0,26364653000000.0,26068761000000.0,25995933000000.0,26132907000000.0,26266804000000.0,26450810000000.0,25434702000000.0,25653840000000.0,26227268000000.0,26076910000000.0,25965978000000.0
2033.0,26128777000000.0,26141910000000.0,26260265000000.0,26124344000000.0,26436776000000.0,26525510000000.0,26344096000000.0,26104270000000.0,25968930000000.0,26037342000000.0,26245310000000.0,26422590000000.0,25379908000000.0,25637765000000.0,26179839000000.0,26063816000000.0,25945396000000.0
2034.0,26099937000000.0,26160392000000.0,26195041000000.0,26041716000000.0,26337956000000.0,26411427000000.0,26279433000000.0,26030251000000.0,25917938000000.0,25947450000000.0,26170934000000.0,26371665000000.0,25247271000000.0,25540625000000.0,26109706000000.0,25993452000000.0,25891971000000.0
2035.0,26051541000000.0,26080304000000.0,26140914000000.0,25973960000000.0,26279230000000.0,26359837000000.0,26257822000000.0,25929437000000.0,25824573000000.0,25867512000000.0,26180724000000.0,26309877000000.0,25072720000000.0,25468563000000.0,26069248000000.0,25946010000000.0,25863553000000.0
2036.0,25969497000000.0,26037020000000.0,26107886000000.0,25877807000000.0,26249286000000.0,26273024000000.0,26214018000000.0,25874330000000.0,25745496000000.0,25770093000000.0,26130094000000.0,26231957000000.0,24923416000000.0,25453398000000.0,26012623000000.0,25890630000000.0,25800884000000.0
2037.0,25892334000000.0,25976590000000.0,26059978000000.0,25752570000000.0,26225527000000.0,26300595000000.0,26188215000000.0,25848667000000.0,25731168000000.0,25727406000000.0,26096955000000.0,26101647000000.0,24819427000000.0,25330186000000.0,25966412000000.0,25849870000000.0,25802142000000.0
2038.0,25785694000000.0,25913633000000.0,25962664000000.0,25681684000000.0,26141753000000.0,26250114000000.0,26140536000000.0,25774468000000.0,25735805000000.0,25610848000000.0,26080426000000.0,26021090000000.0,24705705000000.0,25293597000000.0,25941275000000.0,25856466000000.0,25777316000000.0
2039.0,25766245000000.0,25834912000000.0,25905221000000.0,25619146000000.0,26070426000000.0,26164836000000.0,26066467000000.0,25656110000000.0,25691934000000.0,25460273000000.0,26069854000000.0,26034087000000.0,24495692000000.0,25281914000000.0,25870863000000.0,25798950000000.0,25760620000000.0
2040.0,25700896000000.0,25809968000000.0,25870555000000.0,25529302000000.0,26029454000000.0,26101190000000.0,25990038000000.0,25637092000000.0,25602090000000.0,25349807000000.0,26050862000000.0,25996365000000.0,24422550000000.0,25212995000000.0,25883460000000.0,25747012000000.0,25725840000000.0
2041.0,25667266000000.0,25805936000000.0,25791086000000.0,25406365000000.0,26064630000000.0,26026061000000.0,25893844000000.0,25637354000000.0,25517374000000.0,25256350000000.0,26043488000000.0,25828423000000.0,24314508000000.0,25169127000000.0,25804669000000.0,25671145000000.0,25665860000000.0
2042.0,25677235000000.0,25814135000000.0,25746714000000.0,25376350000000.0,26034844000000.0,25901752000000.0,25799315000000.0,25557369000000.0,25487913000000.0,25087632000000.0,26037818000000.0,25739414000000.0,24147197000000.0,25098306000000.0,25786092000000.0,25598070000000.0,25586158000000.0
2043.0,25601598000000.0,25788296000000.0,25584060000000.0,25296470000000.0,25944278000000.0,25813567000000.0,25727610000000.0,25425454000000.0,25445184000000.0,25073933000000.0,25957195000000.0,25696238000000.0,24002488000000.0,25024438000000.0,25756623000000.0,25583226000000.0,25590422000000.0
2044.0,25591248000000.0,25714061000000.0,25513781000000.0,25204263000000.0,25892347000000.0,25764011000000.0,25605892000000.0,25379002000000.0,25317589000000.0,25010624000000.0,25934783000000.0,25682650000000.0,23836936000000.0,24936142000000.0,25732540000000.0,25523344000000.0,25487271000000.0
2045.0,25639489000000.0,25599513000000.0,25489770000000.0,25108767000000.0,25874100000000.0,25714544000000.0,25562735000000.0,25341484000000.0,25226088000000.0,24920342000000.0,25871304000000.0,25605300000000.0,23746031000000.0,24887662000000.0,25698507000000.0,25490558000000.0,25420037000000.0
2046.0,25597166000000.0,25538990000000.0,25450733000000.0,25075806000000.0,25852583000000.0,25697725000000.0,25484077000000.0,25313100000000.0,25202325000000.0,24819513000000.0,25841482000000.0,25506582000000.0,23618360000000.0,24819928000000.0,25589930000000.0,25454243000000.0,25315936000000.0
2047.0,25619893000000.0,25535575000000.0,25391637000000.0,25022370000000.0,25802953000000.0,25641792000000.0,25363830000000.0,25300707000000.0,25142850000000.0,24812280000000.0,25824166000000.0,25395870000000.0,23425584000000.0,24702953000000.0,25561775000000.0,25382326000000.0,25260007000000.0
2048.0,25525521000000.0,25458532000000.0,25408257000000.0,24962377000000.0,25794846000000.0,25566740000000.0,25240353000000.0,25270400000000.0,25049430000000.0,24701707000000.0,25751466000000.0,25388116000000.0,23215234000000.0,24700223000000.0,25521325000000.0,25396358000000.0,25196560000000.0
2049.0,25424894000000.0,25383118000000.0,25326086000000.0,24898123000000.0,25789983000000.0,25582748000000.0,25199480000000.0,25167816000000.0,24942735000000.0,24584856000000.0,25713150000000.0,25321215000000.0,23151526000000.0,24642694000000.0,25477250000000.0,25350424000000.0,25208940000000.0
