time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CESM1-CAM5,GFDL-CM3
2045.0,2540022500000.0,2509662000000.0,2494923300000.0,2684809000000.0,2597738300000.0,2398944200000.0,2531385100000.0,1765267300000.0
2046.0,2503084300000.0,2482527000000.0,2466340400000.0,2671093000000.0,2566565000000.0,2366205000000.0,2517180000000.0,1715804700000.0
2047.0,2483305300000.0,2460303500000.0,2433110200000.0,2682609200000.0,2534064300000.0,2318131000000.0,2477807600000.0,1670531000000.0
2048.0,2466314200000.0,2429925000000.0,2411031000000.0,2665270700000.0,2512432100000.0,2275101400000.0,2450348000000.0,1619366600000.0
2049.0,2443787400000.0,2405259800000.0,2390980300000.0,2657480600000.0,2490428600000.0,2207747000000.0,2416995200000.0,1566588300000.0
2050.0,2441321000000.0,2357061000000.0,2370200000000.0,2644033400000.0,2454557300000.0,2170004600000.0,2384118700000.0,1523701500000.0
2051.0,2417621000000.0,2327429800000.0,2339171000000.0,2653104600000.0,2424796300000.0,2139637800000.0,2354416500000.0,1479985900000.0
2052.0,2377104500000.0,2307977000000.0,2303359200000.0,2645509000000.0,2414393200000.0,2103916800000.0,2337732600000.0,1428719000000.0
2053.0,2339053200000.0,2284050000000.0,2285575300000.0,2616177700000.0,2397753000000.0,2069055800000.0,2309161000000.0,1385784000000.0
2054.0,2299017300000.0,2244367400000.0,2255785000000.0,2573189000000.0,2377746500000.0,2029103300000.0,2279435700000.0,1341998800000.0
2055.0,2262468700000.0,2215013300000.0,2220707500000.0,2528577800000.0,2353145600000.0,1990321500000.0,2270832400000.0,1293541300000.0
2056.0,2235470000000.0,2195331000000.0,2182529000000.0,2516814100000.0,2324916000000.0,1950706600000.0,2273496300000.0,1245841600000.0
2057.0,2185301700000.0,2163101300000.0,2153214100000.0,2487030400000.0,2290252800000.0,1910781900000.0,2252999000000.0,1200754000000.0
2058.0,2155966200000.0,2130373500000.0,2121154700000.0,2440902700000.0,2267986500000.0,1883482600000.0,2219046600000.0,1156364900000.0
2059.0,2137797300000.0,2099496000000.0,2104842500000.0,2413191200000.0,2256074400000.0,1858917100000.0,2217273000000.0,1115413000000.0
2060.0,2097421600000.0,2062468000000.0,2076053900000.0,2356711000000.0,2230879500000.0,1834372700000.0,2206877400000.0,1078368140000.0
2061.0,2050011800000.0,2031768300000.0,2060596200000.0,2305049800000.0,2209377400000.0,1805803200000.0,2172633500000.0,1034280400000.0
2062.0,2007847700000.0,2008652200000.0,2038254000000.0,2279205000000.0,2183265400000.0,1781304500000.0,2127173600000.0,998848270000.0
2063.0,1968714300000.0,1986730900000.0,2007727300000.0,2244684000000.0,2157027100000.0,1747978400000.0,2100715700000.0,955621100000.0
2064.0,1926662600000.0,1961013800000.0,1982146800000.0,2217252000000.0,2128787000000.0,1718587100000.0,2082687400000.0,917244500000.0
2065.0,1895670500000.0,1933601800000.0,1961950000000.0,2197420400000.0,2106145000000.0,1686090800000.0,2053856700000.0,883004300000.0
2066.0,1872370200000.0,1906357400000.0,1938735000000.0,2166428500000.0,2092837600000.0,1655752500000.0,2019923700000.0,853731000000.0
2067.0,1847884100000.0,1871118600000.0,1897380200000.0,2115000900000.0,2077971600000.0,1624895800000.0,1989553300000.0,820689000000.0
2068.0,1794463500000.0,1832196800000.0,1880862400000.0,2090799500000.0,2055888700000.0,1595740700000.0,1964525400000.0,787986060000.0
2069.0,1773007300000.0,1796020400000.0,1842401800000.0,2051181200000.0,2039817300000.0,1563757100000.0,1931301000000.0,763498800000.0
2070.0,1728775200000.0,1764136300000.0,1811928000000.0,2003605900000.0,2013143900000.0,1531090400000.0,1893317200000.0,729876100000.0
2071.0,1676137300000.0,1736432700000.0,1779107200000.0,1973824000000.0,1996529900000.0,1507322200000.0,1864415800000.0,704939800000.0
2072.0,1651609000000.0,1701240900000.0,1742204600000.0,1935448300000.0,1978326200000.0,1473133200000.0,1833363200000.0,676699100000.0
2073.0,1633702900000.0,1661121200000.0,1707705800000.0,1899463800000.0,1961697500000.0,1447633700000.0,1811242800000.0,652388470000.0
2074.0,1600616100000.0,1631829000000.0,1681587700000.0,1884036000000.0,1941606800000.0,1417577800000.0,1778660500000.0,629669040000.0
2075.0,1563224300000.0,1598300500000.0,1640813800000.0,1851127500000.0,1922219100000.0,1384055000000.0,1735716400000.0,604365600000.0
2076.0,1526057900000.0,1558348300000.0,1586114200000.0,1824020600000.0,1895519500000.0,1344174300000.0,1688248100000.0,579939000000.0
2077.0,1495950400000.0,1534172000000.0,1563474900000.0,1785074500000.0,1871649000000.0,1319628000000.0,1648171200000.0,553645300000.0
2078.0,1456801000000.0,1508194300000.0,1541720900000.0,1760103100000.0,1853645500000.0,1284029700000.0,1624442700000.0,535472100000.0
2079.0,1421920600000.0,1482809400000.0,1510073000000.0,1719609000000.0,1840227800000.0,1252632400000.0,1598367700000.0,515676600000.0
2080.0,1399052200000.0,1458710600000.0,1481979700000.0,1673702100000.0,1810299600000.0,1220439300000.0,1548123200000.0,495784620000.0
2081.0,1363265300000.0,1425425400000.0,1449130200000.0,1640017000000.0,1785434000000.0,1189658400000.0,1503050600000.0,478481900000.0
2082.0,1332033200000.0,1387875900000.0,1426057900000.0,1611557500000.0,1758773800000.0,1162773700000.0,1466128900000.0,462173670000.0
2083.0,1304298100000.0,1361455600000.0,1401793200000.0,1578121800000.0,1734319000000.0,1136977600000.0,1442442600000.0,443977140000.0
2084.0,1286133900000.0,1333199400000.0,1376255300000.0,1543307300000.0,1707066300000.0,1104932900000.0,1413273700000.0,428100000000.0
2085.0,1263268900000.0,1298501500000.0,1354650700000.0,1517967200000.0,1673780300000.0,1083188200000.0,1373325400000.0,410773980000.0
2086.0,1238303100000.0,1277384000000.0,1328167800000.0,1497031500000.0,1641781900000.0,1053747000000.0,1337819700000.0,395238700000.0
2087.0,1218678100000.0,1256367200000.0,1291449700000.0,1476403900000.0,1622174500000.0,1029117840000.0,1312940800000.0,380410040000.0
2088.0,1191662800000.0,1232333400000.0,1262357700000.0,1454595800000.0,1598139400000.0,1004009500000.0,1283265800000.0,365813270000.0
2089.0,1164731100000.0,1220757600000.0,1242599700000.0,1428834700000.0,1575788000000.0,978552360000.0,1251016800000.0,352679700000.0
2090.0,1134812600000.0,1192792200000.0,1213776000000.0,1406089200000.0,1546880200000.0,948438760000.0,1213044100000.0,338613270000.0
2091.0,1103940300000.0,1164832500000.0,1183006000000.0,1372863100000.0,1524421200000.0,923306950000.0,1192301800000.0,325679970000.0
2092.0,1080004400000.0,1139847600000.0,1160631800000.0,1359346900000.0,1494354200000.0,894360160000.0,1166112000000.0,313956830000.0
2093.0,1057283100000.0,1119793600000.0,1140519900000.0,1344549600000.0,1471583000000.0,862304600000.0,1135224400000.0,298370630000.0
2094.0,1041187900000.0,1100474500000.0,1118417700000.0,1303214000000.0,1460575500000.0,836476500000.0,1111385600000.0,284380820000.0
2095.0,1015178600000.0,1079563800000.0,1089687100000.0,1297299800000.0,1439687800000.0,811412600000.0,1087620800000.0,271995780000.0
2096.0,991256800000.0,1059266700000.0,1064708300000.0,1298191100000.0,1421421300000.0,788514700000.0,1048648000000.0,260405130000.0
2097.0,972955500000.0,1041932000000.0,1040348740000.0,1288975400000.0,1399720400000.0,766657100000.0,1007561340000.0,249001790000.0
2098.0,951402600000.0,1024027260000.0,1010879230000.0,1272873700000.0,1374010000000.0,749797900000.0,976146500000.0,239268840000.0
2099.0,934600640000.0,1008128300000.0,984597200000.0,1253723900000.0,1349258300000.0,728008360000.0,956373800000.0,228626970000.0
2100.0,908125100000.0,996237200000.0,959637950000.0,1235243500000.0,1329228200000.0,706246150000.0,930934160000.0,218872480000.0
