time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2033.0,2821413000000.0,2793248700000.0,2722253500000.0,2643584600000.0,2674758300000.0,2768294000000.0,2840761200000.0,2824556000000.0,2730057500000.0,2835215800000.0,2375966300000.0
2034.0,2787987000000.0,2767536500000.0,2680845000000.0,2601574000000.0,2639441000000.0,2758896500000.0,2821376000000.0,2820835400000.0,2692232500000.0,2811951800000.0,2311730000000.0
2035.0,2744773000000.0,2731788500000.0,2634732000000.0,2556615500000.0,2588590500000.0,2708644600000.0,2802748000000.0,2814579600000.0,2655911400000.0,2802910200000.0,2256832800000.0
2036.0,2729788300000.0,2706716500000.0,2596550500000.0,2502519000000.0,2553124200000.0,2675348900000.0,2789212200000.0,2805833400000.0,2590286500000.0,2770432700000.0,2201758200000.0
2037.0,2697424500000.0,2673883500000.0,2546838000000.0,2445249000000.0,2529197300000.0,2650754000000.0,2744839800000.0,2778865000000.0,2531843000000.0,2744676300000.0,2141085500000.0
2038.0,2659423600000.0,2646426000000.0,2526518000000.0,2429422100000.0,2496053600000.0,2652611500000.0,2731800000000.0,2761501700000.0,2484323200000.0,2720246500000.0,2088203800000.0
2039.0,2620795000000.0,2605672300000.0,2486019800000.0,2371766200000.0,2452410300000.0,2607160200000.0,2700110200000.0,2746089700000.0,2443778700000.0,2690423500000.0,2030517000000.0
2040.0,2583728500000.0,2564337200000.0,2434996600000.0,2327467300000.0,2423266500000.0,2587250400000.0,2670213500000.0,2713860400000.0,2409700000000.0,2661582600000.0,1973646500000.0
2041.0,2539287500000.0,2538702400000.0,2402846800000.0,2296555500000.0,2391072600000.0,2532820600000.0,2639965700000.0,2702352600000.0,2359713600000.0,2623521000000.0,1908371000000.0
2042.0,2497992200000.0,2524168600000.0,2351692800000.0,2250190600000.0,2341465500000.0,2489582600000.0,2596972300000.0,2695418000000.0,2324476700000.0,2599622000000.0,1842323400000.0
2043.0,2462053000000.0,2498639700000.0,2313497300000.0,2212820400000.0,2305425700000.0,2456288200000.0,2558461500000.0,2691574800000.0,2290363400000.0,2568527500000.0,1777109700000.0
