time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,UKESM1-0-LL
2037.0,11910852000.0,11701890000.0,8918178000.0,9904339000.0,7845027300.0
2038.0,11696688000.0,11520310000.0,8749516000.0,9379265000.0,7490195500.0
2039.0,11417755000.0,11371591000.0,8240104000.0,9041389000.0,6981683700.0
2040.0,11170265000.0,11545120000.0,7879397000.0,8553831000.0,6553612300.0
2041.0,11164880000.0,11378450000.0,7932828700.0,8116506600.0,5916759000.0
2042.0,10855803000.0,10982186000.0,7161338400.0,7749973000.0,5527400000.0
2043.0,10529763000.0,10715791000.0,6862842000.0,7341023000.0,5218613000.0
2044.0,10180450000.0,10456518000.0,6479172000.0,6928595500.0,4881010700.0
2045.0,9753160000.0,10158959000.0,6032213500.0,6511010000.0,4500436000.0
2046.0,9578334000.0,10013237000.0,5690248000.0,6184975400.0,4250520600.0
2047.0,9427459000.0,9815875000.0,5481956000.0,5972688400.0,3903718000.0
2048.0,9123340000.0,9573576000.0,5227440000.0,5765820400.0,3633388300.0
2049.0,8872763000.0,9210643000.0,4994670600.0,5369792500.0,3271315000.0
2050.0,8580799500.0,9073934000.0,4626392600.0,5150217700.0,3085412400.0
2051.0,8381787000.0,8745454000.0,4442884600.0,4953877500.0,2890298400.0
2052.0,8185977000.0,8561934000.0,4120603600.0,5930867000.0,2623257900.0
2053.0,7950844000.0,8413832000.0,4134734000.0,4583860700.0,2362653700.0
2054.0,7639307300.0,8185664000.0,3678203000.0,4444898300.0,2265486000.0
2055.0,7505542700.0,7884968000.0,3450793500.0,4276966100.0,2103339300.0
2056.0,7203621400.0,7590300700.0,3166417200.0,3914196700.0,1940221800.0
2057.0,6945831000.0,7368698000.0,2965694700.0,3699216600.0,1772523100.0
2058.0,6648861700.0,7072882000.0,2752185300.0,3498203000.0,1666424600.0
2059.0,6559446500.0,6834101000.0,2607008800.0,3358277000.0,1539387600.0
2060.0,6247625000.0,6625908700.0,2428652800.0,3145677800.0,1367994000.0
2061.0,5984280600.0,6414522000.0,2287594800.0,2994639400.0,1178029700.0
2062.0,5742394400.0,6132690000.0,2123405400.0,2964638200.0,1063138000.0
2063.0,5549210000.0,5977171000.0,2015598300.0,2767583500.0,882240300.0
2064.0,5342862000.0,5739252700.0,1895065500.0,2658922000.0,717761700.0
2065.0,5204957000.0,5573232000.0,1733589600.0,2668499200.0,577862460.0
2066.0,4989490700.0,5151969300.0,1601192400.0,2477106000.0,462269250.0
2067.0,4785325600.0,5048803300.0,1397593000.0,2381108200.0,385350340.0
2068.0,4660166700.0,4881592000.0,1237403800.0,2229266000.0,355459620.0
2069.0,4502618000.0,4735357000.0,1098262000.0,2169791700.0,276793920.0
2070.0,4365304300.0,4452782600.0,923350460.0,2457405200.0,219093520.0
2071.0,4102205000.0,4233086200.0,819267700.0,2006068400.0,149939360.0
2072.0,4237939500.0,4060250600.0,739242050.0,1869559700.0,117374790.0
2073.0,3885654800.0,3870770200.0,652363200.0,1750784600.0,79669736.0
2074.0,3776286200.0,3679866400.0,618513200.0,1644881400.0,63916910.0
2075.0,3614990000.0,3477341700.0,534887580.0,1535162000.0,55429530.0
2076.0,3499345400.0,3353807000.0,451452200.0,1366652900.0,50610708.0
2077.0,3433817900.0,3133863700.0,389943680.0,1301185000.0,46039012.0
2078.0,3298969300.0,3018381800.0,317014530.0,1247895400.0,41556652.0
2079.0,3144449500.0,2846051000.0,280043170.0,1146699100.0,36586316.0
2080.0,3037595000.0,2749434600.0,236771150.0,1072408600.0,35317564.0
2081.0,2908130800.0,2618638600.0,194916340.0,1013066700.0,27036668.0
2082.0,2834303200.0,2463259100.0,164480050.0,964318200.0,26091898.0
2083.0,2699962400.0,2279211000.0,148978560.0,939848400.0,25581606.0
2084.0,2619196200.0,2174253000.0,136013970.0,831317100.0,23967054.0
2085.0,2529946000.0,2027824500.0,121158880.0,774450000.0,23347464.0
2086.0,2439625500.0,1945497900.0,109568760.0,714733700.0,22899496.0
2087.0,2330591500.0,1907802400.0,95805976.0,690769700.0,19166556.0
2088.0,2243321600.0,1761267100.0,77021550.0,636084400.0,18834112.0
2089.0,2179276300.0,1569797600.0,70296424.0,604540700.0,17711410.0
2090.0,2073713800.0,1410947000.0,58556704.0,589141400.0,16439161.0
2091.0,2015531900.0,1281983700.0,53625936.0,562678000.0,13459045.0
2092.0,1929758300.0,1156350600.0,49360560.0,549558850.0,12985608.0
2093.0,1792821400.0,1022714400.0,45818610.0,506618750.0,10751451.0
2094.0,1733941200.0,954802940.0,41721212.0,455454080.0,9963929.0
2095.0,1676724600.0,855319400.0,40029210.0,412595500.0,9723147.0
2096.0,1585683800.0,789589570.0,37236344.0,391322100.0,9315353.0
2097.0,1541489400.0,736804300.0,32335582.0,363914800.0,9090393.0
2098.0,1520964900.0,677477250.0,28380592.0,345129730.0,8825613.0
2099.0,1429323300.0,630367550.0,26769928.0,344680700.0,8543863.0
2100.0,1313225300.0,592196200.0,25995864.0,302867840.0,8473465.0
