time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0
2000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0
2001.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0
2002.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0
2003.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0
2004.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0
2005.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0
2006.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0
2007.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0
2008.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0
2009.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0
2010.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0
2011.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0
2012.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0
2013.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0
2014.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0
2015.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0
2016.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0
2017.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0
2018.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0
2019.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0
2020.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0
2021.0,13942977000.0,14189679000.0,14047111000.0,13940144000.0,13958977000.0
2022.0,14002910000.0,13850190000.0,13913995000.0,13655807000.0,13811286000.0
2023.0,13783948000.0,13876712000.0,13770154000.0,13330860000.0,13791910000.0
2024.0,13951804000.0,13730266000.0,13622206000.0,13159741000.0,13634286000.0
2025.0,14068312000.0,13605535000.0,13397904000.0,12960699000.0,13445263000.0
2026.0,13498536000.0,13418024000.0,13205882000.0,12664265000.0,13325620000.0
2027.0,13303660000.0,13249861000.0,13185073000.0,12339054000.0,13179428000.0
2028.0,13196001000.0,13143168000.0,13078345000.0,11792089000.0,12953246000.0
2029.0,13012777000.0,12909311000.0,12768350000.0,11138475000.0,12773857000.0
2030.0,12788125000.0,12632568000.0,12637972000.0,10721937000.0,12473491000.0
2031.0,12578615000.0,12686687000.0,12588865000.0,10303521000.0,12322562000.0
2032.0,12318822000.0,12884719000.0,12236532000.0,9986086000.0,11925505000.0
2033.0,12018669000.0,12387550000.0,11787984000.0,9423250000.0,11627149000.0
2034.0,11782909000.0,12155092000.0,11480324000.0,8953175000.0,11317025000.0
2035.0,11744212000.0,12310670000.0,11033255000.0,8495021600.0,10746789000.0
2036.0,11266173000.0,11777688000.0,10554302000.0,7953728000.0,11007706000.0
