time,INM-CM4-8,CAMS-CSM1-0,EC-EARTH3-VEG,BCC-CSM2-MR,EC-EARTH3,FGOALS-F3-L,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,CESM2,CESM2-WACCM,NORESM2-MM,INM-CM5-0
2000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0
2001.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0
2002.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0
2003.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0
2004.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0
2005.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0
2006.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0
2007.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0
2008.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0
2009.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0
2010.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0
2011.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0
2012.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0
2013.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0
2014.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0
2015.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0
2016.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0
2017.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0
2018.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0
2019.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0
2020.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0
2021.0,3523423200000.0,3523322600000.0,3529661000000.0,3527470000000.0,3513772700000.0,3539479600000.0,3507668400000.0,3536824800000.0,3521532700000.0,3527331000000.0,3526451300000.0,3534038500000.0,3519440700000.0
2022.0,3511477600000.0,3511393200000.0,3511721400000.0,3517121000000.0,3486257000000.0,3523979200000.0,3472818000000.0,3525460600000.0,3507113700000.0,3501612000000.0,3521178000000.0,3523935700000.0,3504718200000.0
2023.0,3492559500000.0,3489995700000.0,3502753400000.0,3506652000000.0,3451975400000.0,3517115300000.0,3438850300000.0,3507863000000.0,3495208400000.0,3482095200000.0,3516322000000.0,3511797200000.0,3480878600000.0
2024.0,3469196000000.0,3470357700000.0,3490889300000.0,3499813800000.0,3421337000000.0,3505092600000.0,3421005700000.0,3501475500000.0,3483872000000.0,3475116400000.0,3509946400000.0,3506566300000.0,3460508000000.0
2025.0,3466059000000.0,3448471000000.0,3478579300000.0,3484858000000.0,3389914300000.0,3485845000000.0,3413875400000.0,3472248800000.0,3461741300000.0,3450808800000.0,3495972600000.0,3505415000000.0,3431086200000.0
2026.0,3458170000000.0,3415344700000.0,3459882000000.0,3457518000000.0,3345907000000.0,3472976200000.0,3389030400000.0,3451704300000.0,3448926400000.0,3445801600000.0,3493370800000.0,3500720000000.0,3427243700000.0
2027.0,3451019900000.0,3380653600000.0,3435621500000.0,3433601200000.0,3313777800000.0,3455235000000.0,3361008000000.0,3439162300000.0,3448327400000.0,3430143800000.0,3491872600000.0,3498111100000.0,3397255700000.0
2028.0,3445961000000.0,3345774800000.0,3421146200000.0,3398293500000.0,3287947100000.0,3444198300000.0,3333255300000.0,3415724000000.0,3423733800000.0,3409527700000.0,3483727000000.0,3480948000000.0,3369926100000.0
2029.0,3442298800000.0,3305275700000.0,3418037400000.0,3385368200000.0,3267513300000.0,3432100700000.0,3291424200000.0,3399688400000.0,3417683500000.0,3394941700000.0,3471351200000.0,3464434000000.0,3348207800000.0
2030.0,3435926700000.0,3279061000000.0,3401255000000.0,3362539400000.0,3246232400000.0,3429202700000.0,3263166200000.0,3381902000000.0,3407927800000.0,3369757300000.0,3470959800000.0,3457234200000.0,3318263600000.0
2031.0,3419234400000.0,3242474000000.0,3379610000000.0,3345670500000.0,3216258400000.0,3424951200000.0,3237323500000.0,3367304400000.0,3392541300000.0,3347850000000.0,3451174000000.0,3454586300000.0,3288346400000.0
2032.0,3414682200000.0,3218344200000.0,3354732500000.0,3332995300000.0,3193471200000.0,3413344800000.0,3217790900000.0,3348665200000.0,3376746300000.0,3334469600000.0,3441306000000.0,3446042800000.0,3274256400000.0
2033.0,3398737300000.0,3200824000000.0,3337054000000.0,3307343400000.0,3171972300000.0,3399728800000.0,3197651000000.0,3334745600000.0,3368302000000.0,3323588800000.0,3447769300000.0,3444341500000.0,3231330600000.0
2034.0,3387919200000.0,3181752400000.0,3318537500000.0,3289322600000.0,3132241700000.0,3384338000000.0,3160867600000.0,3319861300000.0,3351049400000.0,3309734700000.0,3434324000000.0,3424509800000.0,3194941300000.0
2035.0,3366898400000.0,3148003100000.0,3300962300000.0,3263233500000.0,3100977400000.0,3358440000000.0,3130611000000.0,3312747300000.0,3339848500000.0,3294076600000.0,3422948200000.0,3414843200000.0,3155930000000.0
