time,CESM2,GFDL-ESM4,ACCESS-ESM1-5,CESM2-WACCM,INM-CM5-0,NORESM2-MM,TAIESM1,IPSL-CM6A-LR,ACCESS-CM2,CMCC-CM2-SR5,CAMS-CSM1-0,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,MRI-ESM2-0,CANESM5
2000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0
2001.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0
2002.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0
2003.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0
2004.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0
2005.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0
2006.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0
2007.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0
2008.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0
2009.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0
2010.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0
2011.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0
2012.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0
2013.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0
2014.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0
2015.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0
2016.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0
2017.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0
2018.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0
2019.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0
2020.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0
2021.0,3532648600000.0,3527103000000.0,3532354700000.0,3524844300000.0,3527821800000.0,3517282000000.0,3518505400000.0,3524683400000.0,3505836000000.0,3537696000000.0,3515840500000.0,3539229700000.0,3526942300000.0,3517631000000.0,3526050000000.0,3516320400000.0,3506192500000.0,3521295700000.0,3505265300000.0
2022.0,3517289600000.0,3515008700000.0,3525972600000.0,3500303000000.0,3500687000000.0,3515820500000.0,3495340500000.0,3516611700000.0,3487181800000.0,3530495400000.0,3493258900000.0,3526423200000.0,3509334000000.0,3490508000000.0,3526369700000.0,3500880700000.0,3486288000000.0,3503738600000.0,3478805500000.0
2023.0,3497934500000.0,3505242500000.0,3510425000000.0,3481426500000.0,3489767400000.0,3506969000000.0,3484648200000.0,3499278000000.0,3465583800000.0,3519032600000.0,3456974700000.0,3517228500000.0,3496361600000.0,3473898000000.0,3513595700000.0,3481511400000.0,3468024300000.0,3479510200000.0,3433059600000.0
2024.0,3483305000000.0,3486330000000.0,3513515000000.0,3468401600000.0,3475266600000.0,3501098300000.0,3458509800000.0,3493220600000.0,3443598000000.0,3523505300000.0,3417127800000.0,3505458200000.0,3469853300000.0,3450089800000.0,3501137900000.0,3467574800000.0,3453344000000.0,3445426700000.0,3390009500000.0
2025.0,3469860000000.0,3470175000000.0,3498783800000.0,3456977300000.0,3453318000000.0,3480678800000.0,3436808800000.0,3480629800000.0,3440833000000.0,3515884200000.0,3387120400000.0,3495210500000.0,3458365000000.0,3418208000000.0,3469482100000.0,3462611900000.0,3439571000000.0,3417240500000.0,3353966500000.0
2026.0,3450478300000.0,3464078800000.0,3487311000000.0,3435046400000.0,3436400600000.0,3463492100000.0,3410367000000.0,3465216300000.0,3430739000000.0,3505569400000.0,3365565600000.0,3480724000000.0,3443408800000.0,3398668000000.0,3460263600000.0,3451420100000.0,3433061700000.0,3392191300000.0,3309250300000.0
2027.0,3423536400000.0,3448995600000.0,3465090200000.0,3421714300000.0,3412599000000.0,3444962000000.0,3380975800000.0,3448804200000.0,3418707200000.0,3500090600000.0,3331944000000.0,3475524000000.0,3442529300000.0,3361285900000.0,3434408600000.0,3433238600000.0,3424263600000.0,3366233800000.0,3277614200000.0
2028.0,3430370500000.0,3433391500000.0,3445188200000.0,3403830300000.0,3393418200000.0,3435132600000.0,3337986000000.0,3424599700000.0,3401327300000.0,3470811200000.0,3319755700000.0,3469903100000.0,3414520000000.0,3336750500000.0,3415646100000.0,3413199300000.0,3409812000000.0,3355379800000.0,3236143600000.0
2029.0,3425601000000.0,3427845300000.0,3437478500000.0,3381368000000.0,3371137200000.0,3435442000000.0,3298389000000.0,3414548500000.0,3376854600000.0,3458773800000.0,3286316600000.0,3453587300000.0,3392507200000.0,3306381400000.0,3396159000000.0,3397727800000.0,3400494500000.0,3324542200000.0,3190745500000.0
2030.0,3399771200000.0,3407521000000.0,3421581300000.0,3370943500000.0,3352225400000.0,3420557400000.0,3260402000000.0,3392665600000.0,3348941800000.0,3427827000000.0,3263112400000.0,3441718700000.0,3367397000000.0,3263444500000.0,3369792200000.0,3388673600000.0,3384987000000.0,3294069000000.0,3158117200000.0
2031.0,3383765000000.0,3404585500000.0,3412341800000.0,3340627000000.0,3312238200000.0,3403780500000.0,3238791000000.0,3370920400000.0,3315061800000.0,3402862400000.0,3238200300000.0,3419241200000.0,3347358400000.0,3229966000000.0,3344722000000.0,3386212600000.0,3367340300000.0,3263232500000.0,3115465300000.0
2032.0,3355249700000.0,3382862700000.0,3391126200000.0,3322891200000.0,3289413600000.0,3378266200000.0,3209562700000.0,3348138600000.0,3294973100000.0,3379452400000.0,3216991600000.0,3406167500000.0,3338198800000.0,3194304000000.0,3321233700000.0,3373530600000.0,3349957000000.0,3231464000000.0,3077367400000.0
2033.0,3326367200000.0,3365680200000.0,3377145000000.0,3301484800000.0,3267711500000.0,3362840600000.0,3180511400000.0,3330041000000.0,3274797500000.0,3358247600000.0,3207223300000.0,3385270500000.0,3321543000000.0,3164949400000.0,3298182000000.0,3360650400000.0,3331186500000.0,3196001200000.0,3041255200000.0
2034.0,3305433200000.0,3357880400000.0,3354005300000.0,3282259000000.0,3234429400000.0,3350895300000.0,3143600000000.0,3313571500000.0,3251652800000.0,3336568600000.0,3187788700000.0,3366225700000.0,3294890300000.0,3124579800000.0,3263767200000.0,3351567400000.0,3314116700000.0,3162453600000.0,3001167400000.0
2035.0,3282414300000.0,3342294300000.0,3332817300000.0,3260736900000.0,3207161200000.0,3343683200000.0,3114838500000.0,3286756200000.0,3223351500000.0,3319024300000.0,3169897400000.0,3348340000000.0,3274046400000.0,3081434800000.0,3244595600000.0,3325540000000.0,3287062200000.0,3121632200000.0,2964450400000.0
2036.0,3263071300000.0,3327215000000.0,3316733400000.0,3249952800000.0,3175945000000.0,3322605700000.0,3083295500000.0,3277280000000.0,3194075000000.0,3300089100000.0,3135971000000.0,3332737000000.0,3252047600000.0,3041557500000.0,3220214600000.0,3310192000000.0,3270709300000.0,3091670200000.0,2920354200000.0
2037.0,3252729200000.0,3316321400000.0,3300626800000.0,3227090000000.0,3148815300000.0,3308921600000.0,3062535800000.0,3265965900000.0,3162323000000.0,3278778700000.0,3108956500000.0,3310329500000.0,3228921200000.0,2996411000000.0,3201674800000.0,3295756700000.0,3257144700000.0,3071169800000.0,2885945400000.0
2038.0,3234598000000.0,3292432400000.0,3289315000000.0,3209448700000.0,3117802000000.0,3306822800000.0,3027803300000.0,3248388000000.0,3136683800000.0,3248698200000.0,3078398000000.0,3294833400000.0,3211698600000.0,2953245000000.0,3178124000000.0,3282594400000.0,3237208700000.0,3031017200000.0,2846500800000.0
2039.0,3207747900000.0,3264000600000.0,3280040000000.0,3198664600000.0,3091237400000.0,3296068000000.0,2997638400000.0,3227541300000.0,3107430000000.0,3209588400000.0,3057162600000.0,3283908300000.0,3201808200000.0,2909073300000.0,3160906700000.0,3259534100000.0,3215266000000.0,3006536000000.0,2802131400000.0
2040.0,3176689300000.0,3240613000000.0,3267518000000.0,3177752300000.0,3062119500000.0,3274230200000.0,2966294000000.0,3205049600000.0,3089380700000.0,3187674200000.0,3036873800000.0,3271208000000.0,3174778800000.0,2864276000000.0,3139692100000.0,3244376000000.0,3196165600000.0,2976175400000.0,2751734000000.0
2041.0,3151322000000.0,3206656000000.0,3255776300000.0,3156663900000.0,3035576400000.0,3246983000000.0,2942297400000.0,3189196000000.0,3069528800000.0,3165803500000.0,3016946600000.0,3255666200000.0,3156719000000.0,2816906600000.0,3113798000000.0,3228601400000.0,3176262800000.0,2947713000000.0,2707009600000.0
2042.0,3119080300000.0,3178344000000.0,3244300200000.0,3134671800000.0,3009776000000.0,3226158200000.0,2908273800000.0,3171885800000.0,3052827800000.0,3141368500000.0,3000542700000.0,3230764000000.0,3129437800000.0,2770926000000.0,3089961600000.0,3211978300000.0,3159753200000.0,2911869600000.0,2663948500000.0
2043.0,3099808800000.0,3168192400000.0,3228065300000.0,3109406600000.0,2982821000000.0,3214472000000.0,2878402700000.0,3147115300000.0,3037651000000.0,3108633000000.0,2984931000000.0,3223193600000.0,3098675200000.0,2719836800000.0,3060026600000.0,3200193700000.0,3135696300000.0,2881928300000.0,2625803400000.0
2044.0,3084381000000.0,3150123600000.0,3200216500000.0,3088502000000.0,2957917000000.0,3193061200000.0,2849983000000.0,3129701000000.0,3019448800000.0,3050792600000.0,2956601000000.0,3211716500000.0,3066549000000.0,2668159800000.0,3048087000000.0,3182577600000.0,3107708000000.0,2849117600000.0,2575393600000.0
2045.0,3065067300000.0,3142730000000.0,3195431300000.0,3068213300000.0,2929513200000.0,3171686500000.0,2802517300000.0,3105328000000.0,2997506500000.0,3011097000000.0,2931785500000.0,3190811500000.0,3043140600000.0,2627462500000.0,3027791200000.0,3162512800000.0,3087905600000.0,2817394500000.0,2512128300000.0
2046.0,3043258500000.0,3122506200000.0,3194665800000.0,3038878400000.0,2910375600000.0,3162936200000.0,2773154300000.0,3077698000000.0,2963565400000.0,2980638400000.0,2913346800000.0,3167039500000.0,3022778300000.0,2582606800000.0,2999068100000.0,3148078400000.0,3062877000000.0,2784942000000.0,2464465600000.0
2047.0,3017383600000.0,3107775300000.0,3179073000000.0,3019720600000.0,2882032400000.0,3153533000000.0,2731185300000.0,3047220000000.0,2930387000000.0,2939804500000.0,2888710500000.0,3145515000000.0,3002069700000.0,2528042300000.0,2978956400000.0,3122938000000.0,3042599800000.0,2744647700000.0,2411486200000.0
2048.0,2992920900000.0,3097193300000.0,3171471600000.0,2988657300000.0,2860382400000.0,3136760000000.0,2682439300000.0,3014715500000.0,2891915500000.0,2888523600000.0,2859724000000.0,3112169400000.0,2959265500000.0,2484457200000.0,2950716500000.0,3089291500000.0,3024152000000.0,2703113300000.0,2361149000000.0
2049.0,2974617200000.0,3061279400000.0,3155997200000.0,2964153200000.0,2839951000000.0,3121580900000.0,2632731300000.0,2981484300000.0,2867638600000.0,2838896800000.0,2835212400000.0,3080315000000.0,2930884000000.0,2447832800000.0,2933297800000.0,3050491000000.0,3009782700000.0,2671823800000.0,2308104300000.0
2050.0,2941991300000.0,3035308500000.0,3127396000000.0,2935905000000.0,2816205000000.0,3107609000000.0,2580224700000.0,2960737400000.0,2836577600000.0,2787638800000.0,2802845000000.0,3056553400000.0,2899955700000.0,2413562700000.0,2903020400000.0,3016807700000.0,2991019000000.0,2627468000000.0,2248218800000.0
2051.0,2912950200000.0,3025361400000.0,3107345000000.0,2911648000000.0,2790524000000.0,3084783500000.0,2523150000000.0,2935250500000.0,2819991300000.0,2759634000000.0,2781916200000.0,3028141000000.0,2862204000000.0,2366530000000.0,2869548000000.0,2985840600000.0,2982982000000.0,2590523500000.0,2193481100000.0
2052.0,2886845600000.0,3009172500000.0,3088316000000.0,2876099300000.0,2755441000000.0,3075087800000.0,2477687300000.0,2904163400000.0,2795629200000.0,2730171800000.0,2761800300000.0,2998797900000.0,2834635400000.0,2318293300000.0,2842053000000.0,2949758300000.0,2955569500000.0,2557100200000.0,2130316900000.0
2053.0,2849702200000.0,2987582800000.0,3061455000000.0,2854568300000.0,2724866600000.0,3063434200000.0,2420191300000.0,2876988000000.0,2762383000000.0,2699178800000.0,2743767100000.0,2969435600000.0,2779850200000.0,2271876000000.0,2819227400000.0,2919988000000.0,2934000300000.0,2523005500000.0,2085815700000.0
2054.0,2827441000000.0,2971786800000.0,3037706600000.0,2815499700000.0,2693044000000.0,3050806700000.0,2371559400000.0,2844282600000.0,2726443000000.0,2659711500000.0,2726389400000.0,2942987700000.0,2744352800000.0,2244190700000.0,2791001800000.0,2887495000000.0,2914958000000.0,2482007700000.0,2036172200000.0
