time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CESM2-WACCM
2085.0,2261972700000.0,2121542400000.0,796807140000.0,2645436400000.0
2086.0,2258260000000.0,2123569400000.0,765556560000.0,2645045300000.0
2087.0,2247955800000.0,2124396100000.0,733735900000.0,2651961700000.0
2088.0,2238963000000.0,2123034900000.0,702170460000.0,2654321200000.0
2089.0,2221965300000.0,2129207000000.0,669467000000.0,2656485800000.0
2090.0,2212319000000.0,2124693900000.0,641070700000.0,2655013300000.0
2091.0,2198518200000.0,2119842700000.0,615928100000.0,2658591300000.0
2092.0,2186773400000.0,2121364300000.0,593053800000.0,2664514200000.0
2093.0,2174821600000.0,2117713300000.0,573824200000.0,2666813200000.0
2094.0,2160811800000.0,2123830500000.0,546463840000.0,2665671300000.0
2095.0,2147454000000.0,2132361100000.0,523923130000.0,2663651700000.0
2096.0,2134334200000.0,2127958600000.0,502260470000.0,2668337000000.0
2097.0,2114395200000.0,2125314800000.0,483362400000.0,2671215600000.0
2098.0,2109186800000.0,2126086000000.0,465213060000.0,2668591000000.0
2099.0,2095858700000.0,2132053500000.0,449670200000.0,2677792800000.0
2100.0,2090576200000.0,2137511600000.0,436448360000.0,2682019400000.0
