time,BCC-CSM2-MR,EC-EARTH3,INM-CM4-8,CAMS-CSM1-0,EC-EARTH3-VEG,MPI-ESM1-2-HR,CANESM5,MRI-ESM2-0,FGOALS-F3-L,CESM2-WACCM,CESM2,GFDL-ESM4,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,NORESM2-MM,INM-CM5-0
2018.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0
2019.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0
2020.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0
2021.0,3514592400000.0,3511222500000.0,3514832800000.0,3512200300000.0,3524934200000.0,3522198500000.0,3497503200000.0,3509436800000.0,3521793000000.0,3523543300000.0,3509593600000.0,3519266400000.0,3546237000000.0,3510438000000.0,3524200000000.0,3537750000000.0,3525525600000.0
2022.0,3510298200000.0,3487910600000.0,3506178600000.0,3495881600000.0,3510250200000.0,3499529600000.0,3456080500000.0,3476964000000.0,3508605300000.0,3507681800000.0,3491283600000.0,3501653200000.0,3529888800000.0,3484217000000.0,3517916400000.0,3527223000000.0,3513071700000.0
2023.0,3496521000000.0,3452793500000.0,3499894200000.0,3468404000000.0,3483468000000.0,3490170300000.0,3412864000000.0,3441316000000.0,3482639000000.0,3488199700000.0,3485792700000.0,3489706300000.0,3517224600000.0,3463496000000.0,3511911400000.0,3526224800000.0,3497698000000.0
2024.0,3487859200000.0,3414958000000.0,3498460600000.0,3449004800000.0,3464544400000.0,3476337000000.0,3383681600000.0,3434274000000.0,3469639000000.0,3460490000000.0,3462084400000.0,3481650600000.0,3492413700000.0,3444618300000.0,3505799000000.0,3516521300000.0,3467398300000.0
2025.0,3471628800000.0,3391048600000.0,3491113700000.0,3416538500000.0,3436044600000.0,3458377400000.0,3347221300000.0,3403633000000.0,3455327100000.0,3436397000000.0,3445038500000.0,3473775500000.0,3475456100000.0,3429842300000.0,3482320400000.0,3500322300000.0,3433985000000.0
2026.0,3450651000000.0,3360329000000.0,3479788800000.0,3384455500000.0,3424310300000.0,3440673300000.0,3318346000000.0,3376571500000.0,3435333000000.0,3414693200000.0,3434752000000.0,3458076500000.0,3449195600000.0,3423780200000.0,3464580000000.0,3479753700000.0,3410005600000.0
2027.0,3431006200000.0,3331659400000.0,3462406000000.0,3342147000000.0,3395443000000.0,3419411300000.0,3276778500000.0,3344002400000.0,3424181300000.0,3393578000000.0,3411879700000.0,3440458900000.0,3441106600000.0,3407225300000.0,3457408800000.0,3472422000000.0,3383155200000.0
2028.0,3418512700000.0,3293192400000.0,3438437700000.0,3306905700000.0,3369197000000.0,3394904000000.0,3242244400000.0,3315421000000.0,3395605500000.0,3377416600000.0,3418089800000.0,3416644000000.0,3432597700000.0,3394011000000.0,3442984400000.0,3466945600000.0,3349806800000.0
2029.0,3395058400000.0,3247001800000.0,3428993200000.0,3277144000000.0,3343578300000.0,3371834300000.0,3201549000000.0,3289271000000.0,3377227400000.0,3362120300000.0,3405134000000.0,3400280600000.0,3418972200000.0,3381201700000.0,3433619300000.0,3444495000000.0,3320495000000.0
2030.0,3378097400000.0,3204347900000.0,3411626000000.0,3243130700000.0,3325590500000.0,3348148000000.0,3165161500000.0,3270902000000.0,3359301000000.0,3343937000000.0,3393770200000.0,3386647800000.0,3415554700000.0,3355763300000.0,3424031300000.0,3419735600000.0,3287966300000.0
