time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0
2001.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0
2002.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0
2003.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0
2004.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0
2005.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0
2006.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0
2007.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0
2008.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0
2009.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0
2010.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0
2011.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0
2012.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0
2013.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0
2014.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0
2015.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0
2016.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0
2017.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0
2018.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0
2019.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0
2020.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0
2021.0,89013020000.0,89156755000.0,88872750000.0,89393200000.0,89748020000.0,89153724000.0,88939190000.0,89264230000.0,89304860000.0,88843510000.0,89133030000.0,89036020000.0,88911230000.0,88957970000.0,88793610000.0,89132800000.0,89120360000.0,88966300000.0,89616530000.0
2022.0,88739750000.0,88875680000.0,88776620000.0,89417340000.0,88996530000.0,88825820000.0,88948250000.0,89096380000.0,88837820000.0,88746470000.0,88930100000.0,88672500000.0,88768090000.0,88779090000.0,88488985000.0,88802810000.0,88855660000.0,88739890000.0,89020600000.0
2023.0,88703150000.0,88793990000.0,88578880000.0,89011320000.0,89076376000.0,88759140000.0,88499585000.0,88701590000.0,88741390000.0,88935320000.0,88717370000.0,88400710000.0,88391340000.0,88884445000.0,88411210000.0,88705890000.0,88722810000.0,88516960000.0,88810410000.0
2024.0,88421890000.0,88676850000.0,88983260000.0,88561610000.0,88399250000.0,88357010000.0,88585520000.0,88624380000.0,88604020000.0,88594030000.0,88430940000.0,88628675000.0,88237400000.0,88449110000.0,88230700000.0,88472620000.0,88683950000.0,88424595000.0,88759435000.0
2025.0,88240685000.0,88338440000.0,88520390000.0,88351285000.0,88068150000.0,88242495000.0,88691835000.0,88423110000.0,88783450000.0,88266500000.0,88253240000.0,88278850000.0,88203750000.0,88294920000.0,88059650000.0,88800130000.0,88365050000.0,88280790000.0,88599280000.0
2026.0,89177416000.0,88208440000.0,88176850000.0,88261730000.0,87934490000.0,88018540000.0,88231530000.0,88297560000.0,88454710000.0,88448795000.0,88072730000.0,88135560000.0,87914910000.0,88650970000.0,88000240000.0,88438120000.0,88355840000.0,88045880000.0,89092750000.0
