time,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CNRM-CM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CCSM4
2028.0,7866484000000.0,7511349400000.0,7528174000000.0,7833899000000.0,7878826500000.0,7841457000000.0,7757191000000.0,7885053000000.0,7799882000000.0,7802819400000.0,7992032000000.0
2029.0,7816275300000.0,7444787000000.0,7438713500000.0,7777968000000.0,7856345600000.0,7812853300000.0,7710412000000.0,7845616500000.0,7753151500000.0,7757357000000.0,7968116000000.0
2030.0,7776702000000.0,7366990000000.0,7332105300000.0,7708898500000.0,7807433000000.0,7771523600000.0,7660704400000.0,7815234000000.0,7724959000000.0,7693417300000.0,7927136500000.0
2031.0,7735441600000.0,7276288500000.0,7236889300000.0,7668866000000.0,7767715000000.0,7733866700000.0,7605542500000.0,7763822000000.0,7686345000000.0,7658163700000.0,7891901000000.0
2032.0,7688640500000.0,7198436000000.0,7135261000000.0,7616774000000.0,7743280000000.0,7692048000000.0,7548869000000.0,7734616400000.0,7650313500000.0,7610327000000.0,7869778400000.0
2033.0,7657281300000.0,7114588000000.0,7019099600000.0,7574848500000.0,7713822600000.0,7665198600000.0,7492319000000.0,7691766000000.0,7612721000000.0,7550097400000.0,7857378000000.0
2034.0,7632467000000.0,7027896000000.0,6930381000000.0,7545129000000.0,7666936000000.0,7629118600000.0,7436989600000.0,7646034000000.0,7585158700000.0,7510481700000.0,7835667700000.0
2035.0,7593741000000.0,6932724000000.0,6857346000000.0,7480716300000.0,7623186000000.0,7561975700000.0,7371088000000.0,7620772500000.0,7545488000000.0,7468852700000.0,7817111500000.0
2036.0,7558782000000.0,6842454400000.0,6758615000000.0,7448105000000.0,7578175700000.0,7519307600000.0,7326435000000.0,7577318000000.0,7508946600000.0,7419385600000.0,7783424000000.0
2037.0,7532171000000.0,6751699000000.0,6659521400000.0,7426557300000.0,7541215500000.0,7481301400000.0,7270202600000.0,7547074400000.0,7465114500000.0,7367968700000.0,7755096000000.0
2038.0,7494327000000.0,6653128700000.0,6540530000000.0,7406359700000.0,7516160000000.0,7442455300000.0,7214659000000.0,7505922500000.0,7423055600000.0,7320299400000.0,7721373000000.0
2039.0,7464959300000.0,6541790000000.0,6436940700000.0,7366681600000.0,7473029000000.0,7407466400000.0,7144292000000.0,7461042400000.0,7384481000000.0,7289089600000.0,7683918300000.0
2040.0,7435008300000.0,6455858000000.0,6328873400000.0,7335128000000.0,7423301000000.0,7364531000000.0,7091840400000.0,7430524600000.0,7331925500000.0,7236755000000.0,7651371000000.0
2041.0,7386558400000.0,6352989600000.0,6220275000000.0,7310870600000.0,7372208000000.0,7317563000000.0,7046044000000.0,7385447000000.0,7283812000000.0,7199776600000.0,7641134300000.0
2042.0,7339679000000.0,6265378400000.0,6135211400000.0,7279041000000.0,7328908000000.0,7263983000000.0,6976709300000.0,7341684000000.0,7230595300000.0,7142821600000.0,7615134000000.0
2043.0,7303137300000.0,6177343700000.0,6026613500000.0,7264631500000.0,7300692600000.0,7225683000000.0,6909127600000.0,7302107000000.0,7189933600000.0,7101479400000.0,7575467000000.0
2044.0,7273317400000.0,6082831000000.0,5920697000000.0,7241606000000.0,7243948000000.0,7186924700000.0,6830152500000.0,7267296500000.0,7144805000000.0,7080674600000.0,7568953000000.0
2045.0,7233922000000.0,5993842300000.0,5819229300000.0,7214777000000.0,7206352000000.0,7124058400000.0,6749966300000.0,7216157000000.0,7101140000000.0,7039258000000.0,7546460400000.0
2046.0,7196135000000.0,5916365000000.0,5722094400000.0,7177764000000.0,7159412000000.0,7088177700000.0,6687058000000.0,7173310000000.0,7039263000000.0,6990103000000.0,7517169500000.0
2047.0,7155776000000.0,5828702600000.0,5618889000000.0,7144198400000.0,7116007000000.0,7060481600000.0,6637988300000.0,7114888600000.0,6974247300000.0,6959895000000.0,7465767000000.0
2048.0,7108944700000.0,5724923500000.0,5522451000000.0,7114444500000.0,7060750600000.0,6999032000000.0,6563639600000.0,7060216000000.0,6918564000000.0,6904075000000.0,7424478500000.0
2049.0,7073936000000.0,5629266600000.0,5436522600000.0,7084833000000.0,7013478700000.0,6964439400000.0,6477626500000.0,7019798000000.0,6871027000000.0,6880584300000.0,7385960700000.0
2050.0,7031394700000.0,5553270000000.0,5330584500000.0,7051216400000.0,6962308700000.0,6905834000000.0,6396020000000.0,6979349000000.0,6817276500000.0,6834617000000.0,7346844000000.0
2051.0,6983161000000.0,5455681000000.0,5236875000000.0,7029511000000.0,6897880500000.0,6851509000000.0,6317789000000.0,6937644600000.0,6757982700000.0,6796882000000.0,7313671000000.0
2052.0,6935296300000.0,5369903400000.0,5135972000000.0,6993889700000.0,6850936300000.0,6795108000000.0,6242816000000.0,6887336600000.0,6711782400000.0,6758287000000.0,7293659000000.0
2053.0,6895673300000.0,5273535600000.0,5025678500000.0,6947688000000.0,6817088000000.0,6743389600000.0,6187215500000.0,6865159000000.0,6660970000000.0,6718728700000.0,7249243000000.0
2054.0,6856191000000.0,5172394700000.0,4927622000000.0,6899960400000.0,6774094600000.0,6674251000000.0,6123542000000.0,6828702300000.0,6604386700000.0,6687237000000.0,7203043000000.0
2055.0,6818457000000.0,5072191000000.0,4828923700000.0,6848664600000.0,6722362500000.0,6625114500000.0,6050757000000.0,6779848600000.0,6551735000000.0,6642927000000.0,7166288000000.0
