time,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
2019.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0
2020.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0
2021.0,8102561000000.0,8097525000000.0,8085292700000.0,8071539000000.0,8091521000000.0,8104092000000.0,8088308000000.0,8110294000000.0,8121468600000.0,8118548300000.0
2022.0,8053276500000.0,8042188400000.0,8039515600000.0,8006523700000.0,8044206000000.0,8065389700000.0,8056185000000.0,8080198700000.0,8096007600000.0,8093508000000.0
2023.0,8029684600000.0,7996851600000.0,8018007000000.0,7928962000000.0,8001599000000.0,8037017300000.0,8029706600000.0,8049996600000.0,8070363000000.0,8068565300000.0
2024.0,7997463000000.0,7956162700000.0,7967458500000.0,7859378600000.0,7969584000000.0,8010940000000.0,7981371000000.0,8018438700000.0,8045784000000.0,8055251500000.0
2025.0,7965223400000.0,7904538700000.0,7926500000000.0,7786599500000.0,7927120300000.0,7959079300000.0,7964614700000.0,7983507000000.0,8008524000000.0,8039431000000.0
2026.0,7922597000000.0,7856530700000.0,7890721000000.0,7715789700000.0,7881034300000.0,7933028000000.0,7919776000000.0,7942674000000.0,7981641500000.0,8024450700000.0
2027.0,7891333000000.0,7814900600000.0,7855218400000.0,7647453500000.0,7846270000000.0,7892172000000.0,7885826000000.0,7911894000000.0,7942348700000.0,7989412000000.0
2028.0,7865303600000.0,7766653500000.0,7826232000000.0,7583164000000.0,7802921000000.0,7857176000000.0,7835095700000.0,7873863000000.0,7924603000000.0,7952599600000.0
2029.0,7818855000000.0,7728509500000.0,7808068600000.0,7499842000000.0,7745380500000.0,7805085400000.0,7791544000000.0,7853053000000.0,7882964700000.0,7903680400000.0
2030.0,7798235000000.0,7669606000000.0,7757669300000.0,7432825000000.0,7676236000000.0,7752743600000.0,7728867600000.0,7822433000000.0,7867032000000.0,7885315000000.0
2031.0,7771934700000.0,7632670700000.0,7714174400000.0,7347090500000.0,7624845700000.0,7709591000000.0,7688305000000.0,7782847000000.0,7828934000000.0,7843187000000.0
2032.0,7747987000000.0,7590268400000.0,7666039000000.0,7276439500000.0,7566172600000.0,7675625000000.0,7647054000000.0,7744616700000.0,7800953500000.0,7808570000000.0
2033.0,7719866000000.0,7538363300000.0,7620358300000.0,7202256500000.0,7508811300000.0,7636133000000.0,7613907000000.0,7698391000000.0,7758524000000.0,7771650000000.0
2034.0,7691980000000.0,7471456000000.0,7554103500000.0,7148284700000.0,7445082000000.0,7579306000000.0,7561468000000.0,7662258400000.0,7723353600000.0,7730169400000.0
2035.0,7636950500000.0,7436858000000.0,7491319000000.0,7083060600000.0,7382603000000.0,7526611000000.0,7517180000000.0,7619107400000.0,7690998000000.0,7676527400000.0
2036.0,7603855300000.0,7407095000000.0,7447659000000.0,7012138600000.0,7331279500000.0,7491687500000.0,7459472000000.0,7588517000000.0,7660179600000.0,7658872000000.0
2037.0,7573773000000.0,7349520600000.0,7396425000000.0,6926976000000.0,7262396000000.0,7438266000000.0,7405952300000.0,7548935000000.0,7623170000000.0,7604061000000.0
2038.0,7537260000000.0,7307305000000.0,7349928500000.0,6836796000000.0,7199265400000.0,7397508000000.0,7355472000000.0,7511914000000.0,7572494000000.0,7538788500000.0
2039.0,7493182300000.0,7252307000000.0,7306588000000.0,6761288000000.0,7124615000000.0,7338891700000.0,7306424000000.0,7465522400000.0,7520343000000.0,7481104000000.0
2040.0,7450517000000.0,7209545000000.0,7264988600000.0,6664337000000.0,7068318700000.0,7281065000000.0,7266089000000.0,7416957600000.0,7475179300000.0,7416122000000.0
2041.0,7399213000000.0,7168984000000.0,7213302700000.0,6572921000000.0,7004140600000.0,7230004400000.0,7194492300000.0,7383634000000.0,7428751500000.0,7368375000000.0
2042.0,7348264000000.0,7093218700000.0,7145761000000.0,6476508000000.0,6937932000000.0,7179393300000.0,7142733000000.0,7348404000000.0,7393540000000.0,7319266000000.0
2043.0,7305512400000.0,7028189000000.0,7102244300000.0,6372798000000.0,6863809000000.0,7125377500000.0,7070174700000.0,7297649600000.0,7343087600000.0,7259761400000.0
2044.0,7262532000000.0,6973690000000.0,7040661000000.0,6268573500000.0,6800918700000.0,7058169500000.0,6994523000000.0,7247527700000.0,7296535000000.0,7207388000000.0
2045.0,7227768000000.0,6904903000000.0,6963359400000.0,6161842600000.0,6737048000000.0,6989940000000.0,6954509400000.0,7198795600000.0,7244275500000.0,7146285000000.0
2046.0,7190014300000.0,6841783000000.0,6895392000000.0,6058889700000.0,6670195000000.0,6916223000000.0,6886870500000.0,7153154000000.0,7186442000000.0,7097535700000.0
2047.0,7143562400000.0,6770169000000.0,6819544600000.0,5951704000000.0,6605814000000.0,6865182000000.0,6827772000000.0,7111259500000.0,7128285700000.0,7051958300000.0
2048.0,7088312400000.0,6698161000000.0,6762601000000.0,5843636500000.0,6537704000000.0,6779590000000.0,6767396000000.0,7071848700000.0,7092646000000.0,6990030000000.0
2049.0,7040889500000.0,6654986300000.0,6704527300000.0,5732080000000.0,6471812000000.0,6711036000000.0,6697684300000.0,7030382000000.0,7028839300000.0,6935856000000.0
2050.0,6989606000000.0,6587958700000.0,6647533000000.0,5615279000000.0,6407777700000.0,6650249000000.0,6632831500000.0,6990320000000.0,6962629600000.0,6885824000000.0
2051.0,6939877000000.0,6531094000000.0,6590023300000.0,5499592000000.0,6330699000000.0,6594578400000.0,6553207300000.0,6953351000000.0,6902291000000.0,6823365600000.0
2052.0,6897240400000.0,6453867000000.0,6539793400000.0,5372050000000.0,6250783300000.0,6521479000000.0,6471015700000.0,6916310300000.0,6846916000000.0,6766898000000.0
2053.0,6857266600000.0,6379670600000.0,6485941000000.0,5248964000000.0,6181427300000.0,6440776000000.0,6399934300000.0,6863842000000.0,6789499700000.0,6684113600000.0
2054.0,6817716400000.0,6314022400000.0,6418822300000.0,5141208000000.0,6122234000000.0,6371193000000.0,6330187000000.0,6817770000000.0,6728458000000.0,6613765000000.0
2055.0,6750797300000.0,6256579300000.0,6337864000000.0,5035660400000.0,6051190500000.0,6303624000000.0,6244922300000.0,6766803000000.0,6669614400000.0,6568212000000.0
2056.0,6697890000000.0,6187759000000.0,6286232000000.0,4910549600000.0,5974333600000.0,6224838000000.0,6156185500000.0,6729710000000.0,6623063400000.0,6493731000000.0
2057.0,6636163000000.0,6129742500000.0,6246671300000.0,4786199500000.0,5874298000000.0,6153932600000.0,6076325000000.0,6681788400000.0,6570887300000.0,6435051000000.0
2058.0,6589021400000.0,6068095700000.0,6203174000000.0,4656155000000.0,5788155000000.0,6095344000000.0,5973380400000.0,6615993400000.0,6504553000000.0,6368252000000.0
2059.0,6543639000000.0,6005150700000.0,6171323300000.0,4531458000000.0,5696569000000.0,6010027600000.0,5882026400000.0,6569838000000.0,6440438700000.0,6299528500000.0
