time,ACCESS-ESM1-5,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0,ACCESS-CM2,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49128950000.0,48997110000.0,49201180000.0,49081745000.0,49225340000.0,49262260000.0,49476768000.0,49136340000.0,49094316000.0,49232323000.0,49239380000.0,49137234000.0,49159930000.0,49074713000.0,49681035000.0,49088262000.0,49089233000.0,49196704000.0,48992760000.0
2022.0,48845242000.0,49010123000.0,49271340000.0,48903274000.0,49027834000.0,49041850000.0,49138000000.0,48972755000.0,48877273000.0,48875037000.0,48928543000.0,49099825000.0,48829575000.0,49109287000.0,49096250000.0,48851310000.0,48872870000.0,48919167000.0,48919320000.0
2023.0,48562573000.0,48739676000.0,49044740000.0,48982340000.0,48798036000.0,48481735000.0,49372004000.0,48572744000.0,48612647000.0,48606310000.0,48591540000.0,49114800000.0,48600500000.0,48774670000.0,48937540000.0,48603790000.0,48822040000.0,48681517000.0,48758354000.0
2024.0,48432763000.0,48571056000.0,49709654000.0,48668600000.0,48633442000.0,48149643000.0,48771610000.0,48311060000.0,48718533000.0,48620704000.0,48386110000.0,48855220000.0,48377704000.0,48511664000.0,48724414000.0,49148723000.0,48579514000.0,48480498000.0,48497947000.0
2025.0,48129827000.0,48455280000.0,49216926000.0,48388936000.0,48482860000.0,47810380000.0,48620597000.0,48039604000.0,48380290000.0,48293356000.0,48156193000.0,49423573000.0,48123980000.0,48212000000.0,48597643000.0,48273863000.0,48310980000.0,48196130000.0,48236896000.0
2026.0,47854453000.0,48321260000.0,48620340000.0,48194486000.0,48246903000.0,47209906000.0,48438305000.0,47836630000.0,48077990000.0,47969570000.0,47858450000.0,48825614000.0,47908073000.0,48045023000.0,49143357000.0,48088970000.0,48119337000.0,47968150000.0,48239990000.0
2027.0,47500276000.0,48090943000.0,48284545000.0,48010080000.0,47995625000.0,46780990000.0,48182764000.0,47469703000.0,47740867000.0,47934947000.0,47658950000.0,48494473000.0,47571493000.0,47732430000.0,48637930000.0,47844803000.0,47840903000.0,47659820000.0,47902237000.0
2028.0,47111290000.0,47862768000.0,48248520000.0,47804355000.0,48006644000.0,46433067000.0,48288494000.0,47160050000.0,47420735000.0,47541047000.0,47328154000.0,48244530000.0,47665500000.0,47529935000.0,48126480000.0,47588560000.0,47559692000.0,47381885000.0,47619854000.0
2029.0,46775090000.0,47775790000.0,47870288000.0,47831720000.0,47726944000.0,45719015000.0,47902270000.0,46763225000.0,47066630000.0,47236317000.0,47098060000.0,48030253000.0,46967950000.0,47187403000.0,47873307000.0,47251010000.0,47290340000.0,47102650000.0,47288738000.0
2030.0,46538650000.0,47424740000.0,47666893000.0,47424860000.0,47233820000.0,45220913000.0,47657644000.0,46428328000.0,46669378000.0,46844180000.0,46751683000.0,47759254000.0,46613737000.0,47043790000.0,47701828000.0,46958318000.0,46878433000.0,46841983000.0,46806815000.0
2031.0,46117683000.0,47247110000.0,47318737000.0,47358448000.0,47003820000.0,44466897000.0,47628493000.0,46193115000.0,46275473000.0,46472647000.0,46535420000.0,47758733000.0,46208190000.0,47300497000.0,47563510000.0,46660207000.0,46405804000.0,46471360000.0,46437730000.0
2032.0,45693230000.0,46978440000.0,47216560000.0,47133980000.0,46840193000.0,43828576000.0,47162130000.0,45752430000.0,45916295000.0,46003310000.0,46240940000.0,47421770000.0,45766214000.0,46498693000.0,47264790000.0,46382180000.0,45962015000.0,46231790000.0,46144717000.0
2033.0,45151260000.0,46658683000.0,46855180000.0,46850052000.0,46619628000.0,43069297000.0,46772370000.0,45329043000.0,45489385000.0,45581804000.0,45819400000.0,47079395000.0,45365625000.0,46200550000.0,47068800000.0,46440636000.0,45514480000.0,45792555000.0,45866574000.0
2034.0,44631470000.0,46370066000.0,46633316000.0,46542086000.0,46244060000.0,42345300000.0,46375770000.0,44856450000.0,44978864000.0,45249050000.0,45590983000.0,46819270000.0,45114626000.0,45800390000.0,46740607000.0,45715980000.0,45222640000.0,45421180000.0,45397324000.0
