time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49262260000.0,49476768000.0,49136340000.0,49239380000.0
2022.0,49041850000.0,49138000000.0,48972755000.0,48928543000.0
2023.0,48481735000.0,49372004000.0,48572744000.0,48591540000.0
2024.0,48149643000.0,48771610000.0,48311060000.0,48386110000.0
2025.0,47810380000.0,48620597000.0,48039604000.0,48156193000.0
2026.0,47209906000.0,48438305000.0,47836630000.0,47858450000.0
2027.0,46780990000.0,48182764000.0,47469703000.0,47658950000.0
2028.0,46433067000.0,48288494000.0,47160050000.0,47328154000.0
2029.0,45719015000.0,47902270000.0,46763225000.0,47098060000.0
2030.0,45220913000.0,47657644000.0,46428328000.0,46751683000.0
2031.0,44464456000.0,47628730000.0,46192402000.0,46535512000.0
2032.0,43829432000.0,47159090000.0,45752218000.0,46240588000.0
2033.0,43063996000.0,46771260000.0,45323575000.0,45815992000.0
2034.0,42338600000.0,46374790000.0,44846480000.0,45585388000.0
2035.0,41482162000.0,46074327000.0,44357140000.0,45229027000.0
2036.0,40859546000.0,45687374000.0,43815965000.0,44816990000.0
2037.0,39883874000.0,45292323000.0,43284560000.0,44425208000.0
2038.0,38991282000.0,44876890000.0,42675864000.0,43941134000.0
2039.0,37976950000.0,44161786000.0,41888133000.0,43390566000.0
2040.0,37263634000.0,43550585000.0,41337320000.0,42806325000.0
2041.0,36191347000.0,42724230000.0,40686660000.0,42255790000.0
2042.0,35275670000.0,42262766000.0,40045593000.0,41597338000.0
2043.0,34154290000.0,41616933000.0,39226950000.0,40970273000.0
2044.0,33085686000.0,41030767000.0,38348968000.0,40406254000.0
2045.0,32014754000.0,40294790000.0,37654495000.0,39663014000.0
2046.0,30977729000.0,39381488000.0,36865417000.0,38808064000.0
2047.0,30007083000.0,38561130000.0,36215706000.0,38480253000.0
2048.0,29135354000.0,37734162000.0,35383280000.0,37670904000.0
2049.0,28017478000.0,37013664000.0,34652980000.0,37071745000.0
2050.0,27043752000.0,36180333000.0,33828050000.0,36415767000.0
2051.0,26300365000.0,35168060000.0,33092890000.0,35711193000.0
2052.0,25302596000.0,34608310000.0,32336430000.0,35117523000.0
2053.0,24406180000.0,33647750000.0,31619756000.0,34485280000.0
2054.0,23513438000.0,32834273000.0,30952020000.0,33814536000.0
2055.0,22775257000.0,32026423000.0,30274914000.0,33354490000.0
2056.0,21928954000.0,31416293000.0,29555337000.0,32740624000.0
2057.0,21165304000.0,30587163000.0,28928967000.0,32034875000.0
2058.0,20534747000.0,29897090000.0,28323115000.0,31524948000.0
2059.0,19788734000.0,29124766000.0,27784075000.0,30838008000.0
2060.0,19151792000.0,28133329000.0,27169733000.0,30198660000.0
2061.0,18765520000.0,27513518000.0,26590915000.0,29704434000.0
2062.0,18147439000.0,26807792000.0,26112434000.0,29200679000.0
2063.0,17620947000.0,26209370000.0,25860479000.0,28793418000.0
2064.0,17109030000.0,25656838000.0,25318961000.0,28221254000.0
2065.0,16631020000.0,25038000000.0,24902875000.0,27729175000.0
2066.0,16206001000.0,24572013000.0,24535271000.0,27092326000.0
2067.0,15734412000.0,24138146000.0,24284190000.0,26576456000.0
2068.0,15250642000.0,23724090000.0,23902970000.0,26144831000.0
2069.0,14789524000.0,23290628000.0,23511673000.0,25988014000.0
2070.0,14404380000.0,22951356000.0,23378108000.0,25324464000.0
2071.0,14684061000.0,22416445000.0,22881800000.0,25308596000.0
2072.0,13791768000.0,22023338000.0,22622341000.0,24672850000.0
2073.0,13298168000.0,21650390000.0,22281770000.0,24622864000.0
2074.0,12932028000.0,21314265000.0,22137903000.0,24030194000.0
2075.0,12530584000.0,20967455000.0,21845613000.0,24984402000.0
2076.0,12217818000.0,20736154000.0,21486733000.0,23500925000.0
2077.0,12024529000.0,20398959000.0,21917950000.0,23370224000.0
2078.0,11862407000.0,19992093000.0,22226510000.0,23024042000.0
2079.0,11490858000.0,19727276000.0,21575860000.0,22728874000.0
2080.0,11209412000.0,19454770000.0,21769953000.0,23163859000.0
2081.0,11008928000.0,19155005000.0,21023355000.0,24254595000.0
2082.0,10933031000.0,18853145000.0,20703803000.0,24483135000.0
2083.0,10925045000.0,18702180000.0,20534720000.0,23846880000.0
2084.0,11373512000.0,18388900000.0,20310264000.0,23276526000.0
2085.0,10525482000.0,18122732000.0,20295066000.0,22817688000.0
2086.0,10447633000.0,17919800000.0,19962300000.0,22368383000.0
2087.0,10272558000.0,17662700000.0,19874154000.0,22278870000.0
2088.0,10700366000.0,17444202000.0,21536702000.0,22066135000.0
2089.0,10517903000.0,17267192000.0,20894632000.0,22078986000.0
2090.0,10079677000.0,17138408000.0,20328161000.0,22030780000.0
2091.0,10271441000.0,17093973000.0,20046658000.0,21625666000.0
2092.0,9909291000.0,16930779000.0,20217426000.0,21519059000.0
2093.0,9813516000.0,16608914000.0,19883776000.0,21773046000.0
2094.0,10004060000.0,16840505000.0,20204182000.0,21603720000.0
2095.0,9732554000.0,16356593000.0,20930488000.0,21512331000.0
2096.0,9869881000.0,16527812000.0,20404337000.0,21177790000.0
2097.0,9591581000.0,16041957000.0,19413363000.0,20903717000.0
2098.0,9720738000.0,16359051000.0,19436272000.0,20711330000.0
2099.0,9765176000.0,16264080000.0,19725340000.0,20656505000.0
2100.0,9692414000.0,16238893000.0,21548823000.0,21044457000.0
