time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2027.0,47612363000.0,48117813000.0,48513135000.0,48302137000.0,48411260000.0,47906430000.0,48088120000.0,47800984000.0,47364305000.0,47882000000.0,48649253000.0,47962837000.0,48270170000.0,47690383000.0
2028.0,47365590000.0,47855055000.0,48028930000.0,47942558000.0,48347943000.0,47636836000.0,47800242000.0,47521500000.0,47054920000.0,47819520000.0,49035040000.0,47680578000.0,47784090000.0,47340618000.0
2029.0,47183790000.0,48744714000.0,48104186000.0,47936115000.0,48050810000.0,47337860000.0,47540543000.0,47245830000.0,46594515000.0,47577514000.0,47997452000.0,47477207000.0,47594553000.0,47047480000.0
2030.0,46732132000.0,47858127000.0,47975130000.0,48098275000.0,47808524000.0,46987480000.0,47241863000.0,47334900000.0,46238077000.0,47343350000.0,48099406000.0,47150640000.0,47201825000.0,46819100000.0
2031.0,46459760000.0,47321723000.0,47743308000.0,47631634000.0,47673475000.0,46728954000.0,47028466000.0,47226774000.0,45754140000.0,47276098000.0,47753548000.0,47006100000.0,46813417000.0,46402810000.0
2032.0,46129970000.0,47006007000.0,47812272000.0,47323996000.0,47419167000.0,46397714000.0,46732260000.0,46632620000.0,45300204000.0,46912885000.0,47485334000.0,46585260000.0,46512240000.0,46048907000.0
2033.0,45736610000.0,46769574000.0,47268890000.0,47189664000.0,47137370000.0,45975460000.0,46545400000.0,46233596000.0,44880347000.0,46661476000.0,47362200000.0,46332826000.0,46180213000.0,45687610000.0
2034.0,45274825000.0,46388466000.0,47145070000.0,46922920000.0,46979640000.0,45663273000.0,46150492000.0,46158197000.0,44384866000.0,46472060000.0,46946010000.0,46094455000.0,45897450000.0,45254080000.0
2035.0,44983366000.0,46436300000.0,47326750000.0,47860030000.0,46928355000.0,45363536000.0,45679563000.0,45690372000.0,43999010000.0,46289224000.0,46955230000.0,45771903000.0,45456028000.0,44932616000.0
2036.0,44655140000.0,45911704000.0,46809590000.0,46659113000.0,46553460000.0,45175700000.0,45486375000.0,45333426000.0,43734122000.0,45992944000.0,46471950000.0,45524010000.0,45109293000.0,44431372000.0
