time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49111396000.0,49238510000.0,49091133000.0,49299600000.0,49245266000.0,49194300000.0,49572610000.0,49029630000.0,49752556000.0,49011945000.0,49053336000.0,49000900000.0,49058280000.0,49088060000.0,49607360000.0,49052270000.0,49178608000.0
2022.0,48873980000.0,48988193000.0,48931955000.0,48989790000.0,48848323000.0,49019912000.0,49316910000.0,49082974000.0,49362575000.0,48799445000.0,48911585000.0,48787460000.0,48908320000.0,48894673000.0,49030468000.0,49080070000.0,48991630000.0
2023.0,48624234000.0,48789746000.0,48869024000.0,48705573000.0,48659990000.0,48990826000.0,49188184000.0,48445860000.0,48888360000.0,48741280000.0,48609927000.0,48526770000.0,48673460000.0,48762753000.0,48848160000.0,48742707000.0,48810578000.0
2024.0,48335778000.0,48579800000.0,48604533000.0,48518287000.0,48453505000.0,48619184000.0,48927494000.0,48222620000.0,48558895000.0,48412664000.0,48413168000.0,48247063000.0,48371995000.0,48484626000.0,48955597000.0,48435036000.0,48534516000.0
2025.0,48136344000.0,48320774000.0,48467177000.0,48297140000.0,48275706000.0,48488000000.0,48689684000.0,47792992000.0,48282403000.0,48316470000.0,48201187000.0,48015036000.0,48166370000.0,48315300000.0,48519053000.0,48330710000.0,48602444000.0
2026.0,47934910000.0,47982014000.0,48354243000.0,48088527000.0,48011936000.0,48468100000.0,49076216000.0,47455818000.0,48251930000.0,48018022000.0,47906714000.0,47756590000.0,48026575000.0,47966986000.0,48363360000.0,48040075000.0,48215050000.0
2027.0,47587580000.0,47697950000.0,48331833000.0,47828680000.0,47894987000.0,48295125000.0,48939320000.0,47175860000.0,48017250000.0,47788597000.0,47702237000.0,47469320000.0,47798428000.0,47693850000.0,48064120000.0,47778430000.0,48014070000.0
2028.0,47451587000.0,47386880000.0,47986565000.0,47595287000.0,47806816000.0,48057520000.0,48699527000.0,46844790000.0,47693800000.0,47544037000.0,47408742000.0,47100880000.0,47506838000.0,47292380000.0,48002160000.0,47550280000.0,47783770000.0
2029.0,46967448000.0,47307140000.0,47725576000.0,47371858000.0,47547986000.0,47886983000.0,48555480000.0,46291050000.0,47408950000.0,47335326000.0,47077350000.0,46901416000.0,47143326000.0,46969197000.0,49242513000.0,47284570000.0,47588590000.0
2030.0,46738100000.0,46877913000.0,47405855000.0,47076434000.0,47395672000.0,47691060000.0,48389485000.0,45861274000.0,47039345000.0,47241224000.0,46722010000.0,46320194000.0,46847574000.0,46634210000.0,49517613000.0,47107244000.0,47360975000.0
2031.0,46356430000.0,46529490000.0,47255564000.0,47030067000.0,47130540000.0,47463567000.0,47965508000.0,45375990000.0,46752330000.0,47080310000.0,46417203000.0,45868080000.0,46443840000.0,46285984000.0,48129140000.0,46852174000.0,47056343000.0
2032.0,45948002000.0,46086050000.0,46876852000.0,46693460000.0,46750732000.0,47266152000.0,47647707000.0,45124570000.0,47038177000.0,46756815000.0,46001734000.0,45422625000.0,46303170000.0,45852803000.0,47708250000.0,46364430000.0,46847767000.0
2033.0,45604680000.0,45711380000.0,46543405000.0,46331790000.0,46459232000.0,47042340000.0,47398580000.0,44370215000.0,46797308000.0,47007410000.0,45575967000.0,45007868000.0,45879190000.0,45391230000.0,47440420000.0,46465470000.0,46691308000.0
