time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2121.0,61189812000.0,41209045000.0,56864457000.0
2122.0,60617010000.0,40830920000.0,56201843000.0
2123.0,60912316000.0,40432750000.0,56138777000.0
2124.0,61589398000.0,40051830000.0,58648580000.0
2125.0,61069165000.0,39884124000.0,56836264000.0
2126.0,60315580000.0,39730168000.0,57641950000.0
2127.0,59735835000.0,40254640000.0,58705527000.0
2128.0,62227420000.0,38810550000.0,56419980000.0
2129.0,59490468000.0,38519250000.0,54331183000.0
2130.0,59163280000.0,38053250000.0,54490513000.0
2131.0,58748120000.0,37922550000.0,53950145000.0
2132.0,59229160000.0,37141110000.0,53584350000.0
2133.0,59087008000.0,37046514000.0,53634970000.0
2134.0,58319910000.0,37040726000.0,54594404000.0
2135.0,59235594000.0,36348040000.0,53010096000.0
2136.0,59278037000.0,36092250000.0,52670173000.0
2137.0,58152140000.0,35478790000.0,52166170000.0
2138.0,57476166000.0,35072164000.0,52012990000.0
2139.0,61841355000.0,34858856000.0,51474686000.0
2140.0,58966598000.0,34304100000.0,51942937000.0
2141.0,57326130000.0,34018280000.0,51004740000.0
2142.0,57132503000.0,34009022000.0,50700304000.0
2143.0,61178716000.0,35358933000.0,50799390000.0
2144.0,57500210000.0,33548823000.0,50718910000.0
2145.0,57331320000.0,32842242000.0,50176954000.0
2146.0,56311783000.0,34155817000.0,50120094000.0
2147.0,55865390000.0,32679088000.0,51370942000.0
2148.0,58559484000.0,33984965000.0,49227700000.0
2149.0,58349715000.0,31988265000.0,49358970000.0
2150.0,57699443000.0,31345818000.0,49033384000.0
2151.0,56447853000.0,31484980000.0,48639140000.0
2152.0,55969860000.0,30947672000.0,48433918000.0
2153.0,55494984000.0,31266347000.0,48196858000.0
2154.0,55311774000.0,30649098000.0,47773835000.0
2155.0,56358630000.0,30276334000.0,47526690000.0
2156.0,54655803000.0,29966119000.0,47254778000.0
2157.0,57661490000.0,30483798000.0,47759190000.0
2158.0,55367803000.0,29664627000.0,47203197000.0
2159.0,55859147000.0,29714678000.0,48496783000.0
2160.0,55309963000.0,29325724000.0,46524506000.0
2161.0,55919694000.0,29074264000.0,47503835000.0
2162.0,56422568000.0,28962245000.0,46633214000.0
2163.0,54681330000.0,31253948000.0,46670640000.0
2164.0,54724493000.0,29237690000.0,46016217000.0
2165.0,53748167000.0,29385230000.0,47025644000.0
2166.0,53770480000.0,28730636000.0,45518217000.0
2167.0,53425865000.0,29232173000.0,45669220000.0
2168.0,53668614000.0,28254001000.0,44987210000.0
2169.0,54597538000.0,28163832000.0,44792394000.0
2170.0,53513960000.0,27821976000.0,44679700000.0
2171.0,52592525000.0,27949648000.0,45185774000.0
2172.0,52645097000.0,29208195000.0,44671193000.0
2173.0,52954444000.0,27410084000.0,45570363000.0
2174.0,52310843000.0,27434461000.0,45365640000.0
2175.0,55597437000.0,27082834000.0,45402104000.0
2176.0,54405497000.0,26881280000.0,45013946000.0
2177.0,52846113000.0,27247884000.0,45582800000.0
2178.0,52818870000.0,27044438000.0,43959790000.0
2179.0,52527014000.0,27443790000.0,43696263000.0
2180.0,51739525000.0,26478344000.0,43721785000.0
2181.0,55098954000.0,26235610000.0,45691826000.0
2182.0,54703560000.0,25997826000.0,43539960000.0
2183.0,52783990000.0,26049364000.0,43894403000.0
2184.0,52691845000.0,26313452000.0,43168830000.0
2185.0,54545375000.0,25715118000.0,43886207000.0
2186.0,52298633000.0,26315422000.0,42933360000.0
2187.0,51446660000.0,25390688000.0,44131890000.0
2188.0,51761220000.0,26351538000.0,42660975000.0
2189.0,52639280000.0,25084539000.0,42292210000.0
2190.0,51902312000.0,24943213000.0,49538236000.0
2191.0,51861017000.0,24633108000.0,43955260000.0
2192.0,51568742000.0,24369300000.0,42952390000.0
2193.0,52043760000.0,24877355000.0,41888244000.0
2194.0,51517047000.0,24417358000.0,41503920000.0
2195.0,53493838000.0,23825934000.0,41349865000.0
2196.0,51151344000.0,24025678000.0,41679745000.0
2197.0,50948755000.0,23535473000.0,42596266000.0
2198.0,51673686000.0,23044311000.0,44197050000.0
2199.0,53573853000.0,22789298000.0,42166723000.0
2200.0,54738390000.0,22485586000.0,41747554000.0
2201.0,51173003000.0,24331151000.0,41336200000.0
2202.0,53051027000.0,22451579000.0,42939335000.0
2203.0,54356000000.0,22227427000.0,41729032000.0
2204.0,52420694000.0,22212723000.0,41923630000.0
