time,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5
2000.0,89173320000.0,89171740000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88894690000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88781005000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88608326000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458035000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88438920000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88510276000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88849916000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88521250000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326170000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047020000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87940900000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88146050000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88201360000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88881594000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88070780000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89329610000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88128430000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87989666000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89761290000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779520000.0,87779975000.0,87779975000.0
2021.0,87595614000.0,87610696000.0,87564190000.0,87620410000.0
2022.0,87378060000.0,87544330000.0,87548805000.0,87664430000.0
2023.0,87257730000.0,87348170000.0,87360170000.0,87675260000.0
2024.0,87223820000.0,87744610000.0,87191150000.0,87418570000.0
2025.0,86974790000.0,87217840000.0,87028210000.0,87143375000.0
2026.0,87057040000.0,87064580000.0,86965930000.0,86959830000.0
2027.0,86768020000.0,86891820000.0,86697330000.0,86695210000.0
2028.0,86555810000.0,86972300000.0,86760010000.0,86746500000.0
2029.0,86400025000.0,87055800000.0,87110310000.0,86494620000.0
2030.0,86174080000.0,87565200000.0,86477640000.0,85972450000.0
2031.0,86224716000.0,86726386000.0,86185340000.0,85911170000.0
2032.0,85983070000.0,86700130000.0,86091510000.0,85600400000.0
2033.0,85683380000.0,86421330000.0,85849270000.0,85207020000.0
2034.0,85475920000.0,86202900000.0,85773040000.0,84944510000.0
2035.0,85569855000.0,86045240000.0,85474720000.0,84538140000.0
2036.0,85439030000.0,86183080000.0,85272440000.0,84163350000.0
2037.0,84972640000.0,86101630000.0,85121070000.0,83818480000.0
2038.0,84664435000.0,85926050000.0,84620616000.0,83355670000.0
2039.0,84617675000.0,85839200000.0,84923520000.0,82882250000.0
2040.0,84179690000.0,85735960000.0,84483830000.0,82993250000.0
2041.0,83884840000.0,85561620000.0,84250680000.0,82049610000.0
2042.0,83576010000.0,85177940000.0,83809305000.0,81484554000.0
2043.0,83287960000.0,85304520000.0,83310854000.0,80874200000.0
2044.0,83207650000.0,85114765000.0,82891740000.0,80331506000.0
2045.0,82832376000.0,84766520000.0,82580100000.0,79650636000.0
2046.0,82436360000.0,84711645000.0,82128220000.0,79010726000.0
2047.0,82245300000.0,84289160000.0,81653870000.0,78519650000.0
2048.0,81842810000.0,83953580000.0,81305640000.0,77851020000.0
2049.0,81472360000.0,83870390000.0,80829700000.0,77253610000.0
2050.0,81190355000.0,84918210000.0,80351890000.0,76842480000.0
2051.0,80752730000.0,83693420000.0,79871550000.0,76057800000.0
2052.0,80348860000.0,83620045000.0,80176340000.0,75450330000.0
2053.0,79907540000.0,83246840000.0,79427355000.0,74689500000.0
2054.0,79755480000.0,82963090000.0,78706205000.0,73989240000.0
2055.0,79249790000.0,82799320000.0,78488110000.0,73216565000.0
2056.0,78685010000.0,82482580000.0,78062870000.0,72433890000.0
2057.0,78600130000.0,82074140000.0,77463930000.0,71474190000.0
2058.0,77996680000.0,81983810000.0,76959000000.0,70961130000.0
2059.0,77719750000.0,82143070000.0,76420230000.0,70496400000.0
2060.0,77253980000.0,82141660000.0,76137240000.0,69368940000.0
2061.0,76650200000.0,81476650000.0,75574300000.0,68906810000.0
2062.0,76179260000.0,81137260000.0,75103920000.0,68187760000.0
2063.0,75894735000.0,80790310000.0,74900360000.0,67422458000.0
2064.0,75378230000.0,80534720000.0,74200920000.0,66304170000.0
2065.0,75101140000.0,80364740000.0,73841090000.0,65462166000.0
2066.0,74926470000.0,79888030000.0,73331390000.0,64579076000.0
2067.0,74345960000.0,80139450000.0,72794430000.0,63793836000.0
2068.0,73709896000.0,79664280000.0,72410430000.0,63227277000.0
2069.0,73198035000.0,79268050000.0,72054480000.0,62125790000.0
