time,IPSL-CM5A-LR,GISS-E2-R,MPI-ESM-LR,GFDL-CM3,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,GFDL-ESM2G,CCSM4,CESM1-CAM5
2060.0,8148616000.0,8927298000.0,8923655000.0,8405995500.0,9068970000.0,9529868000.0,8511174000.0,8863658000.0,9118426000.0,8621930000.0,8317636000.0
2061.0,8069330400.0,8878754000.0,8891482000.0,8352531500.0,9029314000.0,9497056000.0,8461961000.0,8810810000.0,9085112000.0,8576309000.0,8254628400.0
2062.0,8014165500.0,8844354000.0,8834656000.0,8300736500.0,8997604000.0,9487953000.0,8395854000.0,8736188000.0,9061730000.0,8530363000.0,8187115000.0
2063.0,7945475600.0,8763872000.0,8784471000.0,8254863400.0,8917535000.0,9469598000.0,8332455400.0,8685349000.0,9006885000.0,8457147400.0,8131387400.0
2064.0,7851703300.0,8694431000.0,8715023000.0,8181294600.0,8873363000.0,9464324000.0,8276987400.0,8621203000.0,8947897000.0,8386116000.0,8055569400.0
2065.0,7762935000.0,8676042000.0,8663234000.0,8110822000.0,8846251000.0,9429097000.0,8215355400.0,8571196400.0,8884308000.0,8365954000.0,8005297000.0
2066.0,7651411000.0,8635528000.0,8626328000.0,8051567000.0,8800139000.0,9410354000.0,8149836300.0,8531157500.0,8834111000.0,8308459000.0,7949302300.0
2067.0,7539149000.0,8603959000.0,8577000000.0,7985388500.0,8762535000.0,9397206000.0,8093653000.0,8490392600.0,8816292000.0,8254348300.0,7900308500.0
2068.0,7469111300.0,8561238500.0,8492219400.0,7920802300.0,8703616000.0,9370878000.0,8061591000.0,8434230300.0,8729620000.0,8209906700.0,7846241300.0
2069.0,7387120600.0,8547609000.0,8427209700.0,7850257000.0,8682428000.0,9333342000.0,7980774400.0,8388291600.0,8705394000.0,8158720000.0,7800046000.0
2070.0,7321603000.0,8507051000.0,8398608400.0,7802271000.0,8629552000.0,9323908000.0,7933714400.0,8343041500.0,8687105000.0,8098028000.0,7731991600.0
2071.0,7236492300.0,8448329000.0,8361607700.0,7702576000.0,8588385300.0,9316486000.0,7875632000.0,8305214500.0,8657838000.0,8043262500.0,7658799600.0
2072.0,7176022000.0,8412245500.0,8301048300.0,7627258000.0,8546410000.0,9337620000.0,7781828600.0,8258916000.0,8642814000.0,7976990700.0,7563610600.0
2073.0,7088131000.0,8389122600.0,8260169000.0,7550063600.0,8507997000.0,9359132000.0,7686718500.0,8205717500.0,8597100000.0,7904735700.0,7541307400.0
2074.0,7003083300.0,8366660000.0,8201094000.0,7500224000.0,8481782000.0,9346132000.0,7638931000.0,8164808000.0,8558906400.0,7806421000.0,7487936500.0
2075.0,6911772000.0,8340125700.0,8150469000.0,7473502000.0,8429228000.0,9339706000.0,7593858600.0,8097057300.0,8530119000.0,7753405400.0,7404829000.0
2076.0,6815372300.0,8293563000.0,8082021000.0,7412944000.0,8387656700.0,9311591000.0,7546305000.0,8038826000.0,8494546000.0,7676728300.0,7370841600.0
2077.0,6750976000.0,8256469000.0,8050525000.0,7335840300.0,8336489500.0,9288921000.0,7507937300.0,7999952400.0,8464558600.0,7637074000.0,7308345300.0
2078.0,6695397400.0,8245461500.0,8007156000.0,7291665400.0,8299645400.0,9271966000.0,7437226500.0,7961729000.0,8442185700.0,7574143500.0,7252253000.0
2079.0,6632865300.0,8221591600.0,7956724700.0,7239872500.0,8266813000.0,9253551000.0,7384397300.0,7895717400.0,8409860000.0,7534931000.0,7207287300.0
2080.0,6579021000.0,8196094500.0,7909541400.0,7181430300.0,8204581400.0,9217600000.0,7331360000.0,7847885000.0,8377026600.0,7478563300.0,7155029000.0
2081.0,6521456600.0,8156204500.0,7866306600.0,7095910400.0,8165515300.0,9198597000.0,7292902400.0,7787803000.0,8355727400.0,7433689600.0,7087269400.0
2082.0,6480779000.0,8127269000.0,7846221000.0,7025182000.0,8125590500.0,9198712000.0,7219215000.0,7744049000.0,8332709000.0,7373024000.0,7042080000.0
2083.0,6429978600.0,8074944500.0,7819852000.0,6983394300.0,8101366000.0,9173470000.0,7175337500.0,7693676500.0,8310398500.0,7329774000.0,6957826000.0
2084.0,6366121500.0,8035620400.0,7768846300.0,6914422300.0,8053594600.0,9158772000.0,7137117000.0,7619301400.0,8267556000.0,7261329000.0,6895457000.0
2085.0,6316097000.0,7992299500.0,7736972300.0,6848340000.0,8008030700.0,9141893000.0,7060998700.0,7597815300.0,8256150500.0,7226277000.0,6799162400.0
2086.0,6253014500.0,7966186500.0,7695213600.0,6803529000.0,7986648600.0,9128779000.0,7005963000.0,7570426000.0,8202040300.0,7158747000.0,6776736000.0
2087.0,6170689500.0,7934994400.0,7667297000.0,6719950000.0,7943561700.0,9109229000.0,6952502300.0,7512132000.0,8186083000.0,7121657300.0,6685115400.0
2088.0,6080964600.0,7933294600.0,7618622000.0,6673057300.0,7914099700.0,9103080000.0,6913230000.0,7472377300.0,8159390000.0,7050494500.0,6649683000.0
2089.0,6024906000.0,7897393700.0,7544240000.0,6602008000.0,7834236400.0,9077985000.0,6805425000.0,7439773700.0,8147267600.0,7015082000.0,6602104000.0
2090.0,5958740000.0,7880102000.0,7506278000.0,6521001000.0,7808481300.0,9072721000.0,6737854000.0,7402596000.0,8122736600.0,6958358000.0,6554130400.0
2091.0,5883284500.0,7906766000.0,7461125000.0,6470484000.0,7766407000.0,9052827000.0,6677031400.0,7357346300.0,8068027000.0,6892449000.0,6494872000.0
2092.0,5812852000.0,7838987300.0,7427714600.0,6383577600.0,7720723000.0,9038890000.0,6631495700.0,7297008000.0,8016503000.0,6823832000.0,6427014700.0
2093.0,5758181400.0,7794549000.0,7400606700.0,6331336700.0,7674354000.0,9032372000.0,6582422500.0,7239577600.0,8003448000.0,6790519300.0,6394379300.0
2094.0,5665792000.0,7786052000.0,7357130000.0,6265499600.0,7632481000.0,9017565000.0,6524868600.0,7199628300.0,7979817500.0,6717919000.0,6352153000.0
2095.0,5622850000.0,7761103400.0,7298062000.0,6211129000.0,7606571500.0,8993800000.0,6471976000.0,7150879000.0,7939497500.0,6671978000.0,6292702700.0
2096.0,5570848300.0,7728110600.0,7281801000.0,6133155000.0,7571466000.0,8979460000.0,6401978000.0,7136385500.0,7912423000.0,6593014000.0,6240145000.0
2097.0,5515926000.0,7704015000.0,7233323500.0,6078911500.0,7553700400.0,8998787000.0,6350956000.0,7098444300.0,7903916000.0,6570240500.0,6196873000.0
2098.0,5467943400.0,7677830700.0,7193245000.0,6034957000.0,7523926000.0,8979692000.0,6299000000.0,7075975000.0,7877757000.0,6542737400.0,6166748700.0
2099.0,5407722500.0,7661056000.0,7142748700.0,5985883000.0,7486246400.0,8964222000.0,6238514000.0,7005284000.0,7864152000.0,6471017500.0,6092441000.0
2100.0,5356320300.0,7607357000.0,7109352000.0,5917218000.0,7466921500.0,8989218000.0,6193259000.0,6977149400.0,7822170000.0,6438632000.0,6025341400.0
