time,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44215440000000.0,44139120000000.0,44259450000000.0,44248594000000.0,44271588000000.0,44303447000000.0
2022.0,44157800000000.0,44035775000000.0,44059780000000.0,44241636000000.0,44192215000000.0,44275027000000.0
2023.0,44036165000000.0,43977680000000.0,43964250000000.0,44183558000000.0,44068300000000.0,44232564000000.0
2024.0,43889180000000.0,43863993000000.0,43903714000000.0,44087590000000.0,43927206000000.0,44147610000000.0
2025.0,43675627000000.0,43764446000000.0,43856406000000.0,44027047000000.0,43782880000000.0,44073160000000.0
2026.0,43619835000000.0,43791214000000.0,43812596000000.0,43835740000000.0,43620866000000.0,43912677000000.0
2027.0,43505870000000.0,43746326000000.0,43832507000000.0,43747107000000.0,43528440000000.0,43763430000000.0
2028.0,43454440000000.0,43558760000000.0,43685425000000.0,43654526000000.0,43283170000000.0,43588084000000.0
2029.0,43357260000000.0,43457213000000.0,43597034000000.0,43612390000000.0,43162224000000.0,43564750000000.0
2030.0,43274492000000.0,43421280000000.0,43563753000000.0,43490663000000.0,43123570000000.0,43572790000000.0
2031.0,43090274000000.0,43253320000000.0,43539940000000.0,43457893000000.0,42913946000000.0,43532606000000.0
2032.0,42953440000000.0,43158612000000.0,43473055000000.0,43412745000000.0,42714905000000.0,43420228000000.0
2033.0,42805083000000.0,43084377000000.0,43287503000000.0,43219966000000.0,42616320000000.0,43312010000000.0
2034.0,42691210000000.0,42974240000000.0,43182030000000.0,43051110000000.0,42395463000000.0,43223850000000.0
2035.0,42497837000000.0,42889010000000.0,43014987000000.0,42905268000000.0,42327414000000.0,43114195000000.0
