time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,89502515000.0,87072990000.0,89083200000.0,87690260000.0
2022.0,88141810000.0,82634424000.0,83933400000.0,83840260000.0
2023.0,87990910000.0,81049485000.0,83118170000.0,82372130000.0
2024.0,85297320000.0,81606250000.0,78801000000.0,79567570000.0
2025.0,86872244000.0,79297000000.0,78039564000.0,76461450000.0
2026.0,84744830000.0,76726220000.0,75759985000.0,72842500000.0
2027.0,81446310000.0,75395200000.0,72920556000.0,70442950000.0
2028.0,74762830000.0,72073360000.0,71798700000.0,66543088000.0
2029.0,72461180000.0,71118954000.0,70641754000.0,63692390000.0
2030.0,71375470000.0,68570444000.0,68453480000.0,61451723000.0
2031.0,68649296000.0,68087780000.0,64830000000.0,55716913000.0
2032.0,63791590000.0,67826410000.0,65595142000.0,52847727000.0
2033.0,62547624000.0,64125900000.0,63169786000.0,48641348000.0
2034.0,61512620000.0,60277436000.0,59177040000.0,47158215000.0
2035.0,62082896000.0,55800136000.0,56920470000.0,45358050000.0
2036.0,60080992000.0,53811225000.0,53885200000.0,42722435000.0
2037.0,58080473000.0,52385624000.0,50312868000.0,38672437000.0
2038.0,55159955000.0,48997090000.0,47970726000.0,36101410000.0
2039.0,51651617000.0,46944990000.0,44941275000.0,32913353000.0
2040.0,49516470000.0,45193077000.0,43169223000.0,30482287000.0
2041.0,46881767000.0,43584970000.0,41141530000.0,27781940000.0
2042.0,43352940000.0,41841760000.0,40771396000.0,24602405000.0
2043.0,42237653000.0,39798505000.0,39787290000.0,23534483000.0
2044.0,40989040000.0,38122873000.0,38474228000.0,22486333000.0
2045.0,39292875000.0,34604765000.0,36379787000.0,21462810000.0
2046.0,37814645000.0,32165313000.0,34914144000.0,20525263000.0
2047.0,35801014000.0,30130330000.0,31571667000.0,19739564000.0
2048.0,34625987000.0,26733353000.0,31349086000.0,19027341000.0
2049.0,31708656000.0,24677110000.0,28702145000.0,17672475000.0
2050.0,30141250000.0,21894683000.0,26429790000.0,16387712000.0
2051.0,29732854000.0,20311427000.0,24451297000.0,15367929000.0
2052.0,28794230000.0,19588274000.0,22371856000.0,14505931000.0
2053.0,27346430000.0,18026838000.0,22037860000.0,14100408000.0
2054.0,26494575000.0,16746635000.0,20072800000.0,13100174000.0
2055.0,24904767000.0,16074419000.0,18686702000.0,12264966000.0
2056.0,23344595000.0,14703349000.0,17677478000.0,11548553000.0
2057.0,22161717000.0,14025518000.0,16395369000.0,10745796000.0
2058.0,20655307000.0,12979164000.0,15545588000.0,10466202000.0
2059.0,19108977000.0,12503721000.0,14706135000.0,10280106000.0
2060.0,18754355000.0,11813147000.0,13286689000.0,10052624000.0
2061.0,18778935000.0,10800414000.0,12312287000.0,9954979000.0
2062.0,18026955000.0,9935961000.0,11552734000.0,9852920000.0
2063.0,17216145000.0,9658298000.0,10466842000.0,9886881000.0
2064.0,17530649000.0,8924419000.0,9802783000.0,9845325000.0
2065.0,17341174000.0,8558057500.0,9747809000.0,9696126000.0
2066.0,17261132000.0,7859860000.0,9244234000.0,9723810000.0
2067.0,16356653000.0,7615449600.0,8593803000.0,10096787000.0
2068.0,16423956000.0,7613943000.0,8403692500.0,9693261000.0
2069.0,15704217000.0,7194008600.0,7794817500.0,9126094000.0
2070.0,16325759000.0,7192529400.0,7801293000.0,9241283000.0
2071.0,15058621000.0,6782236000.0,7822125600.0,8859859000.0
2072.0,13950555000.0,6673654000.0,7917016600.0,9222996000.0
2073.0,13585296000.0,6793043000.0,7896541700.0,9112961000.0
2074.0,13895956000.0,6644215300.0,7679416000.0,9365466000.0
2075.0,13224200000.0,6655469600.0,7611300400.0,9137372000.0
2076.0,12815817000.0,6565381000.0,7369286700.0,9141392000.0
2077.0,12576271000.0,6670715000.0,7343017000.0,9078049000.0
2078.0,12672906000.0,6672577000.0,7254498300.0,8959391000.0
2079.0,13443140000.0,6357414400.0,6877569000.0,9089224000.0
2080.0,13601480000.0,6114610700.0,6672112600.0,9229856000.0
2081.0,13768221000.0,6248555500.0,6508896000.0,9426244000.0
2082.0,13373075000.0,6059069400.0,6887891500.0,9536322000.0
2083.0,13239520000.0,5869975000.0,6995641300.0,9839894000.0
2084.0,12738245000.0,5925768700.0,7049957400.0,10078324000.0
2085.0,12174089000.0,6266230300.0,7122686000.0,10086875000.0
2086.0,12004146000.0,6085215000.0,7082026000.0,10097740000.0
2087.0,12186190000.0,6206216700.0,7149096000.0,10268893000.0
2088.0,11895364000.0,6242280000.0,6990542000.0,10157693000.0
2089.0,11327022000.0,6814076000.0,7035738000.0,10308665000.0
2090.0,11674630000.0,7074560500.0,7074891300.0,10635980000.0
