time,CAMS-CSM1-0,EC-EARTH3-VEG,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,MRI-ESM2-0,MPI-ESM1-2-HR,EC-EARTH3,INM-CM5-0,CESM2,CESM2-WACCM,CMCC-CM2-SR5,GFDL-ESM4,NORESM2-MM
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,87810090000.0,88489310000.0,87187040000.0,88251550000.0,86990580000.0,88451550000.0,84946320000.0,86435960000.0,90171605000.0,89065824000.0,87375320000.0,81466700000.0,89549324000.0,84988160000.0
2022.0,86638430000.0,86777530000.0,84824510000.0,85744490000.0,85544740000.0,82396620000.0,80225400000.0,85520420000.0,84753990000.0,84722490000.0,85979260000.0,76697220000.0,86416160000.0,82497780000.0
2023.0,83379450000.0,85890010000.0,81775256000.0,80132596000.0,80917670000.0,78590984000.0,77104020000.0,82469410000.0,80253650000.0,82228870000.0,86805040000.0,77249590000.0,84205590000.0,79758630000.0
2024.0,80085500000.0,82131440000.0,75472630000.0,76409080000.0,80374950000.0,75373715000.0,78741610000.0,78630715000.0,77324110000.0,77399155000.0,84285284000.0,78868270000.0,80308010000.0,76511896000.0
2025.0,81588410000.0,81698990000.0,73832470000.0,71484770000.0,78505240000.0,71352380000.0,77256000000.0,74452260000.0,77110830000.0,73860810000.0,80634260000.0,77349420000.0,79377736000.0,74641190000.0
2026.0,80925920000.0,78666010000.0,71363985000.0,69221030000.0,75686650000.0,66612630000.0,69841390000.0,72039040000.0,74705584000.0,68707713000.0,78507150000.0,76208130000.0,78598060000.0,71794430000.0
2027.0,82271700000.0,76844390000.0,68029063000.0,68589363000.0,71752720000.0,65151420000.0,66820060000.0,68814900000.0,72939360000.0,67492876000.0,76460425000.0,75536710000.0,74764230000.0,70879300000.0
2028.0,78194295000.0,72652650000.0,65943327000.0,67311090000.0,70188670000.0,62587576000.0,63733797000.0,66327093000.0,70144850000.0,66925570000.0,76161540000.0,74837615000.0,76779820000.0,67290337000.0
2029.0,76330476000.0,71733990000.0,63085650000.0,68812140000.0,67851810000.0,59152390000.0,61667267000.0,63489712000.0,67218790000.0,59689280000.0,73929940000.0,75132320000.0,74600910000.0,65142997000.0
2030.0,76485430000.0,67021260000.0,59392614000.0,66418393000.0,65682200000.0,56244412000.0,58840666000.0,62126674000.0,60979175000.0,60019050000.0,71200700000.0,73868250000.0,72213650000.0,61381706000.0
2031.0,74427300000.0,64480510000.0,56413405000.0,61585924000.0,61864616000.0,53418560000.0,57856283000.0,59337687000.0,56590574000.0,57055900000.0,68414677000.0,73310265000.0,69955930000.0,59839700000.0
2032.0,73586970000.0,63682822000.0,52165880000.0,60696570000.0,60540280000.0,52528120000.0,56879157000.0,56032770000.0,54801756000.0,58234544000.0,67888890000.0,70601286000.0,65904950000.0,57016357000.0
2033.0,71696640000.0,61244604000.0,48789787000.0,57676940000.0,58556793000.0,49909408000.0,51964293000.0,54340866000.0,56057606000.0,58485416000.0,64970590000.0,70343680000.0,64508810000.0,52754604000.0
2034.0,72941790000.0,59332944000.0,45439185000.0,55124894000.0,57599455000.0,48142090000.0,50746802000.0,52561043000.0,53367693000.0,58334290000.0,64107800000.0,71278010000.0,64038703000.0,52718797000.0
2035.0,71557325000.0,57532770000.0,44908370000.0,55866820000.0,56206610000.0,46324040000.0,49536025000.0,50968076000.0,49794376000.0,55066810000.0,62093260000.0,66914530000.0,61948228000.0,49479553000.0
2036.0,69309820000.0,56213640000.0,42008478000.0,52487025000.0,53885338000.0,44297010000.0,49427546000.0,48851726000.0,48676230000.0,50895254000.0,57196618000.0,63025172000.0,59477050000.0,47430177000.0
2037.0,68849080000.0,53540610000.0,38926356000.0,49495015000.0,52147704000.0,41811223000.0,49490825000.0,47642600000.0,48067740000.0,49881950000.0,55249592000.0,62866657000.0,58376300000.0,47015650000.0
2038.0,66830553000.0,51931124000.0,38113858000.0,46325910000.0,52048663000.0,40635180000.0,49910640000.0,45970694000.0,46298660000.0,47936315000.0,55297864000.0,61857923000.0,57761464000.0,45614494000.0
2039.0,64214897000.0,52150317000.0,35428168000.0,45007143000.0,49125180000.0,39514570000.0,47077642000.0,45181387000.0,43608200000.0,45870500000.0,54793030000.0,60570755000.0,57765230000.0,44676882000.0
2040.0,60356354000.0,49549566000.0,34501165000.0,42806100000.0,48143140000.0,38420685000.0,45894935000.0,42593837000.0,39629210000.0,43052306000.0,53962367000.0,56604815000.0,56022310000.0,42646643000.0
2041.0,58981552000.0,48575205000.0,33985942000.0,40371937000.0,46195835000.0,36442145000.0,43469062000.0,40271086000.0,39169864000.0,40090382000.0,51387600000.0,54889366000.0,55280566000.0,42169418000.0
