time,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134545660000.0,134826820000.0,134593470000.0,134304470000.0,134352490000.0
2022.0,135231136000.0,134352224000.0,134194905000.0,134508960000.0,134046910000.0
2023.0,134695430000.0,134280900000.0,134096355000.0,134519430000.0,133901500000.0
2024.0,134840100000.0,134640304000.0,134332490000.0,134575660000.0,133614960000.0
2025.0,134602826000.0,134229795000.0,133859200000.0,133980120000.0,133841535000.0
2026.0,134163930000.0,133957360000.0,134102730000.0,133755360000.0,133877230000.0
2027.0,134207490000.0,133934120000.0,133897200000.0,133803420000.0,133291570000.0
2028.0,133861350000.0,133924160000.0,133742060000.0,133468030000.0,133206900000.0
2029.0,134034194000.0,133694700000.0,133547850000.0,133885950000.0,133186230000.0
