time,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,NORESM2-MM,GFDL-ESM4,CESM2,FGOALS-F3-L,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM4-8
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0
