time,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,CCSM4
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13656518000000.0,13673146000000.0,13669014000000.0,13660939000000.0,13671868000000.0,13654063000000.0,13676936000000.0,13644164000000.0
2022.0,13620359000000.0,13635010000000.0,13666228000000.0,13653400000000.0,13657343000000.0,13642466000000.0,13671986000000.0,13619596000000.0
2023.0,13588066000000.0,13607389000000.0,13651810000000.0,13622307000000.0,13644371000000.0,13620293000000.0,13667597000000.0,13582938000000.0
2024.0,13581164000000.0,13587551000000.0,13622362000000.0,13590129000000.0,13648655000000.0,13617517000000.0,13651961000000.0,13550536000000.0
2025.0,13551766000000.0,13559507000000.0,13600178000000.0,13575713000000.0,13640958000000.0,13605493000000.0,13634790000000.0,13518688000000.0
2026.0,13549842000000.0,13531046000000.0,13562976000000.0,13552172000000.0,13621242000000.0,13565741000000.0,13606720000000.0,13487634000000.0
2027.0,13540855000000.0,13473870000000.0,13552921000000.0,13525324000000.0,13604358000000.0,13556062000000.0,13580360000000.0,13464880000000.0
2028.0,13540131000000.0,13435098000000.0,13557159000000.0,13481710000000.0,13599911000000.0,13549259000000.0,13537514000000.0,13439750000000.0
2029.0,13513772000000.0,13391205000000.0,13542056000000.0,13451766000000.0,13588939000000.0,13543473000000.0,13522261000000.0,13420534000000.0
2030.0,13505628000000.0,13324425000000.0,13527128000000.0,13413793000000.0,13571348000000.0,13526342000000.0,13500951000000.0,13390288000000.0
2031.0,13498991000000.0,13284085000000.0,13528582000000.0,13380136000000.0,13554107000000.0,13523786000000.0,13504861000000.0,13333151000000.0
2032.0,13503644000000.0,13231623000000.0,13506766000000.0,13362133000000.0,13532005000000.0,13509780000000.0,13491859000000.0,13292538000000.0
2033.0,13490471000000.0,13200192000000.0,13494817000000.0,13323116000000.0,13512210000000.0,13486118000000.0,13475932000000.0,13200633000000.0
2034.0,13461022000000.0,13133436000000.0,13478250000000.0,13297680000000.0,13499865000000.0,13463942000000.0,13451087000000.0,13168834000000.0
2035.0,13453874000000.0,13076953000000.0,13464223000000.0,13251740000000.0,13485445000000.0,13446481000000.0,13418367000000.0,13107720000000.0
2036.0,13444624000000.0,13020281000000.0,13439770000000.0,13211380000000.0,13447343000000.0,13422861000000.0,13393655000000.0,13058187000000.0
2037.0,13428886000000.0,12981424000000.0,13413009000000.0,13179086000000.0,13411590000000.0,13406235000000.0,13359794000000.0,13019673000000.0
2038.0,13413207000000.0,12943570000000.0,13371727000000.0,13143720000000.0,13399191000000.0,13404291000000.0,13333550000000.0,12987845000000.0
2039.0,13402999000000.0,12896983000000.0,13340275000000.0,13088078000000.0,13391516000000.0,13411463000000.0,13296722000000.0,12958175000000.0
2040.0,13400481000000.0,12843193000000.0,13333351000000.0,13037106000000.0,13393916000000.0,13418946000000.0,13281104000000.0,12920690000000.0
2041.0,13392168000000.0,12800912000000.0,13304396000000.0,13007431000000.0,13366184000000.0,13397783000000.0,13279083000000.0,12894335000000.0
2042.0,13369558000000.0,12769669000000.0,13294865000000.0,12958624000000.0,13335909000000.0,13392186000000.0,13258729000000.0,12864754000000.0
2043.0,13346784000000.0,12718882000000.0,13281211000000.0,12908491000000.0,13310246000000.0,13361667000000.0,13237365000000.0,12849347000000.0
2044.0,13330244000000.0,12661126000000.0,13269599000000.0,12848665000000.0,13299395000000.0,13348080000000.0,13203084000000.0,12808957000000.0
2045.0,13311038000000.0,12611754000000.0,13262954000000.0,12781385000000.0,13266709000000.0,13346276000000.0,13182557000000.0,12762997000000.0
2046.0,13252727000000.0,12554759000000.0,13232168000000.0,12726502000000.0,13246173000000.0,13325138000000.0,13157930000000.0,12726538000000.0
2047.0,13218690000000.0,12495104000000.0,13206953000000.0,12680433000000.0,13210234000000.0,13314307000000.0,13139183000000.0,12679804000000.0
2048.0,13193912000000.0,12400532000000.0,13173471000000.0,12638501000000.0,13179454000000.0,13284411000000.0,13116088000000.0,12649030000000.0
2049.0,13177285000000.0,12310061000000.0,13139836000000.0,12592873000000.0,13147246000000.0,13260131000000.0,13105383000000.0,12598834000000.0
2050.0,13167706000000.0,12227629000000.0,13079452000000.0,12548015000000.0,13109411000000.0,13212035000000.0,13038512000000.0,12563394000000.0
2051.0,13158449000000.0,12161279000000.0,13035265000000.0,12515114000000.0,13102890000000.0,13205244000000.0,13016524000000.0,12507256000000.0
2052.0,13142400000000.0,12105890000000.0,12972671000000.0,12453504000000.0,13070698000000.0,13191140000000.0,12978917000000.0,12476004000000.0
2053.0,13109129000000.0,12048253000000.0,12933156000000.0,12403971000000.0,13049240000000.0,13161723000000.0,12952825000000.0,12432938000000.0
2054.0,13100894000000.0,12007873000000.0,12890388000000.0,12354211000000.0,13015945000000.0,13136567000000.0,12921798000000.0,12392605000000.0
2055.0,13070454000000.0,11957209000000.0,12850243000000.0,12311825000000.0,12990647000000.0,13111005000000.0,12916845000000.0,12342811000000.0
2056.0,13047226000000.0,11903810000000.0,12806246000000.0,12283077000000.0,12949348000000.0,13095125000000.0,12873019000000.0,12294985000000.0
2057.0,13028460000000.0,11837403000000.0,12766108000000.0,12254999000000.0,12926130000000.0,13075269000000.0,12832739000000.0,12248188000000.0
2058.0,13002550000000.0,11778749000000.0,12735786000000.0,12217788000000.0,12927615000000.0,13077330000000.0,12804865000000.0,12217072000000.0
2059.0,12958262000000.0,11737378000000.0,12704597000000.0,12157728000000.0,12910467000000.0,13059000000000.0,12766840000000.0,12190999000000.0
2060.0,12902062000000.0,11688014000000.0,12679787000000.0,12127886000000.0,12879896000000.0,13014365000000.0,12735162000000.0,12172309000000.0
2061.0,12876428000000.0,11622644000000.0,12632659000000.0,12074783000000.0,12873353000000.0,12991483000000.0,12707422000000.0,12132597000000.0
2062.0,12841675000000.0,11533654000000.0,12596752000000.0,12016360000000.0,12841719000000.0,12958665000000.0,12676221000000.0,12091474000000.0
2063.0,12751289000000.0,11424611000000.0,12569914000000.0,11940697000000.0,12808948000000.0,12936295000000.0,12627473000000.0,12071692000000.0
2064.0,12706704000000.0,11316150000000.0,12547757000000.0,11873578000000.0,12796608000000.0,12928446000000.0,12599313000000.0,12023008000000.0
2065.0,12649361000000.0,11191477000000.0,12523868000000.0,11812708000000.0,12769592000000.0,12895251000000.0,12585001000000.0,12009006000000.0
2066.0,12596925000000.0,11116987000000.0,12495465000000.0,11749544000000.0,12758059000000.0,12873443000000.0,12549851000000.0,11978900000000.0
2067.0,12491748000000.0,11032651000000.0,12449387000000.0,11675288000000.0,12740991000000.0,12846918000000.0,12523212000000.0,11971263000000.0
2068.0,12425194000000.0,10954271000000.0,12392054000000.0,11611178000000.0,12707170000000.0,12809700000000.0,12483228000000.0,11930076000000.0
2069.0,12370120000000.0,10864115000000.0,12350118000000.0,11550794000000.0,12686519000000.0,12756482000000.0,12441470000000.0,11861397000000.0
2070.0,12299087000000.0,10771508000000.0,12279386000000.0,11468990000000.0,12656230000000.0,12738632000000.0,12393205000000.0,11793978000000.0
2071.0,12154709000000.0,10662288000000.0,12227992000000.0,11384079000000.0,12625677000000.0,12715379000000.0,12358909000000.0,11753985000000.0
2072.0,12087111000000.0,10556335000000.0,12190248000000.0,11288713000000.0,12615225000000.0,12685912000000.0,12318032000000.0,11709050000000.0
2073.0,12014164000000.0,10466086000000.0,12138862000000.0,11209871000000.0,12601437000000.0,12653335000000.0,12272688000000.0,11654176000000.0
2074.0,11916078000000.0,10354228000000.0,12074936000000.0,11138543000000.0,12581316000000.0,12635163000000.0,12219239000000.0,11635702000000.0
2075.0,11827266000000.0,10228734000000.0,12032007000000.0,11054083000000.0,12538062000000.0,12592921000000.0,12185729000000.0,11599700000000.0
2076.0,11719589000000.0,10103279000000.0,11986940000000.0,10962748000000.0,12514816000000.0,12567651000000.0,12160011000000.0,11558469000000.0
2077.0,11639445000000.0,9970876000000.0,11939463000000.0,10849154000000.0,12492765000000.0,12513989000000.0,12131886000000.0,11506373000000.0
2078.0,11566236000000.0,9861763000000.0,11893596000000.0,10756587000000.0,12475306000000.0,12500402000000.0,12079101000000.0,11424387000000.0
2079.0,11511247000000.0,9748649000000.0,11847194000000.0,10670397000000.0,12433291000000.0,12488863000000.0,12066642000000.0,11358390000000.0
2080.0,11457095000000.0,9637352000000.0,11782559000000.0,10569962000000.0,12411906000000.0,12469005000000.0,12029486000000.0,11269921000000.0
2081.0,11413084000000.0,9544348000000.0,11720514000000.0,10483760000000.0,12398854000000.0,12417891000000.0,11958939000000.0,11211219000000.0
2082.0,11346934000000.0,9439081000000.0,11650212000000.0,10372623000000.0,12361745000000.0,12386268000000.0,11928961000000.0,11131167000000.0
2083.0,11312580000000.0,9330662000000.0,11584886000000.0,10272598000000.0,12334183000000.0,12369247000000.0,11856981000000.0,11041590000000.0
2084.0,11266258000000.0,9186985000000.0,11542865000000.0,10151260000000.0,12315401000000.0,12330714000000.0,11813549000000.0,10994140000000.0
2085.0,11213487000000.0,9038121000000.0,11478753000000.0,10031839000000.0,12304056000000.0,12277870000000.0,11781926000000.0,10959476000000.0
2086.0,11144845000000.0,8903530000000.0,11425217000000.0,9937736000000.0,12257498000000.0,12257931000000.0,11733322000000.0,10902172000000.0
2087.0,11061366000000.0,8766994500000.0,11346240000000.0,9837028000000.0,12211964000000.0,12189416000000.0,11664254000000.0,10866261000000.0
