time,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,CCSM4,GFDL-CM3,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,NORESM1-M
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13661895000000.0,13679584000000.0,13670933000000.0,13665741000000.0,13659445000000.0,13675585000000.0,13656006000000.0,13659994000000.0,13672100000000.0,13682117000000.0
2022.0,13658217000000.0,13660170000000.0,13648108000000.0,13633510000000.0,13638498000000.0,13647284000000.0,13639729000000.0,13645574000000.0,13650268000000.0,13659010000000.0
2023.0,13620474000000.0,13643010000000.0,13618810000000.0,13619797000000.0,13604010000000.0,13630735000000.0,13638124000000.0,13619295000000.0,13615277000000.0,13611502000000.0
2024.0,13601099000000.0,13649566000000.0,13587994000000.0,13590956000000.0,13572974000000.0,13591004000000.0,13610961000000.0,13610802000000.0,13597481000000.0,13564620000000.0
2025.0,13580390000000.0,13624625000000.0,13584391000000.0,13560252000000.0,13540767000000.0,13583179000000.0,13580200000000.0,13595158000000.0,13582930000000.0,13545481000000.0
2026.0,13557629000000.0,13617505000000.0,13547719000000.0,13531793000000.0,13507817000000.0,13541853000000.0,13586986000000.0,13554861000000.0,13537377000000.0,13510840000000.0
2027.0,13540177000000.0,13594987000000.0,13525967000000.0,13518118000000.0,13472823000000.0,13525111000000.0,13578168000000.0,13538015000000.0,13519990000000.0,13464537000000.0
2028.0,13523689000000.0,13582765000000.0,13512708000000.0,13499891000000.0,13429545000000.0,13479561000000.0,13550813000000.0,13510233000000.0,13496895000000.0,13434120000000.0
2029.0,13493414000000.0,13562012000000.0,13502914000000.0,13479910000000.0,13368165000000.0,13456457000000.0,13542965000000.0,13462251000000.0,13466769000000.0,13406783000000.0
2030.0,13482702000000.0,13554542000000.0,13459366000000.0,13459790000000.0,13310200000000.0,13441580000000.0,13536798000000.0,13409982000000.0,13442587000000.0,13383147000000.0
2031.0,13456230000000.0,13529002000000.0,13412977000000.0,13427174000000.0,13247707000000.0,13416574000000.0,13512607000000.0,13353696000000.0,13413605000000.0,13354864000000.0
2032.0,13433775000000.0,13505959000000.0,13372536000000.0,13399871000000.0,13186693000000.0,13357620000000.0,13472557000000.0,13300965000000.0,13382440000000.0,13345046000000.0
2033.0,13415474000000.0,13492667000000.0,13349975000000.0,13383091000000.0,13141567000000.0,13308278000000.0,13464134000000.0,13246561000000.0,13346271000000.0,13318210000000.0
2034.0,13400690000000.0,13478490000000.0,13326630000000.0,13370816000000.0,13082126000000.0,13258008000000.0,13442405000000.0,13226356000000.0,13322284000000.0,13254165000000.0
2035.0,13390764000000.0,13449236000000.0,13271068000000.0,13356196000000.0,13042281000000.0,13203754000000.0,13417217000000.0,13157076000000.0,13302871000000.0,13216390000000.0
2036.0,13364810000000.0,13404247000000.0,13236125000000.0,13319567000000.0,12986428000000.0,13138369000000.0,13402385000000.0,13083229000000.0,13271773000000.0,13183190000000.0
2037.0,13335371000000.0,13378059000000.0,13195311000000.0,13301469000000.0,12924680000000.0,13110032000000.0,13389191000000.0,13016965000000.0,13231412000000.0,13122565000000.0
2038.0,13314236000000.0,13372200000000.0,13152956000000.0,13282868000000.0,12889019000000.0,13018198000000.0,13361124000000.0,12912021000000.0,13208201000000.0,13037032000000.0
