time,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR
2030.0,849466000.0,962859970.0,904564400.0,1031891840.0,959426370.0
2031.0,827006500.0,943969900.0,865570200.0,1119065000.0,961531260.0
2032.0,798925060.0,923054660.0,832226200.0,1059728260.0,927796740.0
2033.0,836837300.0,909446140.0,800560300.0,1014163460.0,904287200.0
2034.0,762337400.0,882582100.0,765472600.0,990631940.0,890054100.0
2035.0,734571970.0,858604160.0,735796160.0,970193540.0,875165000.0
2036.0,700015400.0,827904200.0,711580100.0,963491650.0,843786200.0
2037.0,680025860.0,802335170.0,670822340.0,966300500.0,820883200.0
2038.0,679020400.0,768393700.0,636820900.0,1010122000.0,794189800.0
2039.0,646308860.0,747747840.0,608504200.0,1018905300.0,770918460.0
2040.0,633211000.0,726459460.0,580494900.0,981593500.0,750711000.0
2041.0,610178750.0,716041000.0,544733000.0,952676540.0,731373630.0
2042.0,596263740.0,700695500.0,514494980.0,998658240.0,705216060.0
2043.0,578901440.0,685231040.0,494794660.0,940974850.0,669117600.0
2044.0,563199500.0,669075840.0,469192830.0,1008440600.0,655982460.0
2045.0,544162500.0,657516160.0,449938370.0,950999200.0,635215170.0
2046.0,526684800.0,625140350.0,423756960.0,926411600.0,614086460.0
2047.0,523640900.0,603909500.0,391559360.0,923711940.0,583373300.0
2048.0,508591260.0,584290900.0,360687900.0,913779200.0,559114100.0
2049.0,491023940.0,574139840.0,341260200.0,900441900.0,526288300.0
2050.0,479749820.0,556880500.0,319797570.0,887047230.0,499155500.0
2051.0,481160800.0,534917540.0,298488540.0,867345600.0,477321380.0
2052.0,466822560.0,518696770.0,282748400.0,862032800.0,456148000.0
2053.0,462451200.0,499385660.0,273474780.0,850407400.0,441183680.0
2054.0,447484640.0,483692540.0,253346480.0,835949000.0,420127500.0
2055.0,439017440.0,478799200.0,230262350.0,822487600.0,398733500.0
2056.0,431227800.0,459999900.0,220367170.0,809271740.0,371701470.0
2057.0,422301300.0,440712800.0,203666960.0,792278600.0,351480800.0
2058.0,414377020.0,427406460.0,184216200.0,761484200.0,341527000.0
2059.0,410490780.0,408915040.0,173981300.0,741649600.0,320990080.0
2060.0,398821440.0,399102620.0,162984910.0,689951500.0,308993440.0
2061.0,390371230.0,388918560.0,147221060.0,673663200.0,294761200.0
2062.0,378077540.0,378701220.0,144969870.0,644226100.0,278762620.0
2063.0,367595520.0,365867360.0,127059560.0,629344830.0,267119950.0
2064.0,364164700.0,361287520.0,120751784.0,593241500.0,264010030.0
2065.0,357941570.0,351628960.0,114767420.0,567115140.0,242202860.0
2066.0,349935940.0,334756900.0,104210140.0,546518700.0,227285380.0
2067.0,336190000.0,314431870.0,95215920.0,516773630.0,215457000.0
2068.0,318361570.0,300121630.0,87449496.0,488737150.0,201790220.0
2069.0,307884830.0,281333470.0,75608250.0,460813980.0,191669260.0
2070.0,292666270.0,293800960.0,68204610.0,438844860.0,179981180.0
2071.0,280296160.0,269567940.0,59655764.0,411674500.0,169233550.0
2072.0,273349570.0,256630510.0,55109630.0,395758460.0,164261970.0
2073.0,260294300.0,247088510.0,51844044.0,380118080.0,155865420.0
2074.0,245258700.0,237974080.0,44565280.0,362621340.0,150752580.0
2075.0,232510050.0,226251360.0,42524570.0,346414000.0,142944080.0
2076.0,224132850.0,222137010.0,38699456.0,324650080.0,135407980.0
2077.0,213777460.0,211124500.0,36880570.0,309744480.0,126311520.0
2078.0,205957310.0,199213380.0,32411782.0,294501920.0,120450696.0
2079.0,197231220.0,195522160.0,30727546.0,279061900.0,113566910.0
2080.0,183069150.0,188661900.0,29986746.0,267086260.0,105129416.0
2081.0,176952820.0,182613170.0,27914530.0,251813250.0,96826640.0
2082.0,173058750.0,179486900.0,26569904.0,238740690.0,84377360.0
2083.0,165154420.0,175794020.0,24411974.0,230540420.0,80802380.0
2084.0,156851700.0,167220820.0,22791218.0,218044060.0,75359450.0
2085.0,152533800.0,163805520.0,21351590.0,202659260.0,70581050.0
2086.0,149033090.0,159072380.0,20222876.0,194051300.0,67752130.0
2087.0,141378050.0,152457820.0,19446372.0,178609040.0,61208930.0
2088.0,133938530.0,147119300.0,18453570.0,170348200.0,56297950.0
2089.0,131230056.0,144087600.0,17803940.0,167117440.0,50684590.0
2090.0,123646184.0,138393180.0,16664127.0,160352240.0,47355264.0
2091.0,119832560.0,135319740.0,15540106.0,152708590.0,43937972.0
2092.0,110270380.0,131708560.0,14173347.0,144310880.0,40075220.0
2093.0,107903370.0,124754600.0,12407782.0,135904080.0,36559100.0
2094.0,104211420.0,127584744.0,11635742.0,129500670.0,29674724.0
2095.0,100156150.0,118048010.0,10595124.0,123891464.0,28043984.0
2096.0,102269170.0,110435500.0,9377227.0,118399890.0,26354356.0
2097.0,95688060.0,106419704.0,7598199.0,113733896.0,23279006.0
2098.0,95662820.0,104083890.0,7441683.5,108947560.0,21388668.0
2099.0,91834856.0,101102440.0,6099626.0,105872560.0,18020764.0
2100.0,89949050.0,97394300.0,5276476.5,102710820.0,15424723.0
