time,CESM1-CAM5,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0
2001.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0
2002.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0
2003.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0
2004.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0
2005.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0
2006.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0
2007.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0
2008.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0
2009.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0
2010.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0
2011.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0
2012.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0
2013.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0
2014.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0
2015.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
2021.0,2059077000.0,2059058600.0,2052840300.0,2051215700.0
2022.0,2031652900.0,2021219300.0,2006976500.0,2012887700.0
2023.0,2006132200.0,1991079700.0,1966218400.0,1991761700.0
2024.0,1985699700.0,1947027800.0,1933308800.0,1983116000.0
2025.0,1948271200.0,1912509000.0,1889274100.0,1964254500.0
2026.0,1910497700.0,1886422400.0,1843777700.0,1935783700.0
2027.0,1891406300.0,1862336000.0,1808953500.0,1908271900.0
2028.0,1873351600.0,1836593800.0,1776617000.0,1891834900.0
2029.0,1854741800.0,1800283000.0,1746865500.0,1868002700.0
2030.0,1818441100.0,1769377500.0,1713698700.0,1844070500.0
2031.0,1764822700.0,1736696000.0,1691093600.0,1827196200.0
2032.0,1725882900.0,1706130800.0,1668311700.0,1807256300.0
2033.0,1697755400.0,1674896600.0,1644467500.0,1766638500.0
2034.0,1643320600.0,1634177200.0,1616277200.0,1698086500.0
2035.0,1587600400.0,1605756500.0,1601981300.0,1647067900.0
2036.0,1536455200.0,1579313500.0,1562172200.0,1592377000.0
2037.0,1483342600.0,1537577700.0,1521025800.0,1514869400.0
2038.0,1411882400.0,1497593600.0,1475794300.0,1434048000.0
2039.0,1365624200.0,1455254100.0,1421724800.0,1370160900.0
2040.0,1331304600.0,1424687700.0,1383463400.0,1301093400.0
2041.0,1297893900.0,1378699800.0,1319836000.0,1241486500.0
2042.0,1264827300.0,1357371400.0,1223786100.0,1245706600.0
2043.0,1237150600.0,1310546700.0,1139592000.0,1213114400.0
2044.0,1202501200.0,1253552600.0,1058531500.0,1155171300.0
2045.0,1156677100.0,1201665400.0,992146600.0,1099126000.0
2046.0,1132874900.0,1148680400.0,923919600.0,1067372100.0
2047.0,1101424500.0,1139083500.0,892536200.0,1036956860.0
2048.0,1048247740.0,1115381400.0,863033400.0,1015284700.0
2049.0,1017680200.0,1085336600.0,818236860.0,994011800.0
2050.0,993392830.0,1068098700.0,770355140.0,967099840.0
2051.0,955073540.0,1047546200.0,729057400.0,938380800.0
2052.0,908463400.0,1026759900.0,694600450.0,899656960.0
2053.0,882556350.0,995610200.0,665299100.0,853793700.0
2054.0,852780800.0,975855800.0,626963260.0,823273150.0
2055.0,833057600.0,964510900.0,577977860.0,786885100.0
2056.0,802842400.0,948825900.0,519524830.0,764163400.0
2057.0,788931140.0,933105150.0,491328830.0,749136260.0
2058.0,770616770.0,918209150.0,454827680.0,743075200.0
2059.0,755099800.0,906357200.0,426403420.0,718465860.0
2060.0,736203600.0,899360450.0,396187100.0,690933400.0
2061.0,716407200.0,880516350.0,368300600.0,680602300.0
2062.0,703926700.0,860568500.0,350581600.0,670757400.0
2063.0,698632200.0,846569500.0,331609470.0,653450940.0
2064.0,688174850.0,832158200.0,323922050.0,634941900.0
2065.0,677351400.0,819363200.0,317681500.0,622722700.0
2066.0,668556400.0,805767900.0,314786620.0,616845100.0
2067.0,656799360.0,794137540.0,302119840.0,608347460.0
2068.0,642455000.0,775739900.0,293840480.0,627841540.0
2069.0,628875140.0,778250240.0,286670340.0,606162400.0
2070.0,606454800.0,763739300.0,277502430.0,591940300.0
2071.0,579671940.0,758155700.0,267711360.0,582461250.0
2072.0,569666800.0,747353100.0,271478270.0,624936100.0
2073.0,561835100.0,739900500.0,258250190.0,618282800.0
2074.0,535176480.0,732475650.0,252627540.0,591522800.0
2075.0,522105000.0,720685440.0,249923340.0,576166140.0
2076.0,525340540.0,714883600.0,244853520.0,569476030.0
2077.0,520053820.0,712645440.0,237924500.0,563938800.0
2078.0,504218100.0,707220860.0,234700830.0,572335550.0
2079.0,495525700.0,705300740.0,228182850.0,559323260.0
2080.0,497802800.0,696603140.0,222263410.0,552190500.0
2081.0,491439420.0,692080100.0,217649890.0,541631300.0
2082.0,479735840.0,685702800.0,219663360.0,527652400.0
2083.0,470801380.0,686982140.0,206861220.0,523501540.0
2084.0,462764060.0,682514500.0,206017660.0,538063360.0
2085.0,459859970.0,671140200.0,204063250.0,516659200.0
2086.0,453616350.0,665251800.0,199124780.0,507530560.0
2087.0,446014850.0,671127400.0,202006830.0,493214430.0
2088.0,442158080.0,688612100.0,198377120.0,484207650.0
2089.0,438293700.0,676402240.0,193966690.0,477969280.0
2090.0,429205730.0,663972030.0,191285550.0,476050880.0
2091.0,418471070.0,655929700.0,187475570.0,467151600.0
2092.0,414641440.0,646990400.0,184175330.0,466812260.0
2093.0,405399520.0,642162000.0,181105650.0,489024260.0
2094.0,397168220.0,638189440.0,180209570.0,481998050.0
2095.0,393034980.0,633359200.0,180886370.0,478792260.0
2096.0,386911100.0,623615550.0,177228480.0,477554000.0
