time,TAIESM1,MIROC6,CESM2-WACCM,CANESM5,MRI-ESM2-0,KACE-1-0-G,IPSL-CM6A-LR,GFDL-ESM4,CNRM-CM6-1,CNRM-ESM2-1,UKESM1-0-LL,MPI-ESM1-2-HR,EC-EARTH3
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3430261000000.0,3435368000000.0,3438249800000.0,3409805600000.0,3418592400000.0,3481638300000.0,3431419000000.0,3439987300000.0,3442481000000.0,3437543300000.0,3421549000000.0,3456524600000.0,3405642200000.0
2022.0,3416746400000.0,3412808000000.0,3430290300000.0,3357430000000.0,3378720300000.0,3516062000000.0,3413811700000.0,3428861300000.0,3426091000000.0,3408933000000.0,3401697500000.0,3450867800000.0,3352131800000.0
2023.0,3409408000000.0,3408893800000.0,3422663000000.0,3321916300000.0,3339412000000.0,3545357400000.0,3399526400000.0,3416540000000.0,3417582000000.0,3389004000000.0,3379164000000.0,3434551000000.0,3299428500000.0
2024.0,3400504000000.0,3397013700000.0,3413384000000.0,3279985000000.0,3320759700000.0,3562236000000.0,3387445000000.0,3403830800000.0,3403160500000.0,3376169000000.0,3339498000000.0,3429300700000.0,3245889800000.0
2025.0,3382422300000.0,3384855500000.0,3395380300000.0,3231986200000.0,3313101400000.0,3591534800000.0,3368561100000.0,3384474600000.0,3391114200000.0,3362535000000.0,3309893600000.0,3402592200000.0,3183572400000.0
2026.0,3367155800000.0,3380860700000.0,3389746600000.0,3194050000000.0,3289047600000.0,3624838000000.0,3355444200000.0,3371124400000.0,3379999800000.0,3345688600000.0,3280731000000.0,3387989200000.0,3113000400000.0
2027.0,3344466200000.0,3365641000000.0,3384743600000.0,3142818000000.0,3261780200000.0,3644868000000.0,3348172400000.0,3370746400000.0,3371326000000.0,3326962300000.0,3252241000000.0,3381990800000.0,3056993300000.0
2028.0,3328684300000.0,3344077200000.0,3375423300000.0,3090720000000.0,3233388400000.0,3672541200000.0,3336837000000.0,3347191000000.0,3356439000000.0,3309785000000.0,3217937000000.0,3364081600000.0,3006389800000.0
2029.0,3315634800000.0,3330582800000.0,3359472000000.0,3042064200000.0,3191934300000.0,3698745100000.0,3307950000000.0,3342099000000.0,3348610700000.0,3303539000000.0,3185277700000.0,3350596700000.0,2962259700000.0
2030.0,3301476700000.0,3313779000000.0,3355777700000.0,2983045000000.0,3161505400000.0,3711964000000.0,3290935600000.0,3331915800000.0,3343385600000.0,3288762400000.0,3154357000000.0,3333821800000.0,2920170000000.0
2031.0,3287926000000.0,3306309300000.0,3333193000000.0,2928161600000.0,3134506400000.0,3739291700000.0,3284855200000.0,3315109000000.0,3342621200000.0,3274629400000.0,3115787000000.0,3322373000000.0,2869561400000.0
2032.0,3279476000000.0,3301013700000.0,3320616600000.0,2861249000000.0,3113612500000.0,3760710000000.0,3262873000000.0,3300718500000.0,3339337000000.0,3264502600000.0,3068708800000.0,3308349000000.0,2825868800000.0
2033.0,3265952500000.0,3290756300000.0,3324690300000.0,2813153500000.0,3094741300000.0,3775950200000.0,3254783300000.0,3292504300000.0,3330825500000.0,3248791000000.0,3018949100000.0,3299691000000.0,2777907500000.0
2034.0,3236210000000.0,3275656000000.0,3308947200000.0,2759886400000.0,3057036300000.0,3803178600000.0,3233123400000.0,3276866800000.0,3316926400000.0,3243425700000.0,2965955000000.0,3290987000000.0,2718339200000.0
2035.0,3205914700000.0,3260975200000.0,3294583300000.0,2697110000000.0,3024208300000.0,3821642700000.0,3225096800000.0,3264789300000.0,3302619300000.0,3232271400000.0,2915397300000.0,3286471000000.0,2656220700000.0
2036.0,3189895300000.0,3248471400000.0,3275844500000.0,2645040800000.0,2992994000000.0,3831929500000.0,3206235600000.0,3256600800000.0,3293924300000.0,3217827300000.0,2884823400000.0,3271411000000.0,2609675800000.0
2037.0,3175682700000.0,3225210600000.0,3264932500000.0,2610945900000.0,2959559400000.0,3857831400000.0,3190264000000.0,3249197500000.0,3283641400000.0,3201221300000.0,2847366700000.0,3254440200000.0,2560724600000.0
2038.0,3148292300000.0,3209864200000.0,3243186000000.0,2564947700000.0,2939584200000.0,3886915000000.0,3172358200000.0,3238297600000.0,3287560700000.0,3187665300000.0,2796471200000.0,3239443200000.0,2508879000000.0
2039.0,3114899300000.0,3192893700000.0,3234383800000.0,2513466300000.0,2908573100000.0,3897135000000.0,3157969300000.0,3222265400000.0,3285941200000.0,3178603200000.0,2745826000000.0,3228289500000.0,2457572700000.0
2040.0,3073058000000.0,3166551400000.0,3220866300000.0,2463822200000.0,2872712400000.0,3911805000000.0,3138777500000.0,3220091700000.0,3277183300000.0,3168382000000.0,2693463000000.0,3205978400000.0,2387401200000.0
2041.0,3035314000000.0,3154698800000.0,3188493000000.0,2416781800000.0,2843232000000.0,3941895200000.0,3116681700000.0,3208275300000.0,3273819200000.0,3153049000000.0,2661331500000.0,3195938000000.0,2333581800000.0
2042.0,3009400500000.0,3132653800000.0,3165408200000.0,2369105700000.0,2810046000000.0,3956108200000.0,3095674000000.0,3193528600000.0,3262754600000.0,3142989400000.0,2626343100000.0,3189508100000.0,2280882700000.0
2043.0,2987240700000.0,3122276300000.0,3139748800000.0,2324408000000.0,2768304900000.0,3980546000000.0,3074215400000.0,3180540700000.0,3259066000000.0,3120306000000.0,2550452000000.0,3179997600000.0,2222713200000.0
2044.0,2960902000000.0,3089915400000.0,3132678700000.0,2285182600000.0,2736445700000.0,4009756700000.0,3055443800000.0,3169327300000.0,3241503400000.0,3107611500000.0,2499239000000.0,3173281400000.0,2154746600000.0
2045.0,2930639000000.0,3069302000000.0,3116510500000.0,2235583700000.0,2714984800000.0,4033817600000.0,3019746300000.0,3149683800000.0,3223555400000.0,3099440400000.0,2441768000000.0,3154243200000.0,2094813300000.0
2046.0,2903409200000.0,3039956600000.0,3102022800000.0,2183548200000.0,2693335400000.0,4051436000000.0,2988280600000.0,3128156000000.0,3204258500000.0,3092211300000.0,2415577300000.0,3142859000000.0,2047074400000.0
2047.0,2882229800000.0,3017149800000.0,3071636400000.0,2118846000000.0,2662624700000.0,4072445600000.0,2950952000000.0,3100547700000.0,3196854000000.0,3083888500000.0,2368276300000.0,3125989000000.0,1995024400000.0
2048.0,2859850500000.0,3000182200000.0,3039705700000.0,2074384700000.0,2625595500000.0,4089573300000.0,2921949300000.0,3081799700000.0,3185284700000.0,3071584500000.0,2304198800000.0,3107643700000.0,1940333100000.0
2049.0,2819015300000.0,2984968700000.0,3008674400000.0,2014584200000.0,2596383200000.0,4117907000000.0,2905287200000.0,3065463200000.0,3168755000000.0,3052930300000.0,2248505300000.0,3094499800000.0,1884425600000.0
2050.0,2782602500000.0,2973019400000.0,2986767500000.0,1942676000000.0,2565504000000.0,4127819800000.0,2883368500000.0,3038640600000.0,3163274600000.0,3045917200000.0,2202080600000.0,3081279000000.0,1827803000000.0
2051.0,2751772500000.0,2955105800000.0,2969792200000.0,1886472900000.0,2545616400000.0,4152279000000.0,2851536000000.0,3023346900000.0,3166584700000.0,3039942000000.0,2156265200000.0,3065346000000.0,1781278700000.0
2052.0,2715693400000.0,2927273200000.0,2948601200000.0,1830752000000.0,2525743300000.0,4178414400000.0,2825088000000.0,3006131600000.0,3148605300000.0,3032046000000.0,2102362800000.0,3051962800000.0,1734662200000.0
2053.0,2671954400000.0,2898224000000.0,2928050700000.0,1765543100000.0,2501061600000.0,4204510000000.0,2802037000000.0,2983961600000.0,3149746400000.0,3029977300000.0,2042064900000.0,3039385400000.0,1686791000000.0
2054.0,2639733700000.0,2885157400000.0,2911550300000.0,1712603400000.0,2472358700000.0,4232899000000.0,2774109000000.0,2953975400000.0,3140983500000.0,3013428400000.0,1994477700000.0,3021908500000.0,1625058000000.0
2055.0,2601218200000.0,2860415500000.0,2899416000000.0,1646999100000.0,2444931000000.0,4264317200000.0,2737551000000.0,2922920300000.0,3121011500000.0,3005272600000.0,1953751400000.0,3004035000000.0,1578028000000.0
2056.0,2567412000000.0,2835358700000.0,2881316500000.0,1606213000000.0,2417426400000.0,4279698200000.0,2704846600000.0,2904536000000.0,3103731000000.0,2989016000000.0,1903358500000.0,2991706900000.0,1532970100000.0
2057.0,2539833800000.0,2814339700000.0,2867477600000.0,1542006900000.0,2383724200000.0,4294785000000.0,2692726400000.0,2886750200000.0,3107260500000.0,2976210000000.0,1855746300000.0,2977488700000.0,1481814200000.0
2058.0,2501068000000.0,2799019800000.0,2852628200000.0,1480485100000.0,2362182700000.0,4319298200000.0,2664723400000.0,2860740000000.0,3097687200000.0,2968172400000.0,1808728200000.0,2958566000000.0,1433004700000.0
2059.0,2469093200000.0,2778875000000.0,2833614000000.0,1415778700000.0,2332901000000.0,4337967000000.0,2647548000000.0,2836207500000.0,3080617200000.0,2950748400000.0,1766501500000.0,2936049800000.0,1391792400000.0
2060.0,2433570800000.0,2751040800000.0,2821859000000.0,1355208700000.0,2318731300000.0,4365913200000.0,2629328700000.0,2806560300000.0,3074704300000.0,2933836500000.0,1721943700000.0,2914645400000.0,1358239800000.0
2061.0,2411943400000.0,2737859700000.0,2801214700000.0,1300198300000.0,2291423800000.0,4379576400000.0,2598424500000.0,2773775500000.0,3054666000000.0,2904788000000.0,1681160500000.0,2895498200000.0,1323255700000.0
