time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,CNRM-ESM2-1,CANESM5
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3434991000000.0,3434874000000.0,3437615400000.0,3438518700000.0,3401056800000.0
2022.0,3421407800000.0,3416151800000.0,3423942700000.0,3428615500000.0,3351120400000.0
2023.0,3406130800000.0,3389040400000.0,3401946800000.0,3409368800000.0,3289810700000.0
2024.0,3368988400000.0,3348884600000.0,3391174500000.0,3396355000000.0,3232507000000.0
2025.0,3344873800000.0,3322413800000.0,3376790000000.0,3378143600000.0,3180741500000.0
2026.0,3319333000000.0,3293524500000.0,3359677600000.0,3363640000000.0,3120941800000.0
2027.0,3282434800000.0,3267505200000.0,3345663400000.0,3349802400000.0,3073128300000.0
2028.0,3240007600000.0,3257031500000.0,3325293000000.0,3334638100000.0,3002549400000.0
2029.0,3210134200000.0,3223704600000.0,3313834700000.0,3315723400000.0,2936046600000.0
2030.0,3178215200000.0,3190350700000.0,3292787400000.0,3317056700000.0,2889147000000.0
2031.0,3150287700000.0,3158708800000.0,3270118000000.0,3300100400000.0,2826996800000.0
2032.0,3121908000000.0,3125422300000.0,3245130000000.0,3291262000000.0,2773334000000.0
2033.0,3069768000000.0,3087312400000.0,3225905300000.0,3283131800000.0,2722453500000.0
2034.0,3030245700000.0,3052225400000.0,3203596000000.0,3261753500000.0,2666938800000.0
2035.0,2993201300000.0,3010912000000.0,3172911300000.0,3247214200000.0,2620660400000.0
2036.0,2960314600000.0,2980623200000.0,3166775500000.0,3246571400000.0,2568107600000.0
2037.0,2937716000000.0,2960132000000.0,3156469400000.0,3233480700000.0,2526064100000.0
2038.0,2900053200000.0,2919030800000.0,3141277600000.0,3218883200000.0,2473935800000.0
2039.0,2858683700000.0,2893712000000.0,3122447800000.0,3197420700000.0,2419234700000.0
