time,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,33569880000.0,33711008000.0,33644225000.0,33539631000.0,33752280000.0
2022.0,34233893000.0,33704264000.0,34263740000.0,33620660000.0,33582887000.0
2023.0,33863078000.0,33447688000.0,34735768000.0,33470294000.0,33490390000.0
2024.0,33469034000.0,33344680000.0,33817805000.0,33301817000.0,33341155000.0
2025.0,33358047000.0,33258121000.0,33595648000.0,33191580000.0,33184856000.0
2026.0,33158810000.0,33192514000.0,33371146000.0,33346023000.0,33018204000.0
2027.0,33019329000.0,32951855000.0,33229117000.0,33223846000.0,32836895000.0
2028.0,32975536000.0,32805466000.0,33124973000.0,32986372000.0,32730140000.0
2029.0,32867893000.0,32801534000.0,32915941000.0,33368074000.0,32545606000.0
2030.0,32688738000.0,32736725000.0,32892545000.0,32716683000.0,32257733000.0
2031.0,34036642000.0,32523719000.0,32789996000.0,32634006000.0,32126430000.0
2032.0,32853560000.0,32634208000.0,32620405000.0,32503319000.0,31864635000.0
2033.0,32538204000.0,32209086000.0,32451731000.0,32359268000.0,31561966000.0
2034.0,32373540000.0,31979719000.0,32232505000.0,33474482000.0,31225696000.0
2035.0,32451234000.0,31802206000.0,32020160000.0,32171436000.0,30933244000.0
2036.0,32297243000.0,31638020000.0,31958927000.0,31871940000.0,30559535000.0
2037.0,32063287000.0,31407350000.0,31821308000.0,31700306000.0,30116053000.0
2038.0,31799330000.0,31005942000.0,31740210000.0,31801606000.0,29786024000.0
2039.0,31830810000.0,30627574000.0,31348810000.0,31237194000.0,29592812000.0
2040.0,31405750000.0,30591490000.0,31030682000.0,31031669000.0,29301783000.0
