time,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CANESM2
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
2015.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0
2016.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0
2017.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0
2018.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0
2019.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0
2020.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0
2021.0,2052279200.0,2032599800.0,2031972000.0,2072373000.0,2032738000.0,2027444900.0,2045945900.0,2039024100.0,2054417200.0,2034862100.0
2022.0,2017269100.0,1970868900.0,2000080800.0,2051071100.0,1996688000.0,1979306000.0,2011154300.0,2016271100.0,2029112000.0,1998641500.0
2023.0,1982882200.0,1923827200.0,1948177900.0,2020329500.0,1968060200.0,1955646600.0,1966860200.0,1985076600.0,1990531000.0,1958000100.0
2024.0,1966520700.0,1886991000.0,1891459700.0,1981444000.0,1940961900.0,1931698600.0,1935197800.0,1951693800.0,1963349400.0,1918306200.0
2025.0,1935229000.0,1841909000.0,1845362200.0,1959100900.0,1919257700.0,1887333800.0,1909022300.0,1923978600.0,1930251800.0,1867145900.0
2026.0,1914175200.0,1779105400.0,1782286000.0,1930063100.0,1880765800.0,1850684200.0,1880306700.0,1894978600.0,1898579300.0,1824103700.0
2027.0,1885032100.0,1699761700.0,1689470300.0,1888090400.0,1849772700.0,1811325000.0,1847616800.0,1854589400.0,1871244000.0,1774287900.0
2028.0,1851647000.0,1635211400.0,1581430100.0,1857869300.0,1816590700.0,1757957900.0,1800261500.0,1815609300.0,1838075900.0,1705823200.0
2029.0,1831206400.0,1583007400.0,1500935000.0,1835917400.0,1783691600.0,1706268800.0,1758959500.0,1788713100.0,1779254000.0,1661146200.0
2030.0,1798007400.0,1532890200.0,1399681500.0,1786607000.0,1759233000.0,1644625500.0,1731861400.0,1755657600.0,1747544700.0,1618463000.0
2031.0,1765698200.0,1498963200.0,1291251700.0,1727638300.0,1723194200.0,1598359400.0,1700524500.0,1711611500.0,1740501800.0,1546331500.0
2032.0,1732462700.0,1483031200.0,1211318800.0,1685436800.0,1695115600.0,1538423600.0,1659482500.0,1648950900.0,1677011600.0,1479104100.0
2033.0,1685684900.0,1462502800.0,1130524700.0,1633421700.0,1662233000.0,1493965700.0,1626600000.0,1574687600.0,1621331000.0,1384576100.0
2034.0,1639886800.0,1397520500.0,1054205900.0,1576463700.0,1633382500.0,1427412100.0,1586773800.0,1534831200.0,1586419500.0,1329458300.0
2035.0,1606537500.0,1353611100.0,995246460.0,1525239900.0,1583241900.0,1374054400.0,1542374500.0,1481429800.0,1548100500.0,1279485200.0
2036.0,1566849300.0,1329585700.0,931161000.0,1500850400.0,1535912100.0,1331692800.0,1496036500.0,1421912300.0,1517971000.0,1224489900.0
2037.0,1500859400.0,1313668000.0,867471200.0,1461387800.0,1501667800.0,1267116400.0,1443196000.0,1355155100.0,1477115000.0,1170349000.0
2038.0,1457275300.0,1280197200.0,810593700.0,1405088100.0,1466817900.0,1226761700.0,1401544800.0,1294330500.0,1430647600.0,1091161700.0
2039.0,1393570300.0,1242877300.0,770293500.0,1367921500.0,1427580300.0,1184837000.0,1363231600.0,1227587800.0,1391640700.0,1036342850.0
2040.0,1331841900.0,1206191000.0,728183360.0,1337039700.0,1371599700.0,1118136300.0,1331240600.0,1172066700.0,1353305300.0,989536900.0
2041.0,1285691300.0,1166605200.0,689576960.0,1303361200.0,1331343600.0,1057749900.0,1277020400.0,1116128500.0,1298928400.0,949972400.0
2042.0,1224048400.0,1126326900.0,652065400.0,1257530900.0,1280953000.0,984011800.0,1233167000.0,1069930900.0,1257344800.0,900096830.0
2043.0,1169192400.0,1070462850.0,632441340.0,1217981600.0,1233223200.0,917513700.0,1198018400.0,1014213400.0,1219920100.0,845767600.0
2044.0,1128046300.0,974492160.0,592672400.0,1181402200.0,1191168600.0,873003500.0,1158131500.0,961072400.0,1147036200.0,815865200.0
2045.0,1093213600.0,942337800.0,557981700.0,1142676700.0,1154491000.0,805122700.0,1115073200.0,892396100.0,1098819000.0,788379600.0
2046.0,1052827140.0,922031550.0,533847700.0,1097756500.0,1112906400.0,740761500.0,1084762400.0,829079800.0,1054426200.0,754173800.0
2047.0,1025731700.0,879576900.0,510058340.0,1054154100.0,1080916500.0,677580800.0,1059646850.0,787003260.0,1010351300.0,718898370.0
2048.0,989799700.0,827899600.0,484980200.0,1022478660.0,1061298370.0,613686900.0,1027006140.0,738411500.0,979015940.0,691385150.0
2049.0,960570240.0,790191040.0,450482100.0,989223900.0,1016908400.0,576440200.0,1003300100.0,680264960.0,943076700.0,656791360.0
2050.0,936720060.0,758882050.0,434423100.0,936940700.0,976973000.0,543853500.0,972636200.0,617462800.0,898513300.0,623341200.0
2051.0,904464260.0,725063500.0,411512300.0,900635300.0,949736600.0,520754800.0,945778750.0,573210900.0,853838800.0,596242600.0
2052.0,885178000.0,696599100.0,375065950.0,871102460.0,924324540.0,494140600.0,918499400.0,537655940.0,820383800.0,570931600.0
2053.0,854827460.0,669906500.0,353902980.0,833768960.0,902300860.0,463704480.0,886069300.0,513445020.0,789789200.0,540506240.0
2054.0,819108500.0,636867400.0,327905020.0,814254660.0,881282370.0,439294000.0,855791200.0,483199680.0,758914400.0,510997400.0
2055.0,790706940.0,594141700.0,314746430.0,791928800.0,860301600.0,420528130.0,820039100.0,451821280.0,734760770.0,489445150.0
2056.0,758429760.0,542027800.0,295549920.0,761877500.0,834113600.0,397100540.0,781024830.0,423304320.0,715440900.0,458386020.0
2057.0,736489000.0,501565630.0,274992480.0,739448800.0,815797100.0,370065180.0,762983200.0,399000420.0,683371100.0,441858620.0
2058.0,696709700.0,476130080.0,257567520.0,715111040.0,789199800.0,338331100.0,738079900.0,377324500.0,656817800.0,416891400.0
2059.0,661955400.0,436518500.0,239389090.0,696660000.0,761388200.0,314523650.0,711019000.0,355862500.0,646011460.0,393951000.0
2060.0,628929900.0,407501500.0,223023980.0,676659800.0,741298370.0,287382530.0,688431550.0,336102270.0,628524500.0,378940800.0
2061.0,609719740.0,381453100.0,211805550.0,662216300.0,715557400.0,263806990.0,668086200.0,319953920.0,601337600.0,358339070.0
2062.0,588807300.0,366462620.0,192987540.0,646389700.0,682313100.0,245748270.0,637539400.0,307132300.0,571405800.0,336026940.0
2063.0,569331300.0,351875040.0,177793810.0,624085100.0,653996540.0,224789730.0,617334140.0,293235800.0,558527940.0,317115800.0
2064.0,551135400.0,331860450.0,165180240.0,599135400.0,619813060.0,213105440.0,604975360.0,280581630.0,535941000.0,295518750.0
2065.0,532814660.0,322735300.0,161094200.0,574835100.0,588160900.0,202535940.0,582252540.0,272548830.0,508235970.0,274209000.0
2066.0,517957280.0,315749730.0,152665870.0,551167100.0,558063600.0,191001580.0,553740400.0,263508350.0,492581600.0,262860930.0
2067.0,500418660.0,311529700.0,145141310.0,524058880.0,532030430.0,178661970.0,530200100.0,252928000.0,474203940.0,252642530.0
2068.0,484668640.0,306512600.0,135829490.0,496282300.0,512040800.0,170117440.0,504664350.0,244932110.0,454130400.0,239274240.0
2069.0,471437980.0,294844480.0,126076460.0,474509380.0,490931700.0,165008880.0,483527580.0,232019440.0,430747300.0,223948290.0
2070.0,451116200.0,282166620.0,122757384.0,452898940.0,469761570.0,156316910.0,465219800.0,220292980.0,409577200.0,216735970.0
2071.0,438184420.0,276535900.0,116319010.0,423626180.0,453775000.0,152369090.0,449442980.0,206861040.0,399683100.0,211500600.0
2072.0,423488420.0,271902980.0,110592056.0,401112480.0,436607680.0,146078450.0,434289280.0,196380380.0,384724220.0,203129250.0
2073.0,402418200.0,257960670.0,105282180.0,384942880.0,421445120.0,141153650.0,416747040.0,185071020.0,366400670.0,191448370.0
2074.0,388361600.0,236977570.0,100464710.0,375114700.0,412507700.0,137047170.0,401038980.0,167147920.0,351162370.0,187220210.0
2075.0,369990340.0,224258420.0,94776980.0,364015600.0,399831460.0,132137080.0,386224640.0,154773780.0,335519170.0,183126780.0
2076.0,355147260.0,213260800.0,90591730.0,349196830.0,387159400.0,128779270.0,372833470.0,148853760.0,327331700.0,176416740.0
2077.0,347698780.0,191777620.0,85992270.0,341014700.0,376102820.0,126422020.0,357820480.0,143424080.0,317919800.0,166529730.0
2078.0,331999700.0,172842690.0,79225304.0,332932580.0,364714240.0,121083080.0,343777000.0,132497050.0,311965300.0,156800670.0
2079.0,325181860.0,154897860.0,77060160.0,323342240.0,354381760.0,116651560.0,327052160.0,126108424.0,298781700.0,148623650.0
2080.0,310746850.0,150044350.0,73269140.0,308359230.0,343721180.0,112171100.0,321860580.0,118117380.0,287223460.0,140773070.0
2081.0,298978020.0,146393230.0,70385016.0,301531420.0,334324830.0,105379920.0,313466660.0,113684490.0,273988380.0,131842710.0
2082.0,286638700.0,134994030.0,66515916.0,293129760.0,325234080.0,98178750.0,301002750.0,108699930.0,267489040.0,126610130.0
2083.0,273801600.0,130327510.0,61075492.0,280672600.0,314373950.0,93342460.0,289136770.0,105166664.0,259307900.0,119774170.0
2084.0,261406560.0,122552260.0,57446170.0,269185280.0,309438530.0,86418150.0,278462200.0,100679630.0,246419970.0,112780744.0
2085.0,249934910.0,114675740.0,56198090.0,255616270.0,300850100.0,81889930.0,272671200.0,93055220.0,233296590.0,104622060.0
2086.0,243423730.0,110517950.0,53399824.0,245964130.0,295150180.0,76240904.0,268919550.0,87644420.0,224200830.0,97724650.0
2087.0,230595090.0,107498130.0,51392136.0,235957730.0,287739400.0,72950610.0,261650370.0,82454540.0,214461540.0,92403624.0
2088.0,220636880.0,104370080.0,50057308.0,225979760.0,279504260.0,67966540.0,250923890.0,72778040.0,202358980.0,89769830.0
2089.0,212707300.0,97296390.0,48316090.0,215863540.0,272481470.0,66142960.0,239350560.0,66207190.0,196112540.0,86562744.0
2090.0,206883310.0,91771736.0,46192268.0,208769580.0,266122510.0,62378436.0,232387760.0,61291628.0,191980980.0,81144760.0
2091.0,199341100.0,88526696.0,44566130.0,198527540.0,257016600.0,58145224.0,225635740.0,58859230.0,184435800.0,78167880.0
2092.0,192377170.0,84390710.0,42636624.0,193093600.0,250665490.0,53292580.0,215948750.0,56117884.0,180376740.0,76066750.0
2093.0,185747340.0,79057530.0,40835252.0,184943870.0,245134260.0,48850164.0,205651420.0,54462860.0,175780560.0,73355630.0
2094.0,176093570.0,75972030.0,39794132.0,178915260.0,235658990.0,46107160.0,198821900.0,54049820.0,171736620.0,70377700.0
2095.0,168642660.0,71637670.0,38295620.0,172676560.0,226991760.0,43765028.0,188044260.0,52435124.0,169016750.0,67053210.0
2096.0,163018110.0,71293630.0,35800640.0,163213950.0,219660910.0,42212684.0,178858910.0,50719980.0,163827140.0,64753044.0
2097.0,156222780.0,69059310.0,34724900.0,157030980.0,213075180.0,40927270.0,169497570.0,47833820.0,159278850.0,67539990.0
2098.0,148069980.0,63695544.0,33897890.0,154792420.0,204935340.0,39236064.0,161535490.0,44777068.0,157574780.0,66833830.0
2099.0,144057760.0,62691984.0,32924188.0,149171820.0,197511400.0,38440828.0,156359950.0,41999840.0,152171780.0,63741380.0
2100.0,141181760.0,60982284.0,32366456.0,144214860.0,192489220.0,36749680.0,152800720.0,36008996.0,145149760.0,61199796.0
