time,CNRM-CM5,CANESM2,IPSL-CM5A-LR,CESM1-CAM5,CCSM4,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G,GFDL-CM3
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
