time,NORESM1-M,IPSL-CM5A-LR,CCSM4,GISS-E2-R,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,34849210000.0,33667465000.0,33609816000.0,33784019000.0,33904636000.0,33646320000.0,33871500000.0,33722976000.0
2022.0,33952063000.0,33595476000.0,33566503000.0,33703672000.0,33833544000.0,33564008000.0,33585703000.0,33666146000.0
2023.0,33769325000.0,34185988000.0,33737056000.0,33628750000.0,33877127000.0,33452534000.0,33480354000.0,33713852000.0
2024.0,33921073000.0,33611737000.0,33490426000.0,33608802000.0,33674350000.0,33349288000.0,33408730000.0,33717650000.0
2025.0,33768622000.0,33547094000.0,33422385000.0,33519905000.0,33555792000.0,33218998000.0,33547866000.0,33615766000.0
2026.0,33588408000.0,33522391000.0,33476878000.0,33421842000.0,33523862000.0,33189962000.0,33390762000.0,33527198000.0
2027.0,33542193000.0,33438544000.0,33685873000.0,33327288000.0,33351141000.0,32955498000.0,33329240000.0,33450484000.0
2028.0,33529965000.0,33350394000.0,33369508000.0,33362467000.0,33258370000.0,32796430000.0,33362258000.0,33485630000.0
2029.0,33430315000.0,33267212000.0,33324134000.0,33788586000.0,33218898000.0,32615602000.0,33183515000.0,34445468000.0
2030.0,33845572000.0,33166460000.0,33362395000.0,33400834000.0,33042610000.0,32499524000.0,33083957000.0,33826790000.0
2031.0,33817932000.0,33159981000.0,34578215000.0,33258613000.0,33036202000.0,32215042000.0,33024608000.0,33366233000.0
2032.0,33731460000.0,33092710000.0,33767145000.0,33099950000.0,32955810000.0,31966644000.0,32964088000.0,33216580000.0
2033.0,33418275000.0,33651614000.0,33355674000.0,33009132000.0,32858530000.0,31916095000.0,33383428000.0,33397504000.0
2034.0,33342988000.0,32933300000.0,33175982000.0,32940048000.0,32702894000.0,31538524000.0,32831377000.0,33110616000.0
2035.0,33243187000.0,32705530000.0,33156508000.0,32828197000.0,32660177000.0,31277773000.0,32661897000.0,33017029000.0
2036.0,33361336000.0,32582742000.0,33040734000.0,32705235000.0,32456702000.0,30947095000.0,32558078000.0,33297043000.0
2037.0,33187545000.0,32437576000.0,32987849000.0,32736145000.0,33321402000.0,30660628000.0,32388050000.0,33089518000.0
2038.0,33059428000.0,32318159000.0,32819319000.0,32485048000.0,32774887000.0,30300393000.0,32361294000.0,32901915000.0
2039.0,32960561000.0,32093153000.0,32687480000.0,32384344000.0,32433545000.0,29936964000.0,32317690000.0,32756380000.0
2040.0,32844696000.0,31771484000.0,32686279000.0,32387088000.0,32293564000.0,29614492000.0,32788294000.0,32864543000.0
2041.0,32755091000.0,32213496000.0,32490342000.0,32076816000.0,32089614000.0,29217223000.0,32172014000.0,32731675000.0
