time,NORESM1-M,CCSM4,IPSL-CM5A-LR,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,33734429000.0,33607860000.0,33802959000.0,33568210000.0,33702683000.0,33560041000.0,33615827000.0,33688154000.0,33897105000.0,33826441000.0
2022.0,33625741000.0,33517451000.0,33653045000.0,33480475000.0,33840413000.0,33518885000.0,33566482000.0,33715896000.0,33654040000.0,33702680000.0
2023.0,33644430000.0,33458883000.0,33779784000.0,33482766000.0,33643373000.0,33401416000.0,33537251000.0,33609525000.0,33622577000.0,33604524000.0
2024.0,33547676000.0,33363570000.0,33588650000.0,33341626000.0,33598872000.0,33286190000.0,33428180000.0,33522737000.0,33624175000.0,33514877000.0
2025.0,33468720000.0,33301006000.0,33484222000.0,33256323000.0,33836898000.0,33190935000.0,33333221000.0,33419237000.0,33483092000.0,33522336000.0
2026.0,33376305000.0,33359321000.0,33696573000.0,33249468000.0,33488249000.0,33048560000.0,33212602000.0,33524484000.0,33391360000.0,33642854000.0
2027.0,33290160000.0,33404539000.0,33528332000.0,32987860000.0,34066500000.0,32966388000.0,33106162000.0,33219942000.0,33423421000.0,33953920000.0
2028.0,33216698000.0,33388007000.0,33484935000.0,32866492000.0,33794860000.0,32839113000.0,32954806000.0,33971956000.0,33257374000.0,33577374000.0
2029.0,33082331000.0,33065597000.0,33293609000.0,32691722000.0,33535998000.0,32691315000.0,32782500000.0,33885336000.0,33156604000.0,33344110000.0
2030.0,32902945000.0,32985866000.0,33137646000.0,32589201000.0,33346787000.0,32523188000.0,32618226000.0,33155338000.0,33054640000.0,33312268000.0
2031.0,32776075000.0,32879010000.0,33029548000.0,32364931000.0,33275058000.0,32699265000.0,32503448000.0,32942924000.0,33168742000.0,33191086000.0
2032.0,32785916000.0,32669477000.0,32906110000.0,32246510000.0,33239345000.0,32338610000.0,32248142000.0,32894855000.0,32918215000.0,33054132000.0
2033.0,32574091000.0,32541268000.0,32739375000.0,32303716000.0,33195651000.0,32084787000.0,32026028000.0,32707252000.0,32761567000.0,32964577000.0
2034.0,32449577000.0,32632175000.0,32556407000.0,31903265000.0,33212068000.0,31797737000.0,31776076000.0,32611283000.0,32820420000.0,32820693000.0
2035.0,32315953000.0,32374258000.0,32328925000.0,31611228000.0,33067690000.0,31578667000.0,31500704000.0,32415937000.0,32541050000.0,32764725000.0
2036.0,32381458000.0,32173940000.0,32105454000.0,31308728000.0,32944750000.0,31498912000.0,31135015000.0,32212828000.0,32315804000.0,32546404000.0
2037.0,32111895000.0,32055708000.0,31788894000.0,30998983000.0,32868510000.0,31250545000.0,30830854000.0,32096380000.0,32092733000.0,32476019000.0
2038.0,32184140000.0,31991538000.0,31489760000.0,30722212000.0,32727101000.0,31091380000.0,30510676000.0,31885453000.0,31817398000.0,32373130000.0
2039.0,31842124000.0,31699223000.0,31024360000.0,30460810000.0,32630923000.0,30782880000.0,29929765000.0,31669082000.0,31616367000.0,32119340000.0
2040.0,31611242000.0,31516774000.0,30462585000.0,30093146000.0,32529560000.0,30428215000.0,29518754000.0,31588182000.0,31334078000.0,31904162000.0
2041.0,31390638000.0,31311060000.0,30007308000.0,29690180000.0,32335647000.0,30341147000.0,28965784000.0,31373902000.0,31099840000.0,31754054000.0
2042.0,31170185000.0,31216310000.0,29565065000.0,29438032000.0,32147007000.0,29923670000.0,28473934000.0,31096690000.0,30780516000.0,31517164000.0
2043.0,30915064000.0,30984950000.0,29212725000.0,29128820000.0,31948722000.0,29533342000.0,27888165000.0,30778335000.0,30399934000.0,31337090000.0
2044.0,30637670000.0,30686100000.0,28979007000.0,28724423000.0,31785138000.0,29261816000.0,27426748000.0,30993980000.0,30110222000.0,31226706000.0
2045.0,30352140000.0,30416513000.0,28324106000.0,28130600000.0,31509522000.0,28975376000.0,26876609000.0,30488529000.0,29938360000.0,30906892000.0
2046.0,30096134000.0,30174095000.0,27804959000.0,27815369000.0,31362249000.0,28669848000.0,26208470000.0,30232140000.0,29529364000.0,30372725000.0
2047.0,29795133000.0,29982683000.0,27041534000.0,27289876000.0,31192197000.0,28350728000.0,25628574000.0,30008190000.0,29085060000.0,30011343000.0
2048.0,29562206000.0,29613340000.0,26605668000.0,26875724000.0,30893214000.0,28211155000.0,24989032000.0,29706725000.0,28774582000.0,29905959000.0
2049.0,29214073000.0,29376080000.0,25989860000.0,26371183000.0,30613936000.0,27624860000.0,24261073000.0,29435564000.0,28427424000.0,29434341000.0
2050.0,28873916000.0,29117140000.0,25636639000.0,25818466000.0,30416026000.0,27315198000.0,23483181000.0,29177174000.0,28098286000.0,29100124000.0
2051.0,28565135000.0,28873744000.0,25142426000.0,25278343000.0,30177298000.0,27001567000.0,23564760000.0,29020842000.0,27595060000.0,28720638000.0
2052.0,28553730000.0,28737530000.0,24597942000.0,24700123000.0,29878477000.0,26904207000.0,22693466000.0,28576813000.0,27205850000.0,28399272000.0
2053.0,27863595000.0,28383945000.0,24039027000.0,24082338000.0,29641173000.0,27213791000.0,21966424000.0,28388325000.0,26911236000.0,28070121000.0
