time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
2019.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0
2020.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0
2021.0,1930090200.0,1934302600.0,1941808400.0,1927084000.0,1911594600.0,1925439600.0,1926356700.0
2022.0,1901039500.0,1881157000.0,1937333200.0,1986144600.0,1870173000.0,1959128300.0,1903323900.0
2023.0,1871745700.0,1846844400.0,1894964600.0,1876459300.0,1870385000.0,1926860700.0,1862037000.0
2024.0,1825552600.0,1801709300.0,1860468500.0,1861129300.0,1820555800.0,1896851600.0,1823144400.0
2025.0,1785129300.0,1909780600.0,1827990800.0,1814538600.0,1773374700.0,1858738800.0,1784375000.0
2026.0,1759007000.0,1807458200.0,1789311600.0,1897999100.0,1725873900.0,1839603300.0,1791339600.0
2027.0,1734603100.0,1727370500.0,1701887500.0,1773753200.0,1700365600.0,1807643400.0,1833509500.0
2028.0,1715974000.0,1688685800.0,1653527200.0,1758506400.0,1663041900.0,1763470600.0,1844707300.0
2029.0,1686833000.0,1694223000.0,1604120600.0,1755012900.0,1628604800.0,1758881000.0,1950067200.0
2030.0,1634481400.0,1644980000.0,1541637600.0,1727920600.0,1589839500.0,1720915100.0,1721534700.0
2031.0,1576362600.0,1612987900.0,1489232900.0,1673386200.0,1535832400.0,1717941600.0,1654390300.0
2032.0,1544081400.0,1581518200.0,1413681000.0,1630292000.0,1483862100.0,1672388400.0,1612208400.0
2033.0,1541170400.0,1643928000.0,1434400000.0,1636501800.0,1442733200.0,1667681900.0,1580018000.0
2034.0,1460672100.0,1659841000.0,1326848500.0,1588114400.0,1392625700.0,1619795700.0,1538455900.0
2035.0,1411034800.0,1533843100.0,1268979300.0,1546244600.0,1459859000.0,1636717200.0,1519204100.0
2036.0,1380127000.0,1508299900.0,1232086400.0,1507628700.0,1354436900.0,1580282100.0,1559294100.0
2037.0,1384125800.0,1491960800.0,1223752300.0,1472204200.0,1317493100.0,1552121700.0,1465217200.0
2038.0,1301676500.0,1459885700.0,1155595600.0,1436125600.0,1284542200.0,1500586000.0,1432974300.0
2039.0,1241922400.0,1405536900.0,1089219600.0,1408578400.0,1241072000.0,1470028400.0,1385092100.0
2040.0,1314909600.0,1363870000.0,1047226000.0,1368673500.0,1238261800.0,1457527000.0,1335906000.0
2041.0,1218860500.0,1324311400.0,992276500.0,1333628300.0,1195941500.0,1401550500.0,1304581200.0
2042.0,1162486500.0,1309914800.0,933031600.0,1296909300.0,1430821500.0,1397944600.0,1295024100.0
2043.0,1111396900.0,1257181200.0,881773760.0,1345334700.0,1404448300.0,1382885200.0,1266852200.0
2044.0,1086945800.0,1215133300.0,832062140.0,1229153000.0,1221997800.0,1336169500.0,1249591000.0
2045.0,1057117400.0,1197145700.0,812827650.0,1210379800.0,1148061700.0,1311517600.0,1216190100.0
2046.0,1038478900.0,1176551300.0,779533500.0,1197057900.0,1124057700.0,1304144500.0,1352770000.0
