time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
2019.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0
2020.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0
2021.0,1891172500.0,1913321600.0,1919416400.0,1916442400.0,1952502300.0,1912132500.0,1915091700.0,1944899300.0,1899181200.0,1930415500.0,1956297200.0
2022.0,1856265100.0,1879382300.0,1905205600.0,1893820200.0,1901927600.0,1860593800.0,1877347500.0,1911492100.0,1860494300.0,2131543200.0,1899143300.0
2023.0,1829918700.0,1853383600.0,1914602500.0,1887114400.0,1900386400.0,1832232700.0,1855643300.0,1894978700.0,1897844500.0,1899644400.0,1868627200.0
2024.0,1797222400.0,1837721600.0,1852268000.0,1842116500.0,1844492400.0,1809292700.0,1837964500.0,1878501600.0,1860697000.0,1866385900.0,1830314100.0
2025.0,1759049100.0,1791006500.0,1814728800.0,1801894300.0,1824905100.0,1793787800.0,1860505200.0,1823343200.0,1802678800.0,1873738900.0,1875215600.0
