time,CAMS-CSM1-0,BCC-CSM2-MR,NORESM2-MM,ACCESS-ESM1-5,FGOALS-F3-L,INM-CM4-8,ACCESS-CM2,EC-EARTH3,IPSL-CM6A-LR,INM-CM5-0,MPI-ESM1-2-HR,CESM2-WACCM,CESM2,EC-EARTH3-VEG,CANESM5,GFDL-ESM4,MRI-ESM2-0
2000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0
2001.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0
2002.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0
2003.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0
2004.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0
2005.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0
2006.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0
2007.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0
2008.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0
2009.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0
