time,EC-EARTH3-VEG,MRI-ESM2-0,CESM2-WACCM,INM-CM4-8,CANESM5,EC-EARTH3,MPI-ESM1-2-HR,ACCESS-CM2,ACCESS-ESM1-5,CESM2,INM-CM5-0,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,IPSL-CM6A-LR,CAMS-CSM1-0
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
