time,CESM2-WACCM,IITM-ESM,TAIESM1,KACE-1-0-G,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
