time,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1102487400.0,1097522300.0,1102142100.0,1097903500.0
2022.0,1084906200.0,1075803600.0,1083592300.0,1087604900.0
2023.0,1142826100.0,1047382100.0,1075461600.0,1078537600.0
2024.0,1095151200.0,1027704600.0,1068988900.0,1069452200.0
2025.0,1075334100.0,1008574700.0,1051345660.0,1045463360.0
2026.0,1059229900.0,1097167700.0,1037887600.0,1013790500.0
2027.0,1046541700.0,976742500.0,1032206140.0,992369540.0
2028.0,1041528450.0,965149440.0,1015042940.0,975175040.0
2029.0,1033990200.0,921040830.0,990038900.0,963171140.0
2030.0,1028826750.0,893015550.0,968267000.0,943448260.0
2031.0,1025863940.0,860503100.0,942340500.0,922214460.0
2032.0,1023058800.0,827872200.0,920099460.0,927772400.0
2033.0,1014448300.0,798216640.0,898184450.0,885786750.0
2034.0,1016823700.0,764655170.0,873189250.0,866187600.0
2035.0,1005457860.0,742498900.0,858233100.0,907942600.0
2036.0,1115915500.0,727384000.0,828378940.0,934264060.0
2037.0,1000988200.0,709989060.0,804895740.0,838560400.0
2038.0,986663900.0,685826100.0,830255400.0,815032400.0
2039.0,972071000.0,665909100.0,786225600.0,806345900.0
2040.0,967977800.0,656914400.0,783361340.0,791314750.0
2041.0,959347900.0,640598000.0,784117300.0,782100300.0
2042.0,954526200.0,626953200.0,819552450.0,938611000.0
2043.0,969788600.0,612850050.0,763894500.0,797005100.0
2044.0,942462340.0,596770700.0,753775170.0,771801340.0
2045.0,939753660.0,596573000.0,814456100.0,815512450.0
2046.0,972665400.0,624200200.0,754444500.0,782596160.0
2047.0,952408900.0,623256800.0,745625900.0,912226300.0
2048.0,947098560.0,585484160.0,727193900.0,778698500.0
2049.0,920671170.0,583424700.0,715272960.0,781027500.0
2050.0,912721300.0,570707140.0,713016450.0,767293500.0
2051.0,913968060.0,564485700.0,705007900.0,763339970.0
2052.0,1204138500.0,558536770.0,693736200.0,924178200.0
2053.0,1063447300.0,549115260.0,729892600.0,774970940.0
2054.0,961354560.0,541429800.0,737911600.0,783384400.0
2055.0,930805060.0,620357300.0,726521860.0,779095100.0
2056.0,903116540.0,594444160.0,698040700.0,786640800.0
2057.0,904870000.0,683808830.0,728793700.0,826441340.0
2058.0,932912640.0,616137660.0,787599940.0,806722700.0
2059.0,1053937340.0,564726700.0,729629300.0,825242900.0
2060.0,1027960800.0,551095740.0,713626400.0,830032800.0
2061.0,993244000.0,674607000.0,715849900.0,850907000.0
2062.0,980155970.0,765238300.0,718001540.0,949289500.0
2063.0,976393300.0,614981400.0,703956900.0,1038859970.0
2064.0,947907500.0,572068200.0,699883460.0,962367700.0
2065.0,933645600.0,575071200.0,699709600.0,894733060.0
2066.0,983673900.0,568029950.0,693196200.0,888132800.0
2067.0,953935040.0,563872100.0,707056300.0,857881300.0
2068.0,934516400.0,564324000.0,691648960.0,853950700.0
2069.0,951766850.0,593883650.0,687173700.0,848060350.0
2070.0,952567740.0,607524740.0,683096960.0,885330240.0
2071.0,1001128770.0,569617340.0,678434560.0,848525400.0
2072.0,969192600.0,640099140.0,671937700.0,829601540.0
2073.0,944669700.0,565241800.0,668796600.0,819561540.0
2074.0,947028400.0,563160800.0,679182200.0,813470000.0
2075.0,1012896500.0,562682700.0,720697340.0,807033300.0
2076.0,950835600.0,563659100.0,667983000.0,795945100.0
2077.0,951844350.0,556321000.0,663284740.0,848218400.0
2078.0,947293300.0,560936770.0,705256900.0,784997300.0
2079.0,943736800.0,565654660.0,660766100.0,779498940.0
2080.0,969895040.0,613267840.0,653553800.0,822952960.0
2081.0,962295200.0,664279100.0,755367940.0,809317250.0
2082.0,958415200.0,564128400.0,673880770.0,757006460.0
2083.0,968705200.0,556845800.0,681898560.0,749385150.0
2084.0,1058529300.0,581297660.0,776671600.0,734037100.0
2085.0,961508700.0,571865500.0,715681200.0,724039740.0
2086.0,1108757500.0,556302850.0,684921150.0,715265700.0
2087.0,1084416600.0,557954900.0,685604100.0,715751740.0
2088.0,1051099500.0,559785340.0,722850560.0,721569100.0
2089.0,996591200.0,562304700.0,712093300.0,709129800.0
2090.0,1041746560.0,557316030.0,707456300.0,707549700.0
2091.0,1020563650.0,790620700.0,683162430.0,703196350.0
2092.0,1020412800.0,666469760.0,678061600.0,709108160.0
2093.0,1016517800.0,782132900.0,672646400.0,699375200.0
2094.0,1004072100.0,619798140.0,751307840.0,693843200.0
2095.0,1050043800.0,638577300.0,732784200.0,699733250.0
2096.0,1026520450.0,846629500.0,694176500.0,719126500.0
2097.0,1016194900.0,635877600.0,679456300.0,682431500.0
2098.0,1003296700.0,634988200.0,673848600.0,668909250.0
2099.0,1040128900.0,646192450.0,674106940.0,657798800.0
2100.0,1004031100.0,664133800.0,693482050.0,664555840.0
