time,CNRM-CM6-1,IITM-ESM,CESM2-WACCM,MIROC6,GFDL-ESM4,CANESM5,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,KACE-1-0-G,TAIESM1,EC-EARTH3
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1099233900.0,1136844400.0,1096198400.0,1102940900.0,1097880400.0,1109064200.0,1087644800.0,1093907500.0,1114809600.0,1095210200.0,1094205700.0,1093478300.0,1100046600.0,1158449500.0
2022.0,1084939500.0,1118176400.0,1074393500.0,1088879000.0,1294903000.0,1085790600.0,1095881000.0,1076857600.0,1135784200.0,1079412900.0,1074668900.0,1076637000.0,1083274600.0,1113306100.0
2023.0,1083768200.0,1146537100.0,1172180600.0,1062529000.0,1129245200.0,1060235600.0,1058196600.0,1096404000.0,1105972400.0,1101521900.0,1062238460.0,1070544060.0,1069660860.0,1087228900.0
2024.0,1078604800.0,1110459400.0,1063788400.0,1042930600.0,1070246600.0,1050332740.0,1038680900.0,1109237900.0,1105664100.0,1060182660.0,1049293700.0,1053319400.0,1057866560.0,1098827800.0
2025.0,1065209300.0,1119634800.0,1054021060.0,1027412860.0,1053188400.0,1067163840.0,1057204860.0,1104576100.0,1110676400.0,1054232260.0,1136295600.0,1032772900.0,1029606400.0,1080132200.0
2026.0,1046818200.0,1088166300.0,1052286850.0,1069127800.0,1046792500.0,1046081300.0,1039854300.0,1077072600.0,1086521300.0,1045641400.0,1107944700.0,1011096300.0,998676350.0,1065512400.0
2027.0,1038598850.0,1075985400.0,1027008830.0,1003357900.0,1049232600.0,1021239200.0,1014804700.0,1071719900.0,1074739300.0,1019858400.0,1030804600.0,995035840.0,983128450.0,1060250100.0
2028.0,1029755800.0,1059218900.0,1008785150.0,989382140.0,1028416800.0,1010603840.0,1001377150.0,1083573400.0,1051242700.0,985560060.0,1007233340.0,976952450.0,958708160.0,1119033100.0
2029.0,1015798200.0,1116263300.0,985821300.0,968352200.0,1024445440.0,987325900.0,1014803260.0,1041107300.0,1036402050.0,963150900.0,995139700.0,951362400.0,923591230.0,1039316600.0
2030.0,1006178900.0,1080387800.0,969355100.0,958671170.0,1007518340.0,963610940.0,966125630.0,1028135900.0,1026639500.0,941176300.0,968958460.0,964061300.0,885787840.0,1014078300.0
2031.0,1085951500.0,1067903550.0,1001148540.0,941024450.0,995724740.0,949709760.0,951850050.0,1013736060.0,1015611600.0,914113300.0,960746240.0,941425660.0,875892030.0,1000993600.0
2032.0,1159973600.0,1049275650.0,946573900.0,996948300.0,1029979460.0,932868860.0,938683840.0,1000222700.0,1003204900.0,873216260.0,962221950.0,933326400.0,848267260.0,981359170.0
2033.0,1036426750.0,1051603700.0,920154800.0,976771100.0,982778700.0,922900350.0,908313000.0,983051400.0,1010056500.0,859921700.0,1014462850.0,929210500.0,826140350.0,1031320700.0
2034.0,993784700.0,1048676740.0,901995400.0,904659100.0,988519700.0,904190300.0,899160600.0,984659650.0,998688000.0,834319800.0,1030716540.0,906327200.0,797864400.0,967318460.0
2035.0,1001019700.0,1291876600.0,903264000.0,884536200.0,968417000.0,888769660.0,893611500.0,966342900.0,1052884900.0,823868300.0,963664450.0,888175100.0,776505700.0,952432600.0
2036.0,987944900.0,1317728500.0,880069500.0,900101700.0,963694400.0,862669060.0,867860600.0,950575360.0,1000955100.0,801407700.0,933439900.0,871888200.0,746525500.0,930799200.0
2037.0,1076667400.0,1138650900.0,861517700.0,886270660.0,1066665860.0,838372400.0,854348740.0,1069121000.0,1033997400.0,758404100.0,907129600.0,858416200.0,722827970.0,1179222900.0
2038.0,1008599360.0,1112919000.0,836760300.0,940089400.0,1066870140.0,827715100.0,902486200.0,946715000.0,1032376300.0,754464060.0,900744770.0,836822660.0,698034200.0,1121675800.0
2039.0,989366500.0,1099195100.0,830409700.0,868007360.0,1019456800.0,819636350.0,869882900.0,920590460.0,984082200.0,771389630.0,891947840.0,825709630.0,670706100.0,1018179200.0
2040.0,1088175000.0,1091063400.0,807731200.0,847839500.0,998371500.0,875931200.0,827925950.0,918628900.0,988603700.0,774362900.0,909698100.0,807096900.0,644762300.0,952078100.0
2041.0,1028744900.0,1080047200.0,807494700.0,973623740.0,988042050.0,810929600.0,801259260.0,891237800.0,966701500.0,745082240.0,870335360.0,806482900.0,636412800.0,979703300.0
2042.0,1060868000.0,1081391000.0,1000505660.0,849479200.0,971454140.0,794449340.0,795006660.0,887075500.0,962007550.0,708201800.0,851697300.0,788910700.0,619306430.0,918906900.0
2043.0,1010403900.0,1096018800.0,821698900.0,878637440.0,965198400.0,778933700.0,779790140.0,875187650.0,956598900.0,695811100.0,862153500.0,763172500.0,609013950.0,888213250.0
2044.0,1002231100.0,1089012100.0,817280900.0,826755650.0,960113600.0,920171600.0,768420030.0,864216600.0,964762050.0,676799500.0,840584700.0,742312000.0,591969600.0,890849300.0
2045.0,996130240.0,1070206140.0,801684540.0,833788100.0,951118700.0,779806000.0,746779260.0,877471740.0,1044925700.0,665108300.0,834850750.0,722559940.0,576814100.0,895204000.0
2046.0,981918300.0,1102537600.0,776538100.0,909184400.0,1020288800.0,788871300.0,740834300.0,847937540.0,1041103170.0,676698940.0,835677000.0,703840600.0,560428900.0,886807100.0
2047.0,987609300.0,1118616300.0,805658240.0,1000978050.0,969786000.0,755238200.0,724080600.0,834448260.0,971293700.0,701501300.0,986074800.0,683810200.0,545233200.0,935137860.0
2048.0,975871000.0,1222945000.0,773735100.0,839590460.0,961106700.0,744525440.0,706326700.0,816911300.0,956800830.0,645934500.0,839041700.0,658239900.0,538622340.0,893947460.0
2049.0,970396700.0,1186218100.0,765490700.0,829208400.0,945070400.0,732286900.0,689891460.0,807367900.0,951879000.0,638761600.0,812306400.0,635031800.0,525502000.0,890696100.0
2050.0,962704450.0,1228786000.0,750468160.0,819909500.0,937897100.0,734021440.0,669148800.0,791396540.0,946838000.0,721915840.0,809449100.0,623330050.0,517593950.0,1169165400.0
2051.0,953264700.0,1177956400.0,769224600.0,1092143000.0,927892100.0,726412350.0,648981760.0,786485100.0,932726700.0,628621800.0,801859260.0,612337900.0,502298140.0,973822660.0
2052.0,946871300.0,1228250400.0,750637630.0,951927300.0,941637440.0,717195300.0,623665100.0,775074500.0,946306500.0,626818000.0,866834900.0,602752000.0,486878340.0,940408640.0
2053.0,944339500.0,1159438200.0,739748900.0,863430340.0,926033400.0,711416260.0,616362300.0,759751600.0,958586900.0,887532600.0,794217100.0,603794900.0,481015300.0,913050050.0
2054.0,936001660.0,1164357200.0,744081150.0,817488450.0,918404000.0,729797900.0,617310200.0,758118660.0,959912000.0,878514500.0,784594900.0,616530400.0,472769540.0,907485000.0
2055.0,918833150.0,1220201000.0,735905900.0,803384260.0,917884700.0,701111100.0,601850800.0,811587500.0,927561100.0,862913150.0,766241540.0,578849150.0,466694080.0,902278000.0
2056.0,910857800.0,1172332800.0,741408830.0,795158700.0,950704300.0,695458560.0,600361600.0,770402240.0,1006538600.0,757713660.0,755942800.0,562636000.0,460905280.0,891487900.0
2057.0,904004600.0,1178962800.0,725412160.0,813756400.0,916128060.0,810354900.0,608349200.0,742675000.0,930461060.0,722375900.0,752435840.0,552117300.0,486754720.0,946150000.0
2058.0,880970300.0,1168426100.0,718422200.0,788490560.0,918828000.0,728853800.0,577369150.0,723498200.0,912635140.0,738622140.0,743775200.0,544012500.0,463747300.0,886283970.0
2059.0,872189250.0,1202096600.0,717891400.0,850536060.0,911581250.0,699376500.0,573244740.0,716315260.0,899673100.0,699140800.0,732085060.0,527480160.0,452645860.0,878410050.0
2060.0,847193200.0,1290507900.0,712415600.0,819034300.0,919842700.0,712384900.0,563360450.0,727644740.0,881814700.0,691081000.0,714860000.0,521571650.0,454648500.0,959071700.0
2061.0,827347100.0,1221758000.0,705890300.0,786392600.0,907055100.0,708027600.0,553037630.0,747737700.0,873768640.0,683143600.0,704808400.0,529013000.0,438420160.0,953574700.0
2062.0,822428700.0,1241742500.0,702247360.0,778256450.0,896866400.0,697416700.0,541837700.0,718218800.0,862576200.0,666563400.0,697162200.0,513345820.0,428223940.0,867804200.0
2063.0,809311100.0,1354653000.0,693337150.0,781723800.0,910827800.0,680789570.0,536541120.0,697866800.0,850003400.0,659043100.0,771228200.0,515096220.0,421279070.0,857416450.0
2064.0,789326200.0,1315660700.0,685460600.0,769760450.0,888535300.0,675905200.0,525972200.0,677844350.0,833457200.0,973841600.0,689258200.0,502702850.0,413496200.0,894186500.0
2065.0,777360800.0,1307785600.0,750742660.0,763754560.0,879731600.0,679946000.0,518620500.0,667160800.0,829694500.0,821412000.0,672601800.0,504610300.0,417181100.0,844646600.0
2066.0,763232400.0,1468095900.0,701285700.0,756618300.0,875119200.0,669101060.0,511975140.0,666390600.0,830578700.0,694708300.0,672443200.0,500239460.0,411080480.0,836381600.0
2067.0,754543600.0,1327374300.0,676597060.0,757870900.0,907801660.0,657998500.0,513348130.0,656391740.0,793977660.0,661999500.0,658975800.0,512883870.0,405243400.0,830854340.0
2068.0,737004800.0,1529294300.0,672269700.0,776098700.0,873643100.0,651153860.0,505036260.0,651117060.0,781782800.0,803766800.0,652365700.0,527479870.0,397471780.0,824479300.0
2069.0,721434430.0,1455665400.0,676587100.0,743834300.0,931235800.0,642817700.0,493333340.0,642290750.0,777274940.0,735646600.0,637677400.0,508438430.0,391756000.0,825297600.0
2070.0,703195200.0,1499764600.0,830597900.0,740066050.0,882265340.0,639354200.0,504242530.0,636922200.0,800399900.0,677752600.0,630540860.0,498215330.0,388681180.0,820654300.0
2071.0,686717700.0,1443337900.0,706292540.0,732343400.0,914002200.0,641031200.0,618086300.0,663867100.0,753002940.0,769986600.0,615012700.0,488367780.0,394862800.0,806989600.0
2072.0,671351550.0,1412184300.0,671732600.0,737786240.0,871333300.0,626408300.0,503185860.0,829746000.0,738666600.0,710663800.0,599513340.0,481296420.0,386582270.0,788634700.0
2073.0,748424100.0,1407097200.0,663127700.0,971902340.0,867190700.0,615264700.0,502765630.0,662399040.0,802120640.0,784682400.0,614868540.0,549642200.0,425080450.0,774516000.0
2074.0,659965900.0,1401703600.0,650697600.0,800549400.0,856130240.0,607053900.0,486370700.0,622979000.0,777432500.0,708416830.0,593950340.0,484810240.0,388289440.0,765588200.0
