time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1118893800.0,1109906000.0,1098454700.0,1098720900.0,1085538200.0
2022.0,1099274800.0,1154993500.0,1085494400.0,1111061600.0,1110838300.0
2023.0,1085805600.0,1102398500.0,1077395100.0,1122422100.0,1068364900.0
2024.0,1068346000.0,1081486500.0,1054043100.0,1087503700.0,1053699100.0
2025.0,1051152640.0,1064398600.0,1037052500.0,1069099200.0,1095857300.0
2026.0,1027999500.0,1045064770.0,1019488100.0,1123249200.0,1044588300.0
2027.0,1009876030.0,1054158500.0,992013700.0,1048578500.0,1016691600.0
2028.0,988199300.0,1046716800.0,975059900.0,1034502200.0,1096121000.0
2029.0,964540000.0,1021784700.0,953153800.0,1016206340.0,1030262600.0
2030.0,941767940.0,1038282500.0,916406340.0,988738900.0,996152000.0
2031.0,954979600.0,1006656260.0,876137150.0,987006700.0,981576300.0
2032.0,922843460.0,998624200.0,853095040.0,974676300.0,975609600.0
2033.0,901487040.0,991583900.0,831638800.0,1004988740.0,1036093400.0
2034.0,881098940.0,978336500.0,804998340.0,969138700.0,960693600.0
2035.0,863521500.0,1046736960.0,785674500.0,939816640.0,945653200.0
2036.0,850906750.0,972100540.0,757932800.0,965617900.0,959558850.0
2037.0,843479400.0,948282000.0,740940160.0,922854900.0,986057100.0
2038.0,818310850.0,927768900.0,744002800.0,899258430.0,956131500.0
2039.0,789791800.0,910530370.0,705679940.0,938236000.0,933246500.0
2040.0,769584960.0,890993540.0,679308900.0,901678000.0,918416900.0
2041.0,764272640.0,881823040.0,657874500.0,863825340.0,983345150.0
2042.0,755607900.0,867536900.0,630371100.0,891978750.0,911822900.0
2043.0,769067000.0,869880450.0,608799040.0,842166850.0,896350140.0
2044.0,739866600.0,860808600.0,609247100.0,838246340.0,885228600.0
2045.0,727773600.0,838214660.0,580286140.0,833206500.0,909651100.0
2046.0,734820600.0,864790500.0,561415900.0,821479300.0,912420540.0
