time,NORESM1-M,GFDL-ESM2G,CNRM-CM5,GFDL-CM3,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,MPI-ESM-LR
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,46437310000.0,45258620000.0,46418362000.0,47267210000.0,46268240000.0,48817260000.0,46172987000.0,46520066000.0,47111848000.0,47725437000.0
2022.0,45548016000.0,43648475000.0,44611930000.0,46458990000.0,45363966000.0,48014980000.0,45849637000.0,45655310000.0,45861900000.0,48047714000.0
2023.0,45032680000.0,41623840000.0,42354995000.0,45035190000.0,45314687000.0,46476382000.0,45342560000.0,44599583000.0,44853940000.0,47655100000.0
2024.0,42890916000.0,41178313000.0,42025410000.0,42343530000.0,43743810000.0,44958880000.0,45253540000.0,46207590000.0,45016998000.0,45810650000.0
2025.0,41292317000.0,40144800000.0,40947480000.0,40498570000.0,42337563000.0,45736202000.0,43910676000.0,45702440000.0,44545495000.0,44767660000.0
2026.0,39867363000.0,39561773000.0,41048224000.0,39643804000.0,42595880000.0,45043073000.0,42968547000.0,44437127000.0,44025280000.0,44431400000.0
2027.0,38979720000.0,38248200000.0,39603237000.0,37164552000.0,41901175000.0,44408246000.0,41342276000.0,43140076000.0,42794488000.0,42795205000.0
2028.0,37879837000.0,37391598000.0,38558945000.0,36301275000.0,40436950000.0,43419255000.0,39608540000.0,44152930000.0,40908825000.0,42727084000.0
2029.0,36293214000.0,37143343000.0,37760602000.0,34582483000.0,39852960000.0,41635107000.0,36284800000.0,42985447000.0,40196964000.0,42881110000.0
2030.0,34827174000.0,37290850000.0,37711454000.0,32834181000.0,38654083000.0,40093270000.0,35683635000.0,42434736000.0,38488590000.0,42435970000.0
2031.0,32621375000.0,36260810000.0,37357450000.0,31207630000.0,37268378000.0,40034996000.0,35348414000.0,41691730000.0,37727076000.0,42645590000.0
2032.0,31372646000.0,35411743000.0,36664910000.0,28764762000.0,35784570000.0,39761265000.0,34548867000.0,38945956000.0,36464500000.0,41016574000.0
2033.0,30231912000.0,35628450000.0,36557380000.0,27238961000.0,35176250000.0,39443456000.0,33706959000.0,38501880000.0,35126882000.0,39454437000.0
2034.0,29486508000.0,35484850000.0,35310620000.0,25969775000.0,33641392000.0,39903433000.0,32685790000.0,36084707000.0,33110837000.0,39699250000.0
2035.0,28880568000.0,33500465000.0,34030629000.0,24064162000.0,32519076000.0,38683636000.0,32132008000.0,34738430000.0,31659663000.0,39684760000.0
