time,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,CCSM4,GFDL-ESM2G,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,47125852000.0,46645182000.0,45627286000.0,46492045000.0,47311864000.0,45311107000.0,46762480000.0,45293416000.0
2022.0,46446612000.0,45720590000.0,43080740000.0,46907580000.0,46646088000.0,44473926000.0,46897730000.0,45224165000.0
2023.0,45642170000.0,44287746000.0,42320970000.0,45965963000.0,46270136000.0,42580414000.0,45641240000.0,44519756000.0
2024.0,43749110000.0,44469920000.0,40664600000.0,45026130000.0,45829390000.0,41826830000.0,45272750000.0,42315547000.0
2025.0,42264433000.0,43141476000.0,39162405000.0,44841533000.0,44951204000.0,41398520000.0,44183564000.0,40495456000.0
2026.0,41233777000.0,42170085000.0,37683310000.0,44560730000.0,45264290000.0,41511805000.0,42953010000.0,38045176000.0
2027.0,40524747000.0,41264198000.0,36583453000.0,43726440000.0,44775907000.0,40553880000.0,41585553000.0,37421590000.0
2028.0,39928920000.0,40523096000.0,33903858000.0,42928970000.0,44830163000.0,39480240000.0,41415172000.0,37361150000.0
2029.0,39102878000.0,39762997000.0,33619890000.0,41907368000.0,45059810000.0,38581460000.0,41077430000.0,37732050000.0
2030.0,38749880000.0,38900425000.0,31866200000.0,41307746000.0,44407330000.0,37927793000.0,40817627000.0,36550850000.0
2031.0,38106722000.0,38964840000.0,30923320000.0,41507160000.0,44139450000.0,35913806000.0,39432466000.0,35927413000.0
2032.0,37151502000.0,39437960000.0,29855050000.0,41550516000.0,44101382000.0,35107852000.0,39847000000.0,33607186000.0
2033.0,37020717000.0,38565413000.0,28278903000.0,41259020000.0,43987990000.0,34369413000.0,38532747000.0,32374172000.0
2034.0,35867165000.0,38866584000.0,27084618000.0,40412840000.0,43099005000.0,33105932000.0,37851560000.0,31073657000.0
2035.0,34621050000.0,38743220000.0,25499540000.0,39194567000.0,43426900000.0,30770862000.0,36668500000.0,30747795000.0
2036.0,34362020000.0,37353443000.0,24477150000.0,38772840000.0,43339956000.0,29595976000.0,35650580000.0,30114955000.0
2037.0,33978438000.0,35864998000.0,23207369000.0,38422720000.0,43448074000.0,28652337000.0,34528700000.0,29579848000.0
2038.0,33580585000.0,35890520000.0,22536120000.0,37977522000.0,43070448000.0,27115725000.0,34354194000.0,29154738000.0
2039.0,33644552000.0,34493490000.0,20562692000.0,36653113000.0,42920407000.0,26381930000.0,33789727000.0,28767635000.0
2040.0,31896670000.0,33891742000.0,18701259000.0,36261528000.0,42620120000.0,26180970000.0,32729766000.0,28589552000.0
2041.0,31002227000.0,33848138000.0,17526534000.0,35904463000.0,42523804000.0,25581812000.0,32551956000.0,27726623000.0
2042.0,29991643000.0,33948908000.0,17134081000.0,34918568000.0,41144463000.0,25372787000.0,31664108000.0,27223867000.0
2043.0,29254842000.0,33436735000.0,16569313000.0,33470175000.0,40666935000.0,24556007000.0,31409857000.0,27092408000.0
2044.0,28136892000.0,33801228000.0,16091094000.0,32967277000.0,41104368000.0,24024117000.0,31398838000.0,26066133000.0
2045.0,28004968000.0,33555640000.0,15431315000.0,32293890000.0,40568610000.0,23163494000.0,31528151000.0,25982292000.0
2046.0,27673029000.0,32645378000.0,14594908000.0,31243379000.0,39394152000.0,22926508000.0,30522796000.0,25696575000.0
2047.0,27368649000.0,32956561000.0,13505488000.0,30501399000.0,39988818000.0,21571981000.0,29058433000.0,25213501000.0
2048.0,26207662000.0,32497801000.0,12818592000.0,28670441000.0,39685042000.0,20495747000.0,28046584000.0,24392915000.0
2049.0,24276476000.0,31385709000.0,12666941000.0,27269319000.0,38649410000.0,19981126000.0,27703320000.0,23584640000.0
2050.0,24476187000.0,30920835000.0,12134743000.0,26970012000.0,37660720000.0,19530156000.0,27774882000.0,22365856000.0
