time,IITM-ESM,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,KACE-1-0-G,IPSL-CM6A-LR,MPI-ESM1-2-HR,TAIESM1,CESM2-WACCM
2000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0
2001.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0
2002.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0
2003.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0
2004.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0
2005.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0
2006.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0
2007.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0
2008.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0
2009.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0
2010.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0
2011.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0
2012.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0
2013.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0
2014.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0
2015.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0
2016.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0
2017.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0
2018.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0
2019.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0
2020.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0
2021.0,13707666000.0,13654907000.0,13631973000.0,13645870000.0,13687166000.0,13635226000.0,13633206000.0,13601019000.0,13605741000.0
2022.0,13608562000.0,13527201000.0,13459572000.0,13498766000.0,13641703000.0,13514588000.0,13563795000.0,13507702000.0,13416611000.0
2023.0,13501366000.0,13379314000.0,13392298000.0,13432829000.0,13684192000.0,13314905000.0,13368255000.0,13374813000.0,13302913000.0
2024.0,13382236000.0,13259862000.0,13204120000.0,13422722000.0,13340581000.0,13096468000.0,13185431000.0,13187219000.0,13135239000.0
2025.0,13252709000.0,13032460000.0,13027131000.0,13127230000.0,13161209000.0,13026173000.0,13096082000.0,13091272000.0,12945618000.0
2026.0,13246233000.0,12850980000.0,12895697000.0,12971407000.0,13156725000.0,12957016000.0,12941787000.0,12866963000.0,12790815000.0
2027.0,13145288000.0,12646201000.0,12694434000.0,12817085000.0,12944233000.0,12707823000.0,12811916000.0,12599774000.0,12619288000.0
2028.0,12976822000.0,12640822000.0,12544638000.0,12792409000.0,12727137000.0,12583110000.0,12802231000.0,12495656000.0,12496941000.0
2029.0,12868992000.0,12378248000.0,12511161000.0,12511402000.0,12488385000.0,12413736000.0,12568646000.0,12227188000.0,12377545000.0
2030.0,12732507000.0,12146043000.0,12399050000.0,12494364000.0,12314408000.0,12189922000.0,12428454000.0,12041635000.0,12164553000.0
2031.0,12643225000.0,11920865000.0,12104814000.0,12730044000.0,12216188000.0,12108086000.0,12291397000.0,11842786000.0,11897490000.0
2032.0,12516606000.0,11629598000.0,11927984000.0,12232536000.0,12057953000.0,11841740000.0,12139144000.0,11605615000.0,11662569000.0
2033.0,12365569000.0,11404890000.0,11742011000.0,12017323000.0,11852527000.0,11645139000.0,12010940000.0,11383274000.0,11504486000.0
2034.0,12274505000.0,11104487000.0,11573544000.0,11816918000.0,11643783000.0,12077249000.0,11892896000.0,11243728000.0,11233860000.0
2035.0,12132776000.0,10825964000.0,11379363000.0,11941165000.0,11437342000.0,11392804000.0,11694745000.0,10997406000.0,11614123000.0
2036.0,12034502000.0,10562985000.0,11167141000.0,11789959000.0,11319515000.0,11379054000.0,11520187000.0,10764994000.0,11032388000.0
2037.0,12172128000.0,10285718000.0,10965713000.0,11433841000.0,11856787000.0,11194665000.0,11340147000.0,10594678000.0,10748375000.0
2038.0,11883722000.0,10032585000.0,10775158000.0,11289508000.0,11317077000.0,10838094000.0,11200106000.0,10416420000.0,10544147000.0
2039.0,12001754000.0,9907808000.0,10571516000.0,11189506000.0,10889744000.0,10569301000.0,11015599000.0,10195698000.0,10353487000.0
2040.0,11828344000.0,9578473000.0,10320994000.0,10904357000.0,10604599000.0,10267742000.0,10881089000.0,10003028000.0,10098079000.0
2041.0,11645311000.0,9331183000.0,10050910000.0,10709077000.0,10507536000.0,9989331000.0,10813015000.0,9790541000.0,9950402000.0
2042.0,11559769000.0,9025443000.0,9842670000.0,10567377000.0,10301879000.0,9924317000.0,10685348000.0,9585165000.0,9749954000.0
2043.0,11491039000.0,8757882000.0,9641288000.0,10385737000.0,10136457000.0,9545441000.0,10554265000.0,9400097000.0,9570864000.0
2044.0,11392282000.0,8509705700.0,9422498000.0,10205997000.0,9969200000.0,9349189000.0,10315573000.0,9182902000.0,9389610000.0
2045.0,11237181000.0,8286596000.0,9220618000.0,10059392000.0,9801976000.0,9006011000.0,10133290000.0,8904516000.0,9188153000.0
2046.0,11123069000.0,8072464400.0,8988616000.0,9854475000.0,9674335000.0,8828148000.0,10044480000.0,8734582000.0,8972337000.0
2047.0,11011612000.0,7781924400.0,8734415000.0,9825023000.0,9475247000.0,8452410400.0,9931725000.0,8537091000.0,8808130000.0
2048.0,11084283000.0,7588024000.0,8525786000.0,9585317000.0,9318990000.0,8217137700.0,9774005000.0,8347179000.0,8601029000.0
2049.0,10875900000.0,7352509000.0,8281389600.0,9477496000.0,9164493000.0,8042712000.0,9530467000.0,8112631000.0,8438540300.0
2050.0,10791990000.0,7095998500.0,8201378000.0,9279519000.0,9101807000.0,7792155000.0,9524186000.0,7868387000.0,8256180000.0
2051.0,10890450000.0,6868141600.0,7963241500.0,9139541000.0,8872135000.0,7575772700.0,9273280000.0,7657664000.0,8047705600.0
2052.0,10722019000.0,6719462000.0,7797939700.0,8986084000.0,8686204000.0,7351857000.0,9248933000.0,7656048000.0,7921261600.0
2053.0,10589757000.0,6504757000.0,7537937000.0,8897021000.0,8502312000.0,7317025300.0,9072291000.0,7300256300.0,7664763000.0
2054.0,10569097000.0,6318787600.0,7417587000.0,8756375000.0,8312180000.0,7392179000.0,8896684000.0,7101016600.0,7455426600.0
2055.0,10403685000.0,6156157400.0,7371143700.0,8603454000.0,8156136400.0,6910573000.0,8782805000.0,6892372000.0,7290019000.0
2056.0,10361255000.0,5987341000.0,7178368500.0,8567675400.0,7990589000.0,6850320000.0,8676552000.0,6682285600.0,7068226000.0
2057.0,10217078000.0,5903285000.0,7189227000.0,8382650000.0,7800932000.0,6609474000.0,8625109000.0,6480899000.0,6894131700.0
2058.0,10247413000.0,5672022500.0,7064994300.0,8290853400.0,7985510400.0,6530425000.0,8481713700.0,6339648000.0,6743237000.0
