time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0
2021.0,102615090000.0,101970210000.0,102854476000.0,102314430000.0,102387540000.0,102604235000.0,100132710000.0,102695220000.0
2022.0,100121990000.0,99237810000.0,100259510000.0,101233270000.0,101453450000.0,101200540000.0,97417560000.0,100547230000.0
2023.0,97712950000.0,97018750000.0,98202804000.0,99687740000.0,100132610000.0,99024340000.0,94780780000.0,98830180000.0
2024.0,95179360000.0,95695000000.0,97064820000.0,97024810000.0,98618350000.0,98387650000.0,93203554000.0,96797350000.0
2025.0,93849070000.0,93233775000.0,96175090000.0,94837420000.0,97464190000.0,97260356000.0,89721050000.0,95427310000.0
2026.0,91912070000.0,90625835000.0,95218160000.0,92764020000.0,95387976000.0,95598150000.0,86590276000.0,93551436000.0
2027.0,90580070000.0,89722860000.0,93288610000.0,91599100000.0,93699190000.0,92951670000.0,83340310000.0,90870220000.0
2028.0,88049490000.0,88834270000.0,92348280000.0,89486810000.0,91627080000.0,90609720000.0,80406320000.0,88745120000.0
2029.0,86391276000.0,87631070000.0,92354265000.0,88179515000.0,90493620000.0,88977780000.0,77736280000.0,86934640000.0
2030.0,83412640000.0,84775000000.0,91314720000.0,87856415000.0,90283540000.0,87585760000.0,74527540000.0,84509925000.0
2031.0,80266660000.0,82309250000.0,91023690000.0,86255580000.0,89876720000.0,85508320000.0,71926140000.0,82140700000.0
2032.0,77704490000.0,80173390000.0,90084450000.0,84496015000.0,88298450000.0,83963660000.0,69424780000.0,79877330000.0
2033.0,75507565000.0,78740660000.0,89574440000.0,83317920000.0,87528006000.0,83050100000.0,66958150000.0,76966840000.0
2034.0,72982680000.0,76806150000.0,88947310000.0,81013650000.0,86013010000.0,81448170000.0,64499980000.0,74325570000.0
2035.0,72063476000.0,75118760000.0,88645180000.0,79547064000.0,84505580000.0,80819180000.0,61638230000.0,71844580000.0
2036.0,69910920000.0,73276050000.0,87389310000.0,78532800000.0,83807035000.0,78685920000.0,59068850000.0,70617540000.0
2037.0,67553137000.0,71291570000.0,85924010000.0,76629300000.0,82860310000.0,77299370000.0,56524423000.0,67653833000.0
2038.0,66920743000.0,69384260000.0,83523840000.0,74764910000.0,81177500000.0,75389710000.0,54923882000.0,65095440000.0
2039.0,65318834000.0,66880246000.0,82115380000.0,72837470000.0,78549290000.0,73307700000.0,52926095000.0,62938230000.0
2040.0,63600070000.0,64713280000.0,81201950000.0,70580500000.0,77738300000.0,71874806000.0,50888446000.0,60343600000.0
2041.0,62205610000.0,63505540000.0,78986520000.0,68641200000.0,76801170000.0,71323380000.0,48448102000.0,57633990000.0
2042.0,60628455000.0,61285160000.0,78358760000.0,66634654000.0,75630760000.0,70279250000.0,45934993000.0,56292800000.0
2043.0,58911910000.0,59192300000.0,76707970000.0,64907290000.0,74038755000.0,69599450000.0,43945160000.0,54022156000.0
2044.0,57417708000.0,57841300000.0,75627110000.0,63315624000.0,72659880000.0,68741685000.0,42245890000.0,52312863000.0
2045.0,55974530000.0,56186600000.0,75032610000.0,61779590000.0,71640270000.0,68328583000.0,40308646000.0,50880815000.0
2046.0,55089750000.0,55013433000.0,73930970000.0,60739880000.0,70204040000.0,66824233000.0,38110280000.0,49184702000.0
2047.0,53862320000.0,53258203000.0,72034860000.0,59612750000.0,68561695000.0,65404318000.0,36821697000.0,46931603000.0
2048.0,53083870000.0,51277046000.0,70823720000.0,57607640000.0,67515277000.0,63985050000.0,35874420000.0,44958510000.0
2049.0,51870896000.0,49967190000.0,69450720000.0,55863607000.0,65405120000.0,62809387000.0,34076887000.0,43148833000.0
2050.0,51178484000.0,49212387000.0,67631670000.0,54255714000.0,63876200000.0,61538030000.0,32430193000.0,41613610000.0
2051.0,49765257000.0,48031690000.0,65517294000.0,53575963000.0,62522454000.0,60057133000.0,31113826000.0,39786770000.0
2052.0,48404963000.0,46733877000.0,63921897000.0,52397910000.0,60345930000.0,59372544000.0,29905545000.0,37921776000.0
2053.0,47190860000.0,45238837000.0,62749544000.0,51312280000.0,58944496000.0,57928370000.0,28573972000.0,36335497000.0
2054.0,46751150000.0,44355510000.0,60977610000.0,50269330000.0,57715120000.0,56306745000.0,27216658000.0,34644520000.0
2055.0,45974670000.0,42974090000.0,60082920000.0,49710700000.0,55813430000.0,55833820000.0,25905190000.0,33256927000.0
2056.0,44069175000.0,41894842000.0,58593604000.0,48340090000.0,54958785000.0,54143517000.0,25098230000.0,31721409000.0
2057.0,42734543000.0,40211173000.0,56657840000.0,47814935000.0,53528314000.0,52534310000.0,24151046000.0,30317416000.0
2058.0,41592050000.0,38706323000.0,55859933000.0,46329962000.0,51574268000.0,51252118000.0,23127157000.0,29272009000.0
2059.0,40293950000.0,38061773000.0,54473114000.0,45081534000.0,50344247000.0,49896264000.0,22204373000.0,28183394000.0
2060.0,39156093000.0,36755538000.0,52720890000.0,43332796000.0,49116557000.0,48249270000.0,21484683000.0,27282310000.0
2061.0,38640290000.0,35582484000.0,51591850000.0,42199610000.0,47880188000.0,47608594000.0,20535654000.0,26153103000.0
2062.0,37364960000.0,34780553000.0,49916342000.0,40990806000.0,46924210000.0,46257250000.0,19820325000.0,25197187000.0
2063.0,35551360000.0,33713273000.0,48517560000.0,39757060000.0,46383580000.0,45508375000.0,18867786000.0,24384980000.0
2064.0,34517557000.0,32701820000.0,47673713000.0,39168766000.0,45325193000.0,44185743000.0,18261228000.0,23683512000.0
2065.0,33171378000.0,31593648000.0,46978240000.0,38246195000.0,44811936000.0,43389415000.0,17610195000.0,22854828000.0
2066.0,31869854000.0,31089324000.0,46099935000.0,37279633000.0,43578503000.0,42099306000.0,17022174000.0,22257244000.0
2067.0,30404315000.0,30273170000.0,44471038000.0,36247960000.0,42769474000.0,41869967000.0,16483892000.0,21329562000.0
2068.0,29607918000.0,29136536000.0,43715006000.0,35758223000.0,41495183000.0,41101013000.0,16061959000.0,20510760000.0
2069.0,28493304000.0,28015960000.0,43134330000.0,34733453000.0,40719856000.0,40131160000.0,15185328000.0,19784659000.0
2070.0,27717595000.0,27246555000.0,41865610000.0,34222938000.0,40103390000.0,39588960000.0,14554055000.0,19000940000.0
2071.0,26925046000.0,26351198000.0,40691270000.0,33643344000.0,38677864000.0,38691873000.0,14040796000.0,18432590000.0
2072.0,25634542000.0,25567787000.0,39447847000.0,32559989000.0,37988782000.0,37978165000.0,13498933000.0,17642095000.0
2073.0,24548155000.0,24630410000.0,38132690000.0,32157331000.0,37077324000.0,37799260000.0,12949204000.0,17416920000.0
2074.0,23747402000.0,23631337000.0,37557940000.0,31450358000.0,35914895000.0,36791230000.0,12523652000.0,17104127000.0
2075.0,22939494000.0,23093185000.0,36693942000.0,30449142000.0,35303707000.0,36690317000.0,11969028000.0,16775003000.0
2076.0,21994785000.0,22315448000.0,35583540000.0,29668487000.0,34737720000.0,35926670000.0,11568914000.0,16352080000.0
2077.0,21432269000.0,21464058000.0,34495762000.0,28234617000.0,33848535000.0,35077580000.0,11076359000.0,16005280000.0
2078.0,20657476000.0,20760211000.0,33832178000.0,27632951000.0,32716708000.0,34195233000.0,10780648000.0,15507014000.0
2079.0,20353290000.0,20022490000.0,33247783000.0,27015633000.0,32091922000.0,33570488000.0,10280562000.0,15141427000.0
2080.0,19722783000.0,18931472000.0,32407505000.0,26446946000.0,31444680000.0,33286870000.0,9977700000.0,14869111000.0
2081.0,19581506000.0,18229203000.0,31982004000.0,25383592000.0,30763604000.0,32675561000.0,9601818000.0,14560836000.0
2082.0,18893955000.0,17691159000.0,31130952000.0,24748757000.0,29725575000.0,32299936000.0,9353865000.0,14182665000.0
2083.0,18383794000.0,17281171000.0,30768880000.0,24271604000.0,29019032000.0,32112930000.0,9198703000.0,13846811000.0
2084.0,18111496000.0,16655898000.0,30267406000.0,23607710000.0,27975457000.0,31576885000.0,8957694000.0,13656757000.0
2085.0,17741392000.0,15948521000.0,29930027000.0,22933758000.0,26844920000.0,30854576000.0,8668185000.0,13417937000.0
2086.0,16969397000.0,15504777000.0,29073963000.0,22272195000.0,26196412000.0,30005650000.0,8378536400.0,13104171000.0
2087.0,16189110000.0,15232784000.0,28251924000.0,22049036000.0,25460503000.0,29450131000.0,8040460300.0,12687871000.0
