,Unnamed: 0,cmip,gcm,scenario,rgi_reg,end_year,perc_area_missing,fpath,exp,historical_future_option,oggm_version
0,CMIP6:2100:GFDL-ESM4:ssp370:RGI16,CMIP6,GFDL-ESM4,ssp370,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_GFDL-ESM4_ssp370_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
1,CMIP6:2100:GFDL-ESM4:ssp119:RGI16,CMIP6,GFDL-ESM4,ssp119,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_GFDL-ESM4_ssp119_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
2,CMIP6:2100:EC-Earth3-Veg:ssp245:RGI16,CMIP6,EC-Earth3-Veg,ssp245,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_EC-Earth3-Veg_ssp245_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
3,CMIP6:2100:CESM2-WACCM:ssp534-over:RGI16,CMIP6,CESM2-WACCM,ssp534-over,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_CESM2-WACCM_ssp534-over_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
4,CMIP6:2100:EC-Earth3:ssp126:RGI16,CMIP6,EC-Earth3,ssp126,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_EC-Earth3_ssp126_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
5,CMIP6:2100:NorESM2-MM:ssp126:RGI16,CMIP6,NorESM2-MM,ssp126,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_NorESM2-MM_ssp126_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
6,CMIP6:2100:FGOALS-f3-L:ssp245:RGI16,CMIP6,FGOALS-f3-L,ssp245,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_FGOALS-f3-L_ssp245_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
7,CMIP6:2100:ACCESS-CM2:ssp585:RGI16,CMIP6,ACCESS-CM2,ssp585,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_ACCESS-CM2_ssp585_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
8,CMIP6:2100:CESM2:ssp126:RGI16,CMIP6,CESM2,ssp126,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_CESM2_ssp126_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
9,CMIP6:2100:CanESM5:ssp534-over:RGI16,CMIP6,CanESM5,ssp534-over,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_CanESM5_ssp534-over_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
10,CMIP6:2100:IPSL-CM6A-LR:ssp585:RGI16,CMIP6,IPSL-CM6A-LR,ssp585,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_IPSL-CM6A-LR_ssp585_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
11,CMIP6:2100:BCC-CSM2-MR:ssp245:RGI16,CMIP6,BCC-CSM2-MR,ssp245,RGI16,2100,0.0002870523990233,/home/www/oggm/oggm_output/oggm_v16/2023.3/CMIP6/2100/RGI16/run_hydro_w5e5_gcm_merged_BCC-CSM2-MR_ssp245_bc_2000_2019_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
